Player Name,AFFL Team,Position/s
Matt Whitlock,Adelaide Crows,"G-DEF,G-FWD,K-DEF"
Flynn Riley,Adelaide Crows,RUCK
Sam Darcy,Adelaide Crows,"G-FWD,K-FWD"
Ty Gallop,Adelaide Crows,"G-FWD,K-FWD,K-DEF,G-DEF"
Lachlan Schultz,Adelaide Crows,G-FWD
Oscar Steene,Adelaide Crows,"RUCK,G-FWD,K-FWD"
Lachlan Jones,Adelaide Crows,G-DEF
Joshua Kelly,Adelaide Crows,MID
Charlie Curnow,Adelaide Crows,"G-FWD,K-FWD"
Ryan Byrnes,Adelaide Crows,G-DEF
Joe Richards,Adelaide Crows,G-FWD
Jordan Ridley,Adelaide Crows,G-DEF
Noah Balta,Adelaide Crows,"G-DEF,G-FWD,K-FWD,K-DEF"
Kieren Briggs,Adelaide Crows,RUCK
Jaspa Fletcher,Adelaide Crows,G-DEF
Liam Duggan,Adelaide Crows,G-DEF
Harrison Ramm,Adelaide Crows,"G-DEF,K-DEF"
Arthur Jones,Adelaide Crows,"MID,G-FWD"
Louis Emmett,Adelaide Crows,RUCK
Ben Keays,Adelaide Crows,G-FWD
Jack Carroll,Adelaide Crows,"MID,G-DEF"
James Jordon,Adelaide Crows,"MID,G-FWD"
Adam Cerra,Adelaide Crows,MID
Wil Powell,Adelaide Crows,"G-DEF,MID"
Dante Visentini,Adelaide Crows,"RUCK,G-FWD,K-FWD"
Joe Berry,Adelaide Crows,G-FWD
Harry Schoenberg,Adelaide Crows,"MID,G-FWD"
Lukas Cooke,Adelaide Crows,G-DEF
Todd Marshall,Adelaide Crows,"K-FWD,K-DEF"
Esava Ratugolea,Adelaide Crows,"G-DEF,K-DEF"
Tom Lynch,Adelaide Crows,"G-FWD,K-FWD"
Archer Day-Wicks,Adelaide Crows,"G-FWD,MID"
Sam Powell-Pepper,Adelaide Crows,G-FWD
Matt Cottrell,Adelaide Crows,"MID,G-FWD"
Will Hayward,Adelaide Crows,G-FWD
Timothy English,Adelaide Crows,RUCK
Sam Flanders,Adelaide Crows,"G-FWD,MID,G-DEF"
Connor Rozee,Adelaide Crows,"G-DEF,MID"
Alex Van Wyk,Adelaide Crows,RUCK
Willem Drew,Adelaide Crows,MID
Toby Murray,Adelaide Crows,"G-FWD,K-FWD,RUCK"
Cooper Sharman,Adelaide Crows,"G-FWD,K-FWD"
Mark Keane,Adelaide Crows,"G-DEF,K-DEF"
Jack Watkins,Adelaide Crows,"MID,G-FWD"
Sam Walsh,Brisbane Lions,MID
Jye Caldwell,Brisbane Lions,MID
Hugh McCluggage,Brisbane Lions,MID
Michael Sellwood,Brisbane Lions,G-DEF
Eric Hipwood,Brisbane Lions,"G-FWD,K-FWD"
Buku Khamis,Brisbane Lions,"G-DEF,G-FWD,K-FWD,K-DEF"
Mattaes Phillipou,Brisbane Lions,"G-FWD,MID"
Jordan Dawson,West Coast Eagles,MID
Harry Sharp,Brisbane Lions,G-FWD
Tom Barrass,Brisbane Lions,"G-DEF,K-DEF"
Lachlan McAndrew,Brisbane Lions,RUCK
Jack Bowes,Brisbane Lions,MID
Billy Frampton,Brisbane Lions,"G-DEF,K-DEF"
Sam Davidson,Brisbane Lions,"MID,G-FWD"
Ben Ainsworth,Brisbane Lions,G-FWD
Blake Acres,Brisbane Lions,MID
Brody Mihocek,Brisbane Lions,"G-FWD,K-FWD"
Dane Rampe,Brisbane Lions,G-DEF
Jake Stringer,Brisbane Lions,G-FWD
