draftguru_player_slug,draftguru_name,decision,legacy_key,reason,reviewer_notes
adam_kennedy/1,Adam Kennedy,exclude,,not_in_repository_database_or_intentionally_excluded,
brandon_matera/1,Brandon Matera,exclude,,not_in_repository_database_or_intentionally_excluded,
dillon_o'reilly/1,Dillon O'Reilly,match,dillon-o-rielly,user_confirmed_match,
jack_hombsch/1,Jack Hombsch,exclude,,not_in_repository_database_or_intentionally_excluded,
jacob_townsend/1,Jacob Townsend,exclude,,not_in_repository_database_or_intentionally_excluded,
jarrad_mcveigh/1,Jarrad McVeigh,exclude,,not_in_repository_database_or_intentionally_excluded,
josh_bruce/1,Josh Bruce,exclude,,not_in_repository_database_or_intentionally_excluded,
josh_deluca/1,Josh Deluca,match,josh-deluca-cardillo,user_confirmed_match,
kye_turner/1,Kye Turner,exclude,,not_in_repository_database_or_intentionally_excluded,
lachie_bramble/1,Lachie Bramble,match,lachlan-bramble,user_confirmed_match,
lachie_hunter/1,Lachie Hunter,match,lachlan-hunter,user_confirmed_match,
matt_shaw/1,Matt Shaw,exclude,,not_in_repository_database_or_intentionally_excluded,
matt_de%20boer/1,Matt de Boer,match,matthew-deboer,user_confirmed_match,
matthew_coulthard/1,Matthew Coulthard,match,matt-coulthard,user_confirmed_match,
nathan_wilson/1,Nathan Wilson,exclude,,not_in_repository_database_or_intentionally_excluded,
nick_graham/1,Nick Graham,match,nicholas-graham,user_confirmed_match,
nick_shipley/1,Nick Shipley,match,nicholas-shipley,user_confirmed_match,
tom_nicholls/1,Tom Nicholls,exclude,,not_in_repository_database_or_intentionally_excluded,
tomas_bugg/1,Tomas Bugg,exclude,,not_in_repository_database_or_intentionally_excluded,
trent_mckenzie/1,Trent McKenzie,exclude,,not_in_repository_database_or_intentionally_excluded,
zac_smith/1,Zac Smith,exclude,,not_in_repository_database_or_intentionally_excluded,
ben_griffiths/1,Ben Griffiths,match,benjamin-griffiths,user_confirmed_match,
ben_stratton/1,Ben Stratton,match,benjamin-stratton,user_confirmed_match,
brad_close/1,Brad Close,match,bradley-close,user_confirmed_match,
brad_hill/1,Brad Hill,match,bradley-hill,user_confirmed_match,
brad_scheer/1,Brad Scheer,match,bradley-scheer,user_confirmed_match,
cam_ellis-yolmen/1,Cam Ellis-Yolmen,match,cameron-ellis-yolmen,user_confirmed_match,
cam_mackenzie/1,Cam Mackenzie,match,cameron-mackenzie,user_confirmed_match,
cam_rayner/1,Cam Rayner,match,cameron-rayner,user_confirmed_match,
chris_mayne/1,Chris Mayne,match,christopher-mayne,user_confirmed_match,
dan_butler/1,Dan Butler,match,daniel-butler,user_confirmed_match,
dan_curtin/1,Dan Curtin,match,daniel-curtin,user_confirmed_match,
dan_robinson/1,Dan Robinson,match,daniel-robinson,user_confirmed_match,
dom_sheed/1,Dom Sheed,match,dominic-sheed,user_confirmed_match,
domanic_akuei/1,Domanic Akuei,match,dom-akuei,user_confirmed_match,
ed_allan/1,Ed Allan,match,edward-allan,user_confirmed_match,
ed_curnow/1,Ed Curnow,match,edward-curnow,user_confirmed_match,
ed_phillips/1,Ed Phillips,match,edward-phillips,user_confirmed_match,
harrison_reynolds/1,Harrison Reynolds,match,harry-reynolds,user_confirmed_match,
