dataset,column,rows,missing,non_finite,prob_out_of_bounds,monotonicity_violations
vnext,pick,3760,0,0,,
vnext,tenure,3760,0,0,,
vnext,age,3760,0,0,,
vnext,p_meaningful,3760,0,0,0.0,
vnext,cond_games,3760,0,0,,
vnext,cond_avg,3760,0,0,,
vnext,exp_games,3760,0,0,,
vnext,exp_avg,3760,0,0,,
vnext,exp_points,3760,0,0,,
vnext,p80,3760,0,0,0.0,
vnext,p90,3760,0,0,0.0,
vnext,p100,3760,0,0,0.0,
vnext,p110,3760,0,0,0.0,
vnext,p120,3760,0,0,0.0,
vnext,lead,3760,0,0,,
vnext,forecast_year,3760,0,0,,
vnext,games_resid_sd,3760,0,0,,
vnext,avg_resid_sd,3760,0,0,,
vnext,p80>p90>p100>p110>p120,3760,0,0,,0.0
