source_row,stable_id,player_name,affl_team,eligibilities,match_status,legacy_name,legacy_team,legacy_eligibilities,previous_vnext_included,previous_vnext_exclusion_reason
609,aaron-cadman,Aaron Cadman,Richmond Tigers,"G-FWD,K-FWD",matched,Aaron Cadman,GWS,K-FWD,True,
705,aaron-naughton,Aaron Naughton,Sydney Swans,"G-FWD,K-FWD",matched,Aaron Naughton,Western Bulldogs,K-FWD,True,
23,adam-cerra,Adam Cerra,Adelaide Crows,MID,matched,Adam Cerra,Fremantle,MID,True,
360,adam-saad,Adam Saad,Geelong Cats,G-DEF,matched,Adam Saad,Gold Coast,GEN_DEF,True,
711,adam-sweid,Adam Sweid,Sydney Swans,MID,matched,Adam Sweid,Fremantle,GEN_FWD,True,
735,adam-treloar,Adam Treloar,West Coast Eagles,"MID,G-FWD",matched,Adam Treloar,GWS,MID,True,
357,aidan-corr,Aidan Corr,Geelong Cats,"G-DEF,K-DEF",matched,Aidan Corr,GWS,K-DEF,True,
265,aidan-johnson,Aidan Johnson,Free agents,"K-FWD,G-FWD",matched,Aidan Johnson,Melbourne,K-FWD,True,
328,aidan-schubert,Aidan Schubert,Fremantle Dockers,"RUCK,G-FWD,K-FWD",matched,Aidan Schubert,Hawthorn,K-FWD,True,
324,aiden-riddle,Aiden Riddle,Fremantle Dockers,RUCK,matched,Aiden Riddle,Fremantle,RUCK,True,
760,alex-davies,Alex Davies,Western Bulldogs,MID,matched,Alex Davies,Gold Coast,MID,True,
435,alex-dodson,Alex Dodson,Hawthorn Hawks,K-FWD,matched,Alex Dodson,St Kilda,RUCK,True,
75,alex-neal-bullen,Alex Neal-Bullen,West Coast Eagles,G-FWD,matched,Alex Neal-Bullen,Melbourne,GEN_FWD,True,
380,alex-pearce,Alex Pearce,Geelong Cats,"G-DEF,K-DEF",matched,Alex Pearce,Fremantle,K-DEF,True,
39,alex-van-wyk,Alex Van Wyk,Adelaide Crows,RUCK,matched,Alex Van Wyk,Port Adelaide,RUCK,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
520,aliir-aliir,Aliir Aliir,North Melbourne Kangaroos,"G-DEF,K-DEF",matched,Aliir Aliir,Sydney,K-DEF,True,
779,alix-tauru,Alix Tauru,Western Bulldogs,"G-DEF,K-DEF,K-FWD,G-FWD",matched,Alix Tauru,St Kilda,K-DEF,True,
645,andrew-brayshaw,Andrew Brayshaw,St Kilda Saints,MID,matched,Andrew Brayshaw,Fremantle,MID,True,
391,andrew-mcgrath,Andrew McGrath,Geelong Cats,G-DEF,matched,Andrew McGrath,Essendon,GEN_DEF,True,
736,andy-moniz-wakefield,Andy Moniz-Wakefield,West Coast Eagles,G-DEF,matched,Andy Moniz-Wakefield,Melbourne,GEN_DEF,True,
492,angus-anderson,Angus Anderson,North Melbourne Kangaroos,MID,matched,Angus Anderson,Collingwood,MID,True,
129,angus-clarke,Angus Clarke,Carlton Blues,"G-DEF,MID",matched,Angus Clarke,Essendon,GEN_DEF,True,
600,angus-hastie,Angus Hastie,Richmond Tigers,G-DEF,matched,Angus Hastie,St Kilda,GEN_DEF,True,
785,angus-sheldrick,Angus Sheldrick,Western Bulldogs,MID,matched,Angus Sheldrick,Sydney,MID,True,
152,anthony-caminiti,Anthony Caminiti,Collingwood Magpies,"G-DEF,K-DEF,K-FWD,G-FWD",matched,Anthony Caminiti,St Kilda,K-FWD,True,
32,archer-day-wicks,Archer Day-Wicks,Adelaide Crows,"G-FWD,MID",matched,Archer Day-Wicks,Essendon,GEN_FWD,True,
452,archer-reid,Archer Reid,Melbourne Demons,"G-FWD,K-FWD",matched,Archer Reid,West Coast,K-FWD,True,
309,archie-ludowyke,Archie Ludowyke,Fremantle Dockers,"G-FWD,K-FWD",matched,Archie Ludowyke,Adelaide,K-FWD,True,
802,archie-may,Archie May,Western Bulldogs,K-FWD,matched,Archie May,Essendon,K-FWD,True,
440,archie-perkins,Archie Perkins,Melbourne Demons,G-FWD,matched,Archie Perkins,Essendon,GEN_FWD,True,
646,archie-roberts,Archie Roberts,St Kilda Saints,G-DEF,matched,Archie Roberts,Essendon,GEN_DEF,True,
18,arthur-jones,Arthur Jones,Adelaide Crows,"MID,G-FWD",matched,Arthur Jones,Western Bulldogs,GEN_FWD,True,
250,asher-eastham,Asher Eastham,Free agents,G-FWD,matched,Asher Eastham,Gold Coast,GEN_FWD,True,
669,ashton-moir,Ashton Moir,St Kilda Saints,G-FWD,matched,Ashton Moir,Carlton,GEN_FWD,True,
467,avery-thomas,Avery Thomas,Melbourne Demons,G-DEF,matched,Avery Thomas,Gold Coast,GEN_DEF,True,
649,bailey-banfield,Bailey Banfield,St Kilda Saints,G-DEF,matched,Bailey Banfield,Fremantle,GEN_DEF,True,
384,bailey-dale,Bailey Dale,Geelong Cats,G-DEF,matched,Bailey Dale,Western Bulldogs,GEN_DEF,True,
773,bailey-humphrey,Bailey Humphrey,Western Bulldogs,"MID,G-FWD",matched,Bailey Humphrey,Gold Coast,GEN_FWD,True,
682,bailey-williams-wc,Bailey J. Williams,Sydney Swans,"RUCK,G-FWD,K-FWD",matched,Bailey J. Williams,West Coast,RUCK,True,
270,bailey-laurie,Bailey Laurie,Free agents,G-FWD,matched,Bailey Laurie,Melbourne,GEN_FWD,True,
790,bailey-macdonald,Bailey MacDonald,Western Bulldogs,G-DEF,matched,Bailey Macdonald,Hawthorn,GEN_DEF,True,
288,bailey-scott,Bailey Scott,Free agents,MID,matched,Bailey Scott,North Melbourne,MID,True,
388,bailey-smith,Bailey Smith,Geelong Cats,MID,matched,Bailey Smith,Western Bulldogs,MID,True,
141,bailey-williams-wb,Bailey Williams,Collingwood Magpies,"G-DEF,MID",matched,Bailey Williams,Western Bulldogs,GEN_DEF,True,
284,balyn-o-brien,Balyn O'Brien,Free agents,G-DEF,matched,Balyn O'Brien,Port Adelaide,GEN_DEF,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
376,bayley-fritsch,Bayley Fritsch,Geelong Cats,G-FWD,matched,Bayley Fritsch,Melbourne,GEN_FWD,True,
345,beau-addinsall,Beau Addinsall,Fremantle Dockers,MID,matched,Beau Addinsall,Gold Coast,MID,True,
734,beau-mccreery,Beau McCreery,West Coast Eagles,G-FWD,matched,Beau McCreery,Collingwood,GEN_FWD,True,
59,ben-ainsworth,Ben Ainsworth,Brisbane Lions,G-FWD,matched,Ben Ainsworth,Gold Coast,GEN_FWD,True,
314,ben-camporeale,Ben Camporeale,Fremantle Dockers,MID,matched,Ben Camporeale,Carlton,MID,True,
264,ben-jepson,Ben Jepson,Free agents,MID,matched,Ben Jepson,Gold Coast,MID,True,
20,ben-keays,Ben Keays,Adelaide Crows,G-FWD,matched,Ben Keays,Brisbane,GEN_FWD,True,
673,ben-king,Ben King,Sydney Swans,"G-FWD,K-FWD",matched,Ben King,Gold Coast,K-FWD,True,
601,ben-long,Ben Long,Richmond Tigers,G-FWD,matched,Ben Long,St Kilda,GEN_FWD,True,
752,ben-mckay,Ben McKay,West Coast Eagles,"G-DEF,K-DEF",matched,Ben McKay,North Melbourne,K-DEF,True,
687,ben-miller,Ben Miller,Sydney Swans,"G-DEF,K-DEF",matched,Ben Miller,Richmond,K-DEF,True,
504,ben-murphy,Ben Murphy,North Melbourne Kangaroos,G-DEF,matched,Ben Murphy,,GEN_DEF,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
236,benny-barrett,Benny Barrett,Free agents,G-FWD,matched,Benny Barrett,Port Adelaide,GEN_FWD,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
219,billy-cootee,Billy Cootee,Essendon Bombers,MID,matched,Billy Cootee,Sydney,MID,True,
190,billy-dowling,Billy Dowling,Essendon Bombers,"MID,G-FWD",matched,Billy Dowling,Adelaide,GEN_FWD,True,
57,billy-frampton,Billy Frampton,Brisbane Lions,"G-DEF,K-DEF",matched,Billy Frampton,Port Adelaide,K-DEF,True,
93,billy-wilson,Billy Wilson,Carlton Blues,G-DEF,matched,Billy Wilson,Carlton,GEN_DEF,True,
60,blake-acres,Blake Acres,Brisbane Lions,MID,matched,Blake Acres,St Kilda,MID,True,
550,blake-hardwick,Blake Hardwick,Port Adelaide Power,G-DEF,matched,Blake Hardwick,Hawthorn,GEN_DEF,True,
225,blake-howes,Blake Howes,Essendon Bombers,G-DEF,matched,Blake Howes,Melbourne,GEN_DEF,True,
335,blake-thredgold,Blake Thredgold,Fremantle Dockers,"G-DEF,K-DEF",matched,Blake Thredgold,North Melbourne,K-DEF,True,
462,bo-allan,Bo Allan,Melbourne Demons,"G-DEF,MID",matched,Bo Allan,West Coast,GEN_DEF,True,
193,bobby-hill,Bobby Hill,West Coast Eagles,G-FWD,matched,Bobby Hill,GWS,GEN_FWD,True,
548,bodhi-uwland,Bodhi Uwland,Port Adelaide Power,G-DEF,matched,Bodhi Uwland,Gold Coast,GEN_DEF,True,
159,bodie-ryan,Bodie Ryan,Collingwood Magpies,G-DEF,matched,Bodie Ryan,Hawthorn,GEN_DEF,True,
378,bradley-close,Bradley Close,Geelong Cats,G-FWD,matched,Bradley Close,Geelong,GEN_FWD,True,
549,bradley-hill,Bradley Hill,Port Adelaide Power,"MID,G-FWD",matched,Bradley Hill,Hawthorn,GEN_FWD,True,
215,brady-hough,Brady Hough,Essendon Bombers,"G-DEF,MID",matched,Brady Hough,West Coast,GEN_DEF,True,
221,braeden-campbell,Braeden Campbell,Essendon Bombers,G-FWD,matched,Braeden Campbell,Sydney,GEN_DEF,True,
479,brandon-starcevich,Brandon Starcevich,Melbourne Demons,G-DEF,matched,Brandon Starcevich,Brisbane,GEN_DEF,True,
556,brandon-walker,Brandon Walker,Port Adelaide Power,G-DEF,matched,Brandon Walker,Fremantle,GEN_DEF,True,
301,brandon-zerk-thatcher,Brandon Zerk-Thatcher,Free agents,"K-DEF,G-DEF",matched,Brandon Zerk-Thatcher,Essendon,K-DEF,True,
491,brayden-cook,Brayden Cook,North Melbourne Kangaroos,"MID,G-FWD",matched,Brayden Cook,Adelaide,MID,True,
79,brayden-fiorini,Brayden Fiorini,Brisbane Lions,MID,matched,Brayden Fiorini,Gold Coast,MID,True,
