source_row,stable_player_id,legacy_key,player_name,affl_team,eligibilities,match_status,legacy_name,legacy_afl_club,legacy_eligibilities,identity_evidence_json,missing_identity_evidence,previous_vnext_included,previous_vnext_exclusion_reason
736,afl-player-v1-43dcbfbd3dd8420f2e63,andy-moniz-wakefield,Andy Moniz-Wakefield,West Coast Eagles,G-DEF,matched,Andy Moniz-Wakefield,Melbourne,G-DEF,"{""birth_date"":""2003-10-26"",""birth_year"":2003,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2021,""legacy_key"":""andy-moniz-wakefield""}",draft_pick,True,
152,afl-player-v1-0c5db9d8bac56d9b7fa4,anthony-caminiti,Anthony Caminiti,Collingwood Magpies,"G-DEF,K-DEF,K-FWD,G-FWD",matched,Anthony Caminiti,St Kilda,K-FWD,"{""birth_date"":""2003-12-09"",""birth_year"":2003,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2022,""legacy_key"":""anthony-caminiti""}",draft_pick,True,
284,afl-player-v1-1717ec616a9d2f0c642e,balyn-o-brien,Balyn O'Brien,Free agents,G-DEF,matched,Balyn O'Brien,Port Adelaide,G-DEF,"{""birth_date"":""2007-01-26"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2025,""legacy_key"":""balyn-o-brien""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
264,afl-player-v1-1bc1a35b5acb7c659494,ben-jepson,Ben Jepson,Free agents,MID,matched,Ben Jepson,Gold Coast,MID,"{""birth_date"":""2001-10-10"",""birth_year"":2001,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2024,""legacy_key"":""ben-jepson""}",draft_pick,True,
504,afl-player-v1-fc90df145520acd22b04,ben-murphy,Ben Murphy,North Melbourne Kangaroos,G-DEF,matched,Ben Murphy,,G-DEF,"{""birth_date"":""2027-02-01"",""birth_year"":2027,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2025,""legacy_key"":""ben-murphy""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
236,afl-player-v1-26c7d23e3f5fff92763f,benny-barrett,Benny Barrett,Free agents,G-FWD,matched,Benny Barrett,Port Adelaide,G-FWD,"{""birth_date"":""2006-05-01"",""birth_year"":2006,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2024,""legacy_key"":""benny-barrett""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
548,afl-player-v1-53cf9ea07c8d23470b27,bodhi-uwland,Bodhi Uwland,Port Adelaide Power,G-DEF,matched,Bodhi Uwland,Gold Coast,G-DEF,"{""birth_date"":""2003-07-25"",""birth_year"":2003,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2021,""legacy_key"":""bodhi-uwland""}",draft_pick,True,
490,afl-player-v1-eea2bfc12fe6f4414f7c,bruce-reville,Bruce Reville,North Melbourne Kangaroos,MID,matched,Bruce Reville,Brisbane,MID,"{""birth_date"":""2001-02-22"",""birth_year"":2001,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2023,""legacy_key"":""bruce-reville""}",draft_pick,True,
50,afl-player-v1-5c33c0ae50436bf7207b,buku-khamis,Buku Khamis,Brisbane Lions,"G-DEF,G-FWD,K-FWD,K-DEF",matched,Buku Khamis,Western Bulldogs,K-DEF,"{""birth_date"":""2000-03-24"",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2018,""legacy_key"":""buku-khamis""}",draft_pick,True,
629,afl-player-v1-2aa15c17a8f9bb98c666,callum-brown-ire,Callum M. Brown,St Kilda Saints,G-FWD,matched,Callum M. Brown,GWS,G-FWD,"{""birth_date"":""2000-08-15"",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2018,""legacy_key"":""callum-brown-ire""}",draft_pick,True,
