severity_rank,burden_rank,lead,slice_type,slice_value,n,baseline_mae_total_points,vnext_mae_total_points,points_mae_change_pct,excess_mae,practical_burden
1,5,1,position,RUC,413,358.59152143371625,412.4006177019465,15.005680015269563,53.809096268230235,22223.15675877909
2,11,4,prior_games,zero prior games,418,211.70215311004785,232.8131345618238,9.972020190461626,21.110981451775956,8824.39024684235
3,12,3,prior_games,zero prior games,515,189.88893203883487,205.9340549169004,8.449740964778345,16.04512287806554,8263.238282203754
4,3,4,tenure_band,4-5,588,529.1495933425516,572.7306931659497,8.236064124721965,43.58109982339806,25625.68669615806
5,4,1,pick_band,61+ / undrafted,890,309.52030828254595,334.8276083160057,8.17629711403555,25.30730003345974,22523.49702977917
6,1,3,age_band,24-26,862,522.2822234308344,563.2723631943031,7.848273964640698,40.99013976346873,35333.50047611005
7,14,1,prior_games,zero prior games,719,93.4557719054242,99.21909410135753,6.166898072133757,5.763322195933327,4143.828658876062
8,13,2,prior_games,zero prior games,615,159.91138211382113,168.9964891695407,5.6813385861758094,9.085107055719561,5587.34083926753
9,2,2,age_band,24-26,1047,472.8103459774512,498.9333815648421,5.525055830448493,26.12303558739086,27350.81825999823
10,7,4,age_band,24-26,680,564.312112547129,593.2133249298081,5.121494247612022,28.90121238267909,19652.824420221783
11,6,1,age_band,27-29,930,468.2897330086283,491.45540564500055,4.946867506050031,23.16567263637228,21544.07555182622
12,15,5,prior_games,zero prior games,327,273.3507645259939,285.63341710983667,4.493366830395228,12.282652583842776,4016.4273949165877
13,9,3,tenure_band,4-5,734,526.9279616328188,547.6797157157476,3.9382525874361156,20.75175408292887,15231.78749686979
14,10,4,age_band,21-23,924,514.7232838188336,530.8757400711607,3.138085406296158,16.15245625232717,14924.869577150304
15,8,1,age_band,24-26,1225,437.8948456504084,451.4572387656288,3.0971803504734297,13.562393115220402,16613.931566144995
