lead,slice_type,slice_value,n,actual_meaningful_rate,pred_meaningful_prob,actual_games_active,pred_cond_games_active,actual_avg_active,pred_cond_avg_active,p_ratio,games_ratio,avg_ratio,p_log_share,games_log_share,avg_log_share,actual_points_mean,pred_points_mean,points_bias
1,position,RUC,413,0.47457627,0.41010399,16.15306122,13.38565837,86.10045918,65.84036087,1.15720959,1.20674387,1.30771548,0.24245595,0.31205544,0.44548861,724.74205811,405.66508239,-319.07697572
4,prior_games,zero prior games,418,0.20813397,0.21302227,15.03448276,8.59712045,61.74482759,32.61247028,0.97705265,1.74878122,1.89328889,-0.01977372,0.47607296,0.54370076,211.70215311,72.62180966,-139.08034345
3,prior_games,zero prior games,515,0.22912621,0.24077435,13.25423729,8.38252035,56.02966102,36.86158364,0.95162220,1.58117568,1.52000146,-0.05993908,0.55381682,0.50612225,189.88893204,80.34619206,-109.54273998
4,tenure_band,4-5,588,0.57312925,0.45795770,18.91988131,15.75951768,75.90118694,68.98032165,1.25148949,1.20053682,1.10033101,0.44624638,0.36356398,0.19018964,856.87585034,564.86796598,-292.00788436
1,pick_band,61+ / undrafted,890,0.46741573,0.35206494,15.79326923,12.26004775,64.61471154,54.07954173,1.32764066,1.28818986,1.19480878,0.39657498,0.35436362,0.24906141,522.48280899,277.93041053,-244.55239846
3,age_band,24-26,862,0.62761021,0.49898006,18.32532348,15.48945316,76.65323475,69.08753299,1.25778615,1.18308395,1.10950893,0.45742988,0.33531343,0.20725669,924.92285383,591.95789401,-332.96495982
1,prior_games,zero prior games,719,0.12100139,0.14765485,11.42528736,6.17870083,50.53333333,24.34921664,0.81948809,1.84914073,2.07535766,-0.17374676,0.53650920,0.63723756,93.45577191,22.06161306,-71.39415885
2,prior_games,zero prior games,615,0.21300813,0.21054431,12.25190840,7.62367255,52.47633588,35.25472889,1.01170215,1.60708744,1.48849069,0.01316354,0.53678725,0.45004921,159.91138211,58.90125688,-101.01012523
2,age_band,24-26,1047,0.67908309,0.58883333,17.70604782,16.13628222,76.07454290,70.90760699,1.15326878,1.09728174,1.07286857,0.46636121,0.30361149,0.23002729,956.53992359,729.82156321,-226.71836038
4,age_band,24-26,680,0.56617647,0.44681087,18.67272727,14.68595593,77.58701299,67.30729805,1.26715017,1.27146829,1.15272809,0.38245889,0.38795411,0.22958700,862.48161765,485.89069818,-376.59091946
1,age_band,27-29,930,0.73440860,0.66584188,17.78330893,15.93878221,77.27404100,72.42249634,1.10297749,1.11572570,1.06698947,0.35986753,0.40206070,0.23807177,1060.71115054,822.10375776,-238.60739278
5,prior_games,zero prior games,327,0.22324159,0.19983895,17.30136986,7.31224089,66.87123288,24.30561661,1.11710750,2.36608314,2.75126667,0.05581679,0.43408191,0.51010130,273.35076453,45.58865385,-227.76211067
3,tenure_band,4-5,734,0.62261580,0.51651514,18.31728665,16.00920299,74.87549234,69.41985358,1.20541637,1.14417230,1.07858903,0.47040214,0.33911120,0.19048666,893.63351499,651.33698735,-242.29652763
4,age_band,21-23,924,0.54978355,0.44419214,18.60629921,15.69136562,74.31003937,67.71651780,1.23771561,1.18576672,1.09736947,0.44750217,0.35753098,0.19496685,791.84480519,544.77504895,-247.06975624
1,age_band,24-26,1225,0.72816327,0.67309175,17.64910314,16.47750380,75.03643498,71.58359487,1.08181874,1.07110296,1.04823508,0.40446136,0.35326461,0.24227404,1011.14195918,848.68278501,-162.45917417
