lead,model_id,eventual_played,n,actual_points,predicted_points,mae_points,points_bias,actual_games,predicted_games,predicted_meaningful_probability
1,baseline_recent_scoring,false,498,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00100000,0.00100000
1,baseline_recent_scoring,true,221,304.04841629,0.00000000,304.04841629,-304.04841629,6.04977376,0.00100000,0.00100000
1,vnext_fold_specific,false,498,0.00000000,19.42576114,19.42576114,19.42576114,0.00000000,0.78701624,0.13910903
1,vnext_fold_specific,true,221,304.04841629,28.00122508,279.02488513,-276.04719121,6.04977376,1.06803856,0.16691194
2,baseline_recent_scoring,false,401,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00100000,0.00100000
2,baseline_recent_scoring,true,214,459.55841121,0.00000000,459.55841121,-459.55841121,8.61682243,0.00100000,0.00100000
2,vnext_fold_specific,false,401,0.00000000,48.71513920,48.71513920,48.71513920,0.00000000,1.36769969,0.19320810
2,vnext_fold_specific,true,214,459.55841121,77.98832786,394.38350477,-381.57008335,8.61682243,1.99829651,0.24302945
3,baseline_recent_scoring,false,346,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00100000,0.00100000
3,baseline_recent_scoring,true,169,578.65562130,0.00000000,578.65562130,-578.65562130,10.13017751,0.00100000,0.00100000
3,vnext_fold_specific,false,346,0.00000000,67.93114733,67.93114733,67.93114733,0.00000000,1.77426159,0.22161876
3,vnext_fold_specific,true,169,578.65562130,105.76397594,488.47255211,-472.89164536,10.13017751,2.53932896,0.27999229
4,baseline_recent_scoring,false,297,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00100000,0.00100000
4,baseline_recent_scoring,true,121,731.33471074,0.00000000,731.33471074,-731.33471074,11.64462810,0.00100000,0.00100000
4,vnext_fold_specific,false,297,0.00000000,61.33073185,61.33073185,61.33073185,0.00000000,1.66189573,0.19590465
4,vnext_fold_specific,true,121,731.33471074,100.33627339,653.72448668,-630.99843736,11.64462810,2.49151186,0.25503824
5,baseline_recent_scoring,false,241,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00100000,0.00100000
5,baseline_recent_scoring,true,86,1039.36860465,0.00000000,1039.36860465,-1039.36860465,15.10465116,0.00100000,0.00100000
5,vnext_fold_specific,false,241,0.00000000,38.35509861,38.35509861,38.35509861,0.00000000,1.35514274,0.18616237
5,vnext_fold_specific,true,86,1039.36860465,65.85943076,978.58777476,-973.50917390,15.10465116,2.03830199,0.23816519
