lead,slice_type,slice_value,n,mae_games_current,mae_games_candidate,mae_games_change_pct,mae_total_points_current,mae_total_points_candidate,mae_total_points_change_pct
1,position,RUC,413,4.283671027332,4.384662939780,2.357601968104,412.400617701946,411.938974517545,-0.111940468706
4,prior_games,zero prior games,418,3.949847153655,4.660449189171,17.990621101854,232.813134561824,308.436337989864,32.482361259544
3,prior_games,zero prior games,515,3.778579090291,4.433555425893,17.333932146218,205.934054916900,272.699618409494,32.420846333325
4,tenure_band,4-5,588,7.184193683247,7.293827123631,1.526036813839,572.730693165950,580.499681988789,1.356482010750
1,pick_band,61+ / undrafted,890,4.875794630022,4.873173701405,-0.053753876349,334.827608316006,333.456173855883,-0.409594198943
3,age_band,24-26,862,6.793921574730,6.799874418755,0.087620146335,563.272363194303,560.010283440414,-0.579130091771
1,prior_games,zero prior games,719,2.109788912914,2.532886194684,20.054010104049,99.219094101358,135.524311431859,36.590958282096
2,prior_games,zero prior games,615,3.297462429717,3.799946906770,15.238520157924,168.996489169541,215.715033610850,27.644683431524
2,age_band,24-26,1047,6.126298181898,6.218460028489,1.504364362528,498.933381564842,503.307208464729,0.876635451043
4,age_band,24-26,680,7.039988408235,7.052266705425,0.174407917704,593.213324929808,593.064722964487,-0.025050341770
1,age_band,27-29,930,5.673298622273,5.743941472509,1.245181241802,491.455405645001,490.110882704031,-0.273579845806
5,prior_games,zero prior games,327,4.472512120828,5.260327182083,17.614598685749,285.633417109837,366.848579601468,28.433354652058
3,tenure_band,4-5,734,6.791873525432,6.899704291523,1.587643905433,547.679715715748,554.537121807812,1.252083269709
4,age_band,21-23,924,6.868293867372,7.031422093201,2.375090946580,530.875740071161,546.037560446171,2.856001740252
1,age_band,24-26,1225,5.570656605486,5.689131697430,2.126770690319,451.457238765629,454.193153691765,0.606018619530
