cohort,reference,feature,n,outside_minmax_share,outside_1_99_share,probe_missing_rate
age_21_23,meaningful_fit_rows,prev_games,5648,0.003718130312,0.016643059490,0.000000000000
age_21_23,meaningful_fit_rows,games_last_2,5648,0.002832861190,0.011154390935,0.000000000000
age_21_23,meaningful_fit_rows,last_games,5648,0.002124645892,0.010446175637,0.000000000000
age_21_23,meaningful_fit_rows,total_games,5648,0.000885269122,0.002124645892,0.000000000000
age_21_23,meaningful_fit_rows,avg_trend,5648,0.000708215297,0.018236543909,0.000000000000
age_24_26,meaningful_fit_rows,seasons_observed,4333,0.057004384953,0.060696976691,0.000000000000
age_24_26,meaningful_fit_rows,qualifying_seasons,4333,0.032079390722,0.036695130395,0.000000000000
age_24_26,meaningful_fit_rows,tenure,4333,0.031387029772,0.039464574198,0.000000000000
age_24_26,meaningful_fit_rows,total_games,4333,0.021232402492,0.044080313870,0.000000000000
age_24_26,meaningful_fit_rows,prev_avg,4333,0.005538887607,0.030925455804,0.000000000000
age_27_29,meaningful_fit_rows,seasons_observed,3331,0.340138096668,0.425097568298,0.000000000000
age_27_29,meaningful_fit_rows,tenure,3331,0.300810567397,0.433503452417,0.000000000000
age_27_29,meaningful_fit_rows,qualifying_seasons,3331,0.243470429301,0.337436205344,0.000000000000
age_27_29,meaningful_fit_rows,total_games,3331,0.168417892525,0.317622335635,0.000000000000
age_27_29,meaningful_fit_rows,career_best,3331,0.015610927649,0.060342239568,0.000000000000
pick_61_undrafted,meaningful_fit_rows,tenure,3256,0.066646191646,0.099815724816,0.000000000000
pick_61_undrafted,meaningful_fit_rows,seasons_observed,3256,0.058353808354,0.078931203931,0.000000000000
pick_61_undrafted,meaningful_fit_rows,qualifying_seasons,3256,0.036855036855,0.053439803440,0.000000000000
pick_61_undrafted,meaningful_fit_rows,total_games,3256,0.029791154791,0.059889434889,0.000000000000
pick_61_undrafted,meaningful_fit_rows,age,3256,0.014127764128,0.089066339066,0.000000000000
ruck,meaningful_fit_rows,tenure,1457,0.195607412491,0.234042553191,0.000000000000
ruck,meaningful_fit_rows,seasons_observed,1457,0.187371310913,0.214138641043,0.000000000000
ruck,meaningful_fit_rows,qualifying_seasons,1457,0.123541523679,0.150995195607,0.000000000000
ruck,meaningful_fit_rows,total_games,1457,0.083047357584,0.122855181881,0.000000000000
ruck,meaningful_fit_rows,age,1457,0.059025394647,0.261496225120,0.000000000000
tenure_4_5,meaningful_fit_rows,prev_games,3603,0.003885650847,0.024424091035,0.000000000000
tenure_4_5,meaningful_fit_rows,games_last_2,3603,0.003053011379,0.014432417430,0.000000000000
tenure_4_5,meaningful_fit_rows,age,3603,0.001942825423,0.012489592007,0.000000000000
tenure_4_5,meaningful_fit_rows,last_games,3603,0.001387732445,0.009159034138,0.000000000000
tenure_4_5,meaningful_fit_rows,total_games,3603,0.001387732445,0.002775464890,0.000000000000
zero_prior_games,meaningful_fit_rows,age,2594,0.005011565150,0.010794140324,0.000000000000
zero_prior_games,meaningful_fit_rows,tenure,2594,0.000385505012,0.000385505012,0.000000000000
zero_prior_games,meaningful_fit_rows,avg_trend,2594,0.000000000000,0.000000000000,0.000000000000
zero_prior_games,meaningful_fit_rows,career_best,2594,0.000000000000,0.000000000000,0.000000000000
zero_prior_games,meaningful_fit_rows,games_last_2,2594,0.000000000000,0.000000000000,0.000000000000
