cohort,reference,fold_rows,probe_rows_sum,nearest_train_distance_median,nearest_train_distance_p90,nearest_train_distance_p99,probe_norm_above_reference_p99_share
ruck,meaningful_fit_rows,25,1457,1.998049623224,3.744778701047,4.805462795170,0.179821551132
all,meaningful_fit_rows,25,20094,1.489835195477,3.366895157902,6.229769014105,0.158455260277
age_27_29,meaningful_fit_rows,25,3331,2.338272935628,3.291393668719,4.131446621647,0.324226958871
pick_61_undrafted,meaningful_fit_rows,25,3256,1.599109934533,2.881752296497,5.107187433378,0.063574938575
age_24_26,meaningful_fit_rows,25,4333,1.645030751582,2.324011063469,2.861497535589,0.052388645280
tenure_4_5,meaningful_fit_rows,25,3603,1.400564046661,2.007587087444,2.783031030734,0.002775464890
age_21_23,meaningful_fit_rows,25,5648,1.236989291624,1.783703063175,2.297110054412,0.003186968839
zero_prior_games,meaningful_fit_rows,25,2594,0.438591852308,1.220592726474,1.829480735167,0.000000000000
ruck,temporal_calibration_rows,25,1457,1.964017294783,2.892304723009,3.571121569683,0.076183939602
pick_61_undrafted,temporal_calibration_rows,25,3256,1.687437997663,2.746559162453,3.916957519655,0.019041769042
age_27_29,temporal_calibration_rows,25,3331,1.984964555244,2.742090087842,3.399727850180,0.072350645452
all,temporal_calibration_rows,25,20094,1.510834613135,2.642701078439,4.242845998610,0.064695929133
age_24_26,temporal_calibration_rows,25,4333,1.648819594110,2.278021490240,2.830131534222,0.001615508885
tenure_4_5,temporal_calibration_rows,25,3603,1.501253975380,2.083575001140,2.792811973382,0.001387732445
age_21_23,temporal_calibration_rows,25,5648,1.338208289932,1.890704397484,2.396751669621,0.001770538244
zero_prior_games,temporal_calibration_rows,25,2594,0.467713497684,1.262126960420,1.987065429829,0.000000000000
