lead,slice_type,slice_value,n_current,brier_meaningful_change_pct,mae_games_change_pct,mae_total_points_change_pct
1,position,RUC,413,0.170386485135,0.289529696710,-0.152186098121
4,prior_games,zero prior games,418,0.400903347486,0.505286269281,0.267110175357
3,prior_games,zero prior games,515,1.636069547552,-0.466559985500,-0.417812974166
4,tenure_band,4-5,588,-1.625494131248,-1.096113480405,-0.941017071031
1,pick_band,61+ / undrafted,890,0.636634218001,-0.034435453080,-0.261622626089
3,age_band,24-26,862,-2.290713336591,-1.120139864902,-0.814715904221
1,prior_games,zero prior games,719,2.328835751362,-0.414961348494,-0.388047098562
2,prior_games,zero prior games,615,-0.476896070179,0.135799808984,0.068987057209
2,age_band,24-26,1047,1.383951356547,0.232742234707,0.102878961527
4,age_band,24-26,680,0.243789310469,-0.069838911898,-0.052022291798
1,age_band,27-29,930,-0.195357275795,-0.165981376929,-0.274250789924
5,prior_games,zero prior games,327,2.653836444823,-0.939454263524,-0.176241295443
3,tenure_band,4-5,734,0.364948742778,-0.134977457721,-0.097791686421
4,age_band,21-23,924,-1.535055720197,-0.835621610268,-0.739288236472
1,age_band,24-26,1225,1.673496083851,0.327722191699,-0.005610510755
