direction,stable_player_id,key,player_name,task009_exp_points_5y,task012_exp_points_5y,delta_exp_points_5y,task009_rank,task012_rank,rank_change
decrease,afl-player-v1-b797a7fefb7394990338,sam-lalor,Sam Lalor,6661.54481485703,6562.124532632388,-99.4202822246425,42,45,-3
decrease,afl-player-v1-279d78b79a766963d4c9,xavier-lindsay,Xavier Lindsay,5535.588316735644,5455.303203631243,-80.2851131044008,80,83,-3
decrease,afl-player-v1-c399795725e17c13dffb,angus-clarke,Angus Clarke,4320.394667454049,4245.548109315317,-74.84655813873269,132,134,-2
decrease,afl-player-v1-f6b273b240ecc1e56ea8,tom-mccarthy,Tom McCarthy,5044.638727612158,4971.478529088058,-73.16019852409954,99,103,-4
decrease,afl-player-v1-8e328cd4f9bc35e7e371,luke-trainor,Luke Trainor,5998.1374249616165,5930.051787591132,-68.08563737048462,62,65,-3
decrease,afl-player-v1-0eb1e4c909a009f45d6e,willem-duursma,Willem Duursma,8634.709768318746,8567.444887174412,-67.26488114433414,14,14,0
decrease,afl-player-v1-7710e2249b25933935af,isaac-kako,Isaac Kako,5721.7014030745,5654.507917797976,-67.19348527652346,70,71,-1
decrease,afl-player-v1-fe72527f019221062fb2,finn-o-sullivan,Finn O'Sullivan,8381.48861394455,8315.679556440635,-65.80905750391503,17,17,0
decrease,afl-player-v1-2dd3ccd0e1b4dff6e11a,bo-allan,Bo Allan,4922.6383422797335,4859.074510449138,-63.56383183059552,105,107,-2
decrease,afl-player-v1-33880cd39dfb13366e39,cooper-lord,Cooper Lord,4061.680642276548,3998.505170711968,-63.175471564579766,149,153,-4
increase,afl-player-v1-d12a2f85b92e8396e034,harry-sheezel,Harry Sheezel,10573.452990146545,10722.487854523344,149.0348643767993,1,1,0
increase,afl-player-v1-3a6df4b9ca059308ea0d,nasiah-wanganeen-milera,Nasiah Wanganeen-Milera,9155.712182627689,9285.104080454592,129.391897826903,8,8,0
increase,afl-player-v1-678c7cda11ddaff2aa8a,finn-callaghan,Finn Callaghan,8656.481264211288,8774.999805671236,118.5185414599473,13,13,0
increase,afl-player-v1-25c90ee89147d316c6b8,nick-daicos,Nick Daicos,10110.819708132884,10212.871167457472,102.051459324588,2,2,0
increase,afl-player-v1-308ccebe1548de60b409,errol-gulden,Errol Gulden,4525.481015732136,4623.597182496961,98.1161667648248,120,116,4
increase,afl-player-v1-762b0db67968a431f13b,sam-darcy,Sam Darcy,5030.756930691439,5126.111273593731,95.35434290229205,101,94,7
increase,afl-player-v1-ab3fe74846e344f27891,harvey-thomas,Harvey Thomas,6657.405810744669,6748.539633138691,91.133822394022,44,40,4
increase,afl-player-v1-225c5c03a81a8580efd3,sam-flanders,Sam Flanders,6293.67299978545,6382.646326389514,88.97332660406391,55,53,2
increase,afl-player-v1-1d1e35bfd48a45849e03,matt-rowell,Matt Rowell,6802.465865723607,6890.569203591443,88.10333786783576,37,35,2
increase,afl-player-v1-12cdb476c70ab6740733,will-ashcroft,Will Ashcroft,10023.881015147412,10111.1268576197,87.24584247228813,3,3,0
