lead,predicted_avg_band,n,mae,bias,actual_avg,pred_avg,recent_avg,shrinkage
1,105-120,19,11.764705897970249,-9.504017653756359,117.2036842105263,107.69966655676996,112.61982465606118,-4.920158099291226
1,60-75,1302,10.44257434848429,0.2705934763955312,67.29336405529955,67.56395753169508,67.41429123072399,0.14966630097107786
1,75-90,941,11.258477936535808,-2.652046680373209,84.16806588735388,81.51601920698067,83.00412907383168,-1.4881098668510084
1,90-105,231,10.812453017033388,-6.818261202939203,102.68991341991341,95.87165221697421,99.9913137752157,-4.119661558241484
1,<60,996,14.374435688249104,-9.354056094693878,56.24203815261044,46.88798205791657,47.988106467257374,-1.1001244093408067
2,105-120,6,13.17318274658632,-5.738898024951965,112.95,107.21110197504804,110.42158511165515,-3.2104831366071216
2,60-75,1033,12.526569655339333,-1.85506722644302,69.7087802516941,67.85371302525107,68.36246547933386,-0.5087524540827798
2,75-90,748,12.998598357593847,-1.7236891954990847,82.74879679144385,81.02510759594476,80.26758661692868,0.7575209790160834
2,90-105,155,13.145329677107679,-6.671909681969888,101.68174193548387,95.00983225351399,96.31339592918512,-1.3035636756711368
2,<60,832,16.048413226895672,-12.107976417933987,59.96127403846154,47.85329762052755,47.29156597166569,0.5617316488618626
3,105-120,4,13.236679914717556,-5.773393514845587,113.3,107.52660648515442,103.12522490992222,4.401381575232193
3,60-75,757,14.057682073057395,-3.403155613734691,71.43742404227213,68.03426842853744,69.54008772064809,-1.5058192921106546
3,75-90,523,13.69329114187798,-1.5215097483181594,82.77491395793498,81.25340420961683,78.31683248947674,2.936571720140092
3,90-105,111,14.984302552289332,-3.796471726142007,98.27027027027027,94.47379854412826,92.0792002967951,2.394598247333176
3,<60,712,18.974335725568192,-16.324607009032746,63.55169943820224,47.2270924291695,50.00184056470036,-2.7747481355308605
4,105-120,4,10.142483369396043,-5.194275067180865,114.75,109.55572493281913,103.12522490992222,6.430500022896915
4,60-75,489,14.56708156235566,-5.7701788303252295,73.39862985685072,67.6284510265255,70.74170458805716,-3.113253561531673
4,75-90,352,14.676822946511924,-0.26020315495200824,81.96798295454545,81.70777979959345,77.29169111621474,4.4160886833787165
4,90-105,84,12.934849793533203,-1.6968614250748315,96.64095238095238,94.94409095587756,88.7605587979341,6.183532157943453
4,<60,560,23.002587703208512,-21.12066798313269,66.10880357142857,44.98813558829588,52.281363667069975,-7.293228078774099
5,105-120,5,11.91841481568735,6.295919095895163,102.3,108.59591909589517,100.27612956036607,8.319789535529086
5,60-75,284,13.966301809182655,-5.459968123299007,72.99080985915492,67.53084173585592,71.40356525537845,-3.8727235195225287
5,75-90,224,14.252760800874219,-1.4227401839102023,83.32053571428571,81.89779553037552,79.01050495797087,2.8872905724046434
5,90-105,53,14.776059664836952,0.20987640196422452,95.0490566037736,95.25893300573782,88.17151362806855,7.087419377669262
5,<60,423,27.859822919605154,-26.46665129542859,68.26404255319149,41.797391257762904,51.54036497791405,-9.742973720151152
