lead,elite_prior,n,mae,bias,actual_avg,pred_avg,recent_avg,shrinkage
1,prior_105_plus,103,13.151013436060605,-10.552551198571868,108.35194174757281,97.79939054900095,110.91911929765882,-13.11972874865787
1,under_105,3386,11.776151553628102,-3.5819802097243754,70.17813644418193,66.59615623445755,67.18533595544824,-0.5891797209906835
2,prior_105_plus,87,17.406693178877354,-14.28039028979718,105.21310344827585,90.93271315847868,111.161346137796,-20.22863297931732
2,under_105,2687,13.62759982139628,-4.877419343696584,71.11197618161519,66.2345568379186,65.47273289309481,0.7618239448237911
3,prior_105_plus,70,18.80454430341875,-14.7812890940815,101.18414285714286,86.40285376306136,111.40985005484887,-25.006996291787516
3,under_105,2037,15.56841916290371,-7.071610352221067,72.1141531664212,65.04254281420015,64.81956941940997,0.22297339479016556
4,prior_105_plus,54,20.76827896170269,-14.596150645503402,97.94166666666668,83.34551602116326,111.3192469905278,-27.973730969364535
4,under_105,1435,17.544671726246207,-9.836867145814827,73.20806968641115,63.37120254059632,64.76242576390548,-1.391223223309166
5,prior_105_plus,39,21.106533872949246,-11.412144190736168,94.13692307692308,82.7247788861869,110.98150127141001,-28.256722385223092
5,under_105,950,19.961391203648898,-13.238991134691375,73.83856842105263,60.59957728636125,63.81550773607903,-3.2159304497177676
