lead,prior_avg_band,n,mae,bias,actual_avg,pred_avg,recent_avg,shrinkage
1,105-120,97,12.815986103840624,-10.498124363876263,107.9698969072165,97.47177254334024,110.29107992597744,-12.81930738263721
1,120+,6,18.567288640283667,-11.432451692817454,114.52833333333332,103.09588164051587,121.07242247317443,-17.976540832658547
1,60-75,1126,10.124021362187602,-0.5572732582386792,67.77096802841919,67.21369477018051,67.38673683703391,-0.17304206685341017
1,75-90,774,11.62151319642208,-4.245809932655393,81.12357881136951,76.87776887871411,81.85979287587955,-4.982023997165439
1,90-105,409,12.828966037858322,-8.173873595873319,93.84713936430319,85.67326576842986,96.52506739662459,-10.851801628194744
1,<60,1077,13.214765815456612,-4.523420717513947,55.840232126276696,51.31681140876275,45.286768445215685,6.0300429635470625
2,105-120,82,17.242571528018775,-14.614319574095553,105.41426829268292,90.79994871858737,110.54533285162411,-19.74538413303673
2,120+,5,20.09828825295808,-8.80395002730388,101.914,93.11004997269612,121.26396403101519,-28.15391405831908
2,60-75,864,12.262288430701552,-1.8742195639452872,69.68480324074073,67.81058367679546,67.44690507738903,0.3636785994064222
2,75-90,589,13.823579700502053,-6.396654628777018,80.57960950764007,74.18295487886306,81.78149621062876,-7.598541331765711
2,90-105,327,15.899303104906535,-12.046820092782626,92.06755351681957,80.02073342403695,96.38399715976509,-16.363263735728147
2,<60,907,13.981899621902448,-4.166880183654256,58.76816979051819,54.60128960686393,41.8569338010784,12.74435580578554
3,105-120,66,18.347128809833595,-14.370045722027564,100.87257575757576,86.50253003554819,110.81512085849836,-24.312590822950163
3,120+,4,26.351899947573788,-21.56680473297143,106.325,84.75819526702857,121.22288179463241,-36.464686527603845
3,60-75,644,13.708462360485685,-3.3794047132880083,70.9061956521739,67.52679093888591,67.41915696606519,0.10763397282071487
3,75-90,450,15.751754962403416,-8.507955511012103,80.54604444444445,72.03808893343233,81.63054251352247,-9.592453580090137
3,90-105,236,17.854269566773823,-14.114077474786681,90.48851694915254,76.37443947436586,96.49179550488918,-20.11735603052333
3,<60,707,16.3829175726194,-7.169775655037811,61.71418670438472,54.54441104934691,41.179233311107744,13.36517773823917
4,105-120,51,19.48289193778345,-13.12065688963831,97.03745098039215,83.91679409075384,110.73106405981062,-26.814269969056763
4,120+,3,42.619858368329815,-39.679544495209925,113.31333333333333,73.63378883812341,121.31835681272001,-47.684567974596604
4,60-75,469,14.777346711604991,-4.627348444753721,71.73876332622602,67.1114148814723,67.44895281675461,-0.33753793528231446
4,75-90,310,17.45598449423555,-10.252420305834251,80.31812903225806,70.06570872642381,81.71329107460014,-11.64758234817633
4,90-105,162,17.389644937829924,-14.475672101950769,89.10481481481482,74.62914271286405,96.61548452506753,-21.986341812203488
4,<60,494,20.278442603803846,-13.000746474352509,64.92813765182186,51.92739117746935,41.128933955383566,10.798457222085789
5,105-120,37,20.369094045725703,-10.150683299609218,93.41135135135134,83.26066805174213,110.42745302449015,-27.166784972748005
5,120+,2,34.749170676584754,-34.749170676584754,107.56,72.81082932341525,121.23139383942745,-48.420564516012206
5,60-75,316,15.130804963357662,-6.5080817244798235,72.63949367088608,66.13141194640626,67.42464099880277,-1.2932290523965193
5,75-90,199,18.396831878985846,-9.983276826140743,79.63165829145728,69.64838146531655,81.7953094280616,-12.146927962745053
5,90-105,101,17.935013171749343,-13.479145268468352,88.78277227722772,75.30362700875936,96.46141985503203,-21.157792846272663
5,<60,334,26.076591020301095,-21.47431734282596,67.00239520958084,45.52807786675488,39.816394647038635,5.711683219716244
