player_key,origin_year,lead,cond_avg,games,avg,meaningful,total_games,age,position,weighted_avg,last_avg,career_best,error,abs_error,recent_demonstrated_avg,shrinkage,predicted_avg_band,prior_avg_band,games_band,established,elite_prior,age_band,broad_position
toby-mclean,2018,5,90.07664719206488,6,29.5,1,60,22.0,FWD,86.82695037076695,94.7,94.7,60.57664719206488,60.57664719206488,86.82695037076695,3.249696821297931,90-105,75-90,50-99,established_50_plus,under_105,22-24,FWD
lochie-o-brien,2019,4,79.03718893323182,6,26.7,1,35,20.0,MID,45.88144192256341,44.8,47.3,52.337188933231815,52.337188933231815,45.88144192256341,33.15574701066841,75-90,<60,25-49,under_50,under_105,<22,MID
toby-mclean,2019,4,80.74308082981003,6,29.5,1,79,23.0,FWD,80.15852702524285,68.8,94.7,51.243080829810026,51.243080829810026,80.15852702524285,0.5845538045671788,75-90,75-90,50-99,established_50_plus,under_105,22-24,FWD
nathan-fyfe,2024,1,68.70319444669482,8,21.9,1,240,33.0,MID,82.78270335193865,69.2,122.2,46.803194446694825,46.803194446694825,82.78270335193865,-14.079508905243827,60-75,75-90,200+,established_50_plus,under_105,31-33,MID
lochie-o-brien,2018,5,72.6253673122603,6,26.7,1,18,19.0,MID,47.3,47.3,47.3,45.92536731226029,45.92536731226029,47.3,25.325367312260298,60-75,<60,1-24,under_50,under_105,<22,MID
toby-mclean,2020,3,74.40174804642815,6,29.5,1,91,24.0,FWD,77.22880547767473,68.2,94.7,44.90174804642815,44.90174804642815,77.22880547767473,-2.8270574312465726,60-75,75-90,50-99,established_50_plus,under_105,22-24,FWD
jack-lukosius,2020,5,94.54104009368396,7,49.7,1,38,20.0,FWD,66.26625155666252,80.2,80.2,44.84104009368396,44.84104009368396,66.26625155666252,28.274788537021436,90-105,60-75,25-49,under_50,under_105,<22,FWD
connor-blakely,2018,3,81.52309136579926,13,37.1,1,46,22.0,MID,83.3870764624588,85.1,89.2,44.42309136579926,44.42309136579926,83.3870764624588,-1.8639850966595333,75-90,75-90,25-49,under_50,under_105,22-24,MID
nicholas-coffield,2020,4,84.7586836308301,8,40.5,1,36,21.0,DEF,70.47114427860697,79.9,79.9,44.258683630830106,44.258683630830106,70.47114427860697,14.287539352223135,75-90,60-75,25-49,under_50,under_105,<22,DEF
sam-petrevski-seton,2019,3,94.33583809920135,14,51.1,1,64,21.0,MID,73.87905741785596,81.6,81.6,43.23583809920135,43.23583809920135,73.87905741785596,20.456780681345393,90-105,60-75,50-99,established_50_plus,under_105,<22,MID
jarryd-lyons,2022,1,82.22915084370153,10,39.1,1,181,30.0,MID,99.32703728134013,90.9,115.9,43.12915084370153,43.12915084370153,99.32703728134013,-17.097886437638593,75-90,90-105,100-199,established_50_plus,under_105,28-30,MID
