player_key,origin_year,lead,cond_avg,games,avg,meaningful,total_games,age,position,weighted_avg,last_avg,career_best,error,abs_error,recent_demonstrated_avg,shrinkage,predicted_avg_band,prior_avg_band,games_band,established,elite_prior,age_band,broad_position
tristan-xerri,2019,5,15.890729338138172,23,119.9,1,0,20.0,RUC,0.0,0.0,0.0,-104.00927066186183,104.00927066186183,0.0,15.890729338138172,<60,<60,0,under_50,under_105,<22,RUC
tristan-xerri,2020,5,32.5647524436904,20,127.0,1,4,21.0,RUC,49.5,49.5,0.0,-94.4352475563096,94.4352475563096,49.5,-16.935247556309598,<60,<60,1-24,under_50,under_105,<22,RUC
darcy-cameron,2019,5,10.921472865619766,23,105.1,1,1,24.0,RUC,25.0,25.0,0.0,-94.17852713438023,94.17852713438023,25.0,-14.078527134380234,<60,<60,1-24,under_50,under_105,22-24,RUC
lloyd-meek,2019,5,13.289666049006671,21,104.5,1,0,21.0,RUC,0.0,0.0,0.0,-91.21033395099333,91.21033395099333,0.0,13.289666049006671,<60,<60,0,under_50,under_105,<22,RUC
lloyd-meek,2020,5,16.437614043484167,25,102.0,1,0,22.0,RUC,0.0,0.0,0.0,-85.56238595651584,85.56238595651584,0.0,16.437614043484167,<60,<60,0,under_50,under_105,22-24,RUC
jordan-dawson,2018,5,33.52018658395188,23,115.9,1,5,21.0,MID,55.72881355932204,60.0,0.0,-82.37981341604812,82.37981341604812,55.72881355932204,-22.20862697537016,<60,<60,1-24,under_50,under_105,<22,MID
tristan-xerri,2021,4,44.688945832646056,20,127.0,1,12,22.0,RUC,41.19117647058824,38.2,38.2,-82.31105416735394,82.31105416735394,41.19117647058824,3.4977693620578165,<60,<60,1-24,under_50,under_105,22-24,RUC
tristan-xerri,2020,4,38.33582010871698,23,119.9,1,4,21.0,RUC,49.5,49.5,0.0,-81.56417989128303,81.56417989128303,49.5,-11.16417989128302,<60,<60,1-24,under_50,under_105,<22,RUC
reilly-o-brien,2018,4,20.70450383103877,20,101.8,1,2,23.0,RUC,63.0,63.0,0.0,-81.09549616896123,81.09549616896123,63.0,-42.29549616896123,<60,60-75,1-24,under_50,under_105,22-24,RUC
lloyd-meek,2020,4,24.2578058970702,21,104.5,1,0,22.0,RUC,0.0,0.0,0.0,-80.2421941029298,80.2421941029298,0.0,24.2578058970702,<60,<60,0,under_50,under_105,22-24,RUC
reilly-o-brien,2018,5,18.17366807681852,23,95.8,1,2,23.0,RUC,63.0,63.0,0.0,-77.62633192318148,77.62633192318148,63.0,-44.826331923181485,<60,60-75,1-24,under_50,under_105,22-24,RUC
jack-buckley,2019,5,0.27441514677718,23,77.4,1,0,22.0,DEF,0.0,0.0,0.0,-77.12558485322283,77.12558485322283,0.0,0.27441514677718,<60,<60,0,under_50,under_105,22-24,DEF
matthew-flynn,2020,1,10.474210137209004,12,87.0,1,0,23.0,RUC,0.0,0.0,0.0,-76.525789862791,76.525789862791,0.0,10.474210137209004,<60,<60,0,under_50,under_105,22-24,RUC
darcy-cameron,2018,5,17.203462839093795,19,92.3,1,1,23.0,RUC,25.0,25.0,0.0,-75.0965371609062,75.0965371609062,25.0,-7.796537160906205,<60,<60,1-24,under_50,under_105,22-24,RUC
matthew-flynn,2018,5,13.343248143052865,9,88.0,1,0,21.0,RUC,0.0,0.0,0.0,-74.65675185694714,74.65675185694714,0.0,13.343248143052865,<60,<60,0,under_50,under_105,<22,RUC
darcy-cameron,2020,5,35.111462631438016,25,109.7,1,11,25.0,RUC,51.33480377243688,52.7,52.7,-74.58853736856199,74.58853736856199,51.33480377243688,-16.223341140998862,<60,<60,1-24,under_50,under_105,25-27,RUC
jordan-dawson,2018,4,35.080013293624894,22,109.5,1,5,21.0,MID,55.72881355932204,60.0,0.0,-74.41998670637511,74.41998670637511,55.72881355932204,-20.648800265697147,<60,<60,1-24,under_50,under_105,<22,MID
reilly-o-brien,2018,2,31.86924194850353,17,106.2,1,2,23.0,RUC,63.0,63.0,0.0,-74.33075805149647,74.33075805149647,63.0,-31.13075805149647,<60,60-75,1-24,under_50,under_105,22-24,RUC
matthew-flynn,2020,5,8.521387201430787,18,82.7,1,0,23.0,RUC,0.0,0.0,0.0,-74.17861279856922,74.17861279856922,0.0,8.521387201430787,<60,<60,0,under_50,under_105,22-24,RUC
tristan-xerri,2021,3,45.96784614607189,23,119.9,1,12,22.0,RUC,41.19117647058824,38.2,38.2,-73.93215385392811,73.93215385392811,41.19117647058824,4.776669675483653,<60,<60,1-24,under_50,under_105,22-24,RUC
jordon-sweet,2019,5,17.15172718923805,17,89.1,1,0,21.0,RUC,0.0,0.0,0.0,-71.94827281076195,71.94827281076195,0.0,17.15172718923805,<60,<60,0,under_50,under_105,<22,RUC
tristan-xerri,2022,3,55.08204756244184,20,127.0,1,24,23.0,RUC,59.46853823814134,71.4,71.4,-71.91795243755816,71.91795243755816,59.46853823814134,-4.386490675699498,<60,<60,1-24,under_50,under_105,22-24,RUC
jack-buckley,2018,5,7.127689235885015,26,78.7,1,0,21.0,DEF,0.0,0.0,0.0,-71.57231076411499,71.57231076411499,0.0,7.127689235885015,<60,<60,0,under_50,under_105,<22,DEF
darcy-cameron,2019,4,21.139531586982734,19,92.3,1,1,24.0,RUC,25.0,25.0,0.0,-71.16046841301727,71.16046841301727,25.0,-3.8604684130172657,<60,<60,1-24,under_50,under_105,22-24,RUC
timothy-english,2018,5,57.618683106485456,23,128.0,1,9,21.0,RUC,58.72037914691943,63.6,63.6,-70.38131689351454,70.38131689351454,58.72037914691943,-1.1016960404339713,<60,<60,1-24,under_50,under_105,<22,RUC
marc-pittonet,2019,5,18.63438585320781,14,88.8,1,7,23.0,RUC,58.50458692417819,72.5,0.0,-70.1656141467922,70.1656141467922,58.50458692417819,-39.87020107097038,<60,<60,1-24,under_50,under_105,22-24,RUC
kieren-briggs,2020,3,35.04962025950717,17,105.2,1,0,21.0,RUC,0.0,0.0,0.0,-70.15037974049284,70.15037974049284,0.0,35.04962025950717,<60,<60,0,under_50,under_105,<22,RUC
matthew-flynn,2019,4,17.855212614430982,9,88.0,1,0,22.0,RUC,0.0,0.0,0.0,-70.14478738556902,70.14478738556902,0.0,17.855212614430982,<60,<60,0,under_50,under_105,22-24,RUC
kieren-briggs,2019,5,25.022838751340032,24,94.9,1,0,20.0,RUC,0.0,0.0,0.0,-69.87716124865997,69.87716124865997,0.0,25.022838751340032,<60,<60,0,under_50,under_105,<22,RUC
kieren-briggs,2019,4,36.38324830781572,17,105.2,1,0,20.0,RUC,0.0,0.0,0.0,-68.81675169218428,68.81675169218428,0.0,36.38324830781572,<60,<60,0,under_50,under_105,<22,RUC
tristan-xerri,2023,2,58.19877593079215,20,127.0,1,33,24.0,RUC,64.66107083652919,72.9,72.9,-68.80122406920785,68.80122406920785,64.66107083652919,-6.462294905737039,<60,60-75,25-49,under_50,under_105,22-24,RUC
tom-de-koning,2019,5,32.92907442407695,17,101.5,1,2,20.0,RUC,39.5,39.5,0.0,-68.57092557592304,68.57092557592304,39.5,-6.570925575923049,<60,<60,1-24,under_50,under_105,<22,RUC
matthew-flynn,2020,3,19.528891131216326,9,88.0,1,0,23.0,RUC,0.0,0.0,0.0,-68.47110886878367,68.47110886878367,0.0,19.528891131216326,<60,<60,0,under_50,under_105,22-24,RUC
matthew-flynn,2018,4,15.995093606956257,12,84.3,1,0,21.0,RUC,0.0,0.0,0.0,-68.30490639304374,68.30490639304374,0.0,15.995093606956257,<60,<60,0,under_50,under_105,<22,RUC
jordon-sweet,2020,5,19.25281868397541,19,87.2,1,0,22.0,RUC,0.0,0.0,0.0,-67.9471813160246,67.9471813160246,0.0,19.25281868397541,<60,<60,0,under_50,under_105,22-24,RUC
thomas-liberatore,2018,5,48.20095685238553,21,116.0,1,117,26.0,MID,88.40054905727523,13.0,110.4,-67.79904314761447,67.79904314761447,88.40054905727523,-40.1995922048897,<60,75-90,100-199,established_50_plus,under_105,25-27,MID
max-gawn,2020,5,59.809038684468135,23,127.4,1,134,29.0,RUC,122.08503746888609,139.9,139.9,-67.59096131553187,67.59096131553187,122.08503746888609,-62.27599878441795,<60,120+,100-199,established_50_plus,prior_105_plus,28-30,RUC
reilly-o-brien,2018,3,28.415147433619826,20,95.7,1,2,23.0,RUC,63.0,63.0,0.0,-67.28485256638018,67.28485256638018,63.0,-34.58485256638018,<60,60-75,1-24,under_50,under_105,22-24,RUC
jack-buckley,2019,4,12.04295983952112,26,78.7,1,0,22.0,DEF,0.0,0.0,0.0,-66.65704016047889,66.65704016047889,0.0,12.04295983952112,<60,<60,0,under_50,under_105,22-24,DEF
darcy-cameron,2018,4,19.79327232586157,24,86.1,1,1,23.0,RUC,25.0,25.0,0.0,-66.30672767413843,66.30672767413843,25.0,-5.206727674138431,<60,<60,1-24,under_50,under_105,22-24,RUC
rowan-marshall,2018,5,49.99284964286994,24,116.2,1,13,23.0,RUC,62.47169811320754,62.8,62.8,-66.20715035713006,66.20715035713006,62.47169811320754,-12.478848470337596,<60,60-75,1-24,under_50,under_105,22-24,RUC
reilly-o-brien,2018,1,29.18986913806498,18,95.3,1,2,23.0,RUC,63.0,63.0,0.0,-66.11013086193502,66.11013086193502,63.0,-33.81013086193502,<60,60-75,1-24,under_50,under_105,22-24,RUC
ivan-soldo,2018,5,21.00479072641694,8,86.9,1,8,22.0,RUC,51.71258278145696,80.0,46.1,-65.89520927358306,65.89520927358306,51.71258278145696,-30.70779205504002,<60,<60,1-24,under_50,under_105,22-24,RUC
billy-frampton,2018,4,16.52729625674908,6,82.3,1,1,22.0,FWD,44.0,44.0,0.0,-65.77270374325091,65.77270374325091,44.0,-27.47270374325092,<60,<60,1-24,under_50,under_105,22-24,FWD
dylan-moore,2018,4,29.07903217509117,22,94.6,1,0,19.0,MID,0.0,0.0,0.0,-65.52096782490882,65.52096782490882,0.0,29.07903217509117,<60,<60,0,under_50,under_105,<22,MID
jeremy-mcgovern,2020,4,44.7897074002268,19,110.3,1,138,28.0,DEF,87.89527636271598,90.0,93.0,-65.5102925997732,65.5102925997732,87.89527636271598,-43.10556896248917,<60,75-90,100-199,established_50_plus,under_105,28-30,DEF
kieren-briggs,2022,1,39.78827017920675,17,105.2,1,9,23.0,RUC,64.33684210526314,57.8,0.0,-65.41172982079325,65.41172982079325,64.33684210526314,-24.548571926056397,<60,60-75,1-24,under_50,under_105,22-24,RUC
mitchell-hinge,2018,5,19.62432612781719,22,84.9,1,0,20.0,DEF,0.0,0.0,0.0,-65.27567387218281,65.27567387218281,0.0,19.62432612781719,<60,<60,0,under_50,under_105,<22,DEF
matthew-flynn,2019,2,21.917671920857572,12,87.0,1,0,22.0,RUC,0.0,0.0,0.0,-65.08232807914243,65.08232807914243,0.0,21.917671920857572,<60,<60,0,under_50,under_105,22-24,RUC
lloyd-meek,2018,4,22.10801418238105,6,87.0,1,0,20.0,RUC,0.0,0.0,0.0,-64.89198581761895,64.89198581761895,0.0,22.10801418238105,<60,<60,0,under_50,under_105,<22,RUC
