model,lead,n,mae,bias,actual_avg,pred_avg
task012,1,3489,11.816739336342504,-3.787760895265015,71.30507881914589,67.51731792388087
task012,2,2774,13.746122215808988,-5.172321460607453,72.18147801009373,67.00915654948626
task012,3,2107,15.675931626043747,-7.327745858595168,73.07993355481729,65.75218769622211
task012,4,1489,17.66157890604114,-10.00946708468869,74.10505708529213,64.09559000060345
task012,5,989,20.006548497989357,-13.166951669762907,74.6390091001011,61.472057430338204
task046,1,3489,10.481579994856233,1.8035066050051394,71.30507881914589,73.10858542415103
task046,2,2774,11.840268912585323,2.1823930984296886,72.18147801009373,74.36387110852341
task046,3,2107,12.656919883737364,2.498960922028584,73.07993355481729,75.57889447684586
task046,4,1489,13.13602253410267,2.6272815328435697,74.10505708529213,76.73233861813571
task046,5,989,13.618368708028997,2.6361788056636395,74.6390091001011,77.27518790576475
