model,lead,broad_position,n,mae,bias,actual_avg,pred_avg
task012,1,DEF,1033,11.258317748994115,-4.795460666459906,68.79111326234269,63.99565259588279
task012,1,FWD,1165,10.691202226609215,-0.7265180541099697,63.357201716738196,62.63068366262822
task012,1,MID,1095,11.796726849761598,-3.1119340956014456,79.48435616438356,76.37242206878211
task012,2,DEF,816,13.075618489866148,-6.5300379246874085,69.98519607843137,63.455158153743966
task012,2,FWD,931,11.92909863406173,-0.7904798780496229,63.852986036519866,63.06250615847025
task012,2,MID,856,13.495671960712464,-4.212558594729864,80.62559579439252,76.41303719966265
task012,3,DEF,621,14.751122359771678,-8.33841142005018,70.619307568438,62.28089614838782
task012,3,FWD,704,13.234757708680474,-2.571791564424886,64.85809659090908,62.28630502648421
task012,3,MID,643,15.336188409786333,-5.951384229014943,81.570466562986,75.61908233397106
task012,4,DEF,437,17.105819145763434,-11.09436269291988,71.41361556064074,60.31925286772085
task012,4,FWD,503,14.756168892287768,-5.112826172733946,65.90387673956263,60.79105056682868
task012,4,MID,448,16.406731698233557,-7.816997345660369,82.59060267857141,74.77360533291106
task012,5,DEF,303,19.383491881035116,-14.756645940015988,71.48052805280527,56.7238821127893
task012,5,FWD,324,16.762498583652608,-8.16704433761137,66.61938271604939,58.452338378438014
task012,5,MID,294,17.83569695782201,-9.236448185052334,82.84061224489795,73.60416405984562
task046,1,DEF,1033,9.845639948751112,-0.1284810220059269,68.79111326234269,68.66263224033676
task046,1,FWD,1165,10.115004288326624,4.174218618711764,63.357201716738196,67.53142033544997
task046,1,MID,1095,11.247424092962568,1.7806921326435303,79.48435616438356,81.26504829702709
task046,2,DEF,816,10.865416857525512,-0.6347332267812007,69.98519607843137,69.35046285165018
task046,2,FWD,931,11.360332084799527,5.386173679453353,63.852986036519866,69.23915971597322
task046,2,MID,856,12.985152890233545,2.244183583362752,80.62559579439252,82.86977937775528
task046,3,DEF,621,11.624585708434795,-0.686897497910147,70.619307568438,69.93241007052787
task046,3,FWD,704,12.111031340900162,6.226236252544258,64.85809659090908,71.08433284345335
task046,3,MID,643,13.977098320078602,2.490135778111592,81.570466562986,84.06060234109759
task046,4,DEF,437,11.995142773835592,-0.29925882832959516,71.41361556064074,71.11435673231114
task046,4,FWD,503,12.872497586692921,6.909967034494872,65.90387673956263,72.81384377405749
task046,4,MID,448,14.331266051087354,2.39003463378252,82.59060267857141,84.98063731235395
task046,5,DEF,303,12.09397587800365,-0.3968653099361266,71.48052805280527,71.08366274286915
task046,5,FWD,324,13.150759853460723,7.750414089552377,66.61938271604939,74.36979680560177
task046,5,MID,294,15.13231148822303,2.9598888565610433,82.84061224489795,85.800501101459
