model,lead,n,mae,bias,actual_avg,pred_avg
task012,1,103,13.151013436060605,-10.552551198571868,108.35194174757281,97.79939054900095
task012,2,87,17.406693178877354,-14.28039028979718,105.21310344827585,90.93271315847868
task012,3,70,18.80454430341875,-14.7812890940815,101.18414285714286,86.40285376306136
task012,4,54,20.76827896170269,-14.596150645503402,97.94166666666668,83.34551602116326
task012,5,39,21.106533872949246,-11.412144190736168,94.13692307692308,82.7247788861869
task046,1,103,10.451008366196119,-1.864433643825055,108.35194174757281,106.48750810374776
task046,2,87,13.306751598344635,-4.197530413232537,105.21310344827585,101.01557303504333
task046,3,70,14.390562768646046,-5.075120673175476,101.18414285714286,96.10902218396738
task046,4,54,18.81147636358159,-4.47452225344942,97.94166666666668,93.46714441321726
task046,5,39,21.71942090987606,1.6586601469168285,94.13692307692308,95.7955832238399
