model,lead,n,mae,bias,actual_avg,pred_avg
task012,1,2175,10.65568365877365,-2.8207039573888895,77.35106206896552,74.53035811157663
task012,2,1621,13.01805889599122,-5.070808813456096,77.69791486736582,72.62710605390973
task012,3,1169,14.899167153174574,-7.134622841067161,77.69582549187339,70.56120265080624
task012,4,785,16.01094266008137,-8.747122106018692,77.72309554140126,68.97597343538258
task012,5,488,16.365510324096878,-8.947306134460284,77.29627049180328,68.348964357343
task046,1,2175,10.226428163144211,0.3893547319699065,77.35106206896552,77.74041680093544
task046,2,1621,11.6578843142391,0.6101966911875354,77.69791486736582,78.30811155855336
task046,3,1169,12.408005159632982,0.9662545739058712,77.69582549187339,78.66208006577926
task046,4,785,13.060221391526802,1.5086645231135634,77.72309554140126,79.23176006451483
task046,5,488,13.5144201351335,1.6829201068929627,77.29627049180328,78.97919059869623
