stable_player_id,key,player_name,position,position_utility,current_exp_points_5y,candidate_exp_points_5y,delta_exp_points_5y,current_rank_exp_points_5y,candidate_rank_exp_points_5y,rank_change_exp_points_5y
afl-player-v1-95fa45c52eff59104176,louis-emmett,Louis Emmett,RUC,RUC,1782.8141297999337,512.8928349664789,-1269.9212948334548,329,564,-235
afl-player-v1-14f592be6d47ac00f7ed,mitchell-edwards,Mitchell Edwards,RUC,RUC,2283.5742759827203,1347.3211420205123,-936.2531339622078,283,369,-86
afl-player-v1-d12a2f85b92e8396e034,harry-sheezel,Harry Sheezel,FWD,MID,10722.487854523342,9842.612559543786,-879.8752949795562,1,4,-3
afl-player-v1-75c7189cf23a00883ccc,jacob-farrow,Jacob Farrow,DEF,DEF,7251.378295980609,6579.051316101218,-672.3269798793917,31,42,-11
afl-player-v1-da27734b8bd79dd7b863,harry-dean,Harry Dean,DEF,DEF,6048.886923985464,5379.536871030759,-669.3500529547046,62,74,-12
afl-player-v1-1e375a8a1f94f8a23dfd,kysaiah-pickett,Kysaiah Pickett,FWD,FWD,6558.728227175731,5915.54828948836,-643.1799376873714,47,58,-11
afl-player-v1-fc90df145520acd22b04,ben-murphy,Ben Murphy,DEF,DEF,6251.980260710569,5619.086422503952,-632.8938382066171,58,64,-6
afl-player-v1-b256e4d9e5432a4e53a4,nick-blakey,Nick Blakey,FWD,DEF,6474.733281813102,5843.035146001664,-631.6981358114381,49,60,-11
afl-player-v1-6864d3b68960de314967,zeke-uwland,Zeke Uwland,DEF,DEF,5119.358312267905,4495.831663714704,-623.5266485532011,95,113,-18
afl-player-v1-527601186c70f68adedc,josh-lindsay,Josh Lindsay,DEF,DEF,7444.456365915563,6834.45403660034,-610.0023293152226,30,35,-5
afl-player-v1-03ee55a3db4377aa7023,connor-rozee,Connor Rozee,FWD,MID,3834.4776181318734,3226.0498538865963,-608.4277642452771,166,184,-18
afl-player-v1-3a6df4b9ca059308ea0d,nasiah-wanganeen-milera,Nasiah Wanganeen-Milera,DEF,MID,9285.104080454592,8687.254926956559,-597.849153498033,8,15,-7
afl-player-v1-401083e67cc655ae73fb,josh-treacy,Josh Treacy,FWD,FWD,5801.466039029304,5224.3294761936895,-577.1365628356143,68,82,-14
afl-player-v1-ce22c3da857dc9f69e14,lachlan-ash,Lachlan Ash,DEF,DEF,7896.843901299556,7335.57758340368,-561.2663178958755,21,28,-7
afl-player-v1-762b0db67968a431f13b,sam-darcy,Sam Darcy,FWD,FWD,5126.111273593731,4580.668232071978,-545.443041521753,94,107,-13
afl-player-v1-ab3fe74846e344f27891,harvey-thomas,Harvey Thomas,FWD,FWD,6748.539633138691,6216.641308435476,-531.8983247032147,40,49,-9
afl-player-v1-fc6149dc80445b72a5df,caleb-may,Caleb May,RUC,RUC,547.8265425545217,17.584215301755368,-530.2423272527662,587,775,-188
afl-player-v1-d7dc302f0061f9c3a6a3,josh-rachele,Josh Rachele,FWD,FWD,5561.183245048816,5047.177243770098,-514.0060012787171,79,87,-8
afl-player-v1-7378cac294e3a212a182,zac-bailey,Zac Bailey,FWD,FWD,5072.100755217877,4571.839201577678,-500.2615536401991,98,109,-11
afl-player-v1-b8023c8175b394310187,max-mapley,Max Mapley,RUC,RUC,505.1152278398444,8.600123805587145,-496.5151040342572,599,783,-184
afl-player-v1-71421bf17a2b7d51e376,caleb-windsor,Caleb Windsor,DEF,MID,6453.673782987769,5964.722614324835,-488.9511686629339,50,56,-6
afl-player-v1-4e4aba980a507c437f78,aaron-cadman,Aaron Cadman,FWD,FWD,6323.080946985947,5835.845766776254,-487.2351802096928,55,61,-6
afl-player-v1-a7b458195fd4ad591d40,murphy-reid,Murphy Reid,FWD,FWD,9520.875241565083,9036.239041187057,-484.6362003780269,4,12,-8
afl-player-v1-ed3e4aafc7efc030fed6,daniel-curtin,Daniel Curtin,DEF,MID,6746.489827602101,6265.234753305784,-481.2550742963176,41,48,-7
afl-player-v1-d4e9bfd1ee9ae1c72370,joshua-weddle,Joshua Weddle,DEF,DEF,6833.263395817099,6352.382929056721,-480.8804667603781,39,47,-8
