stable_player_id,key,player_name,position,position_utility,current_exp_points_5y,candidate_exp_points_5y,delta_exp_points_5y,current_rank_exp_points_5y,candidate_rank_exp_points_5y,rank_change_exp_points_5y
afl-player-v1-a0647984be62bcc3cab3,luke-jackson,Luke Jackson,RUC,RUC,7874.403179851856,9587.352733661595,1712.9495538097408,22,7,15
afl-player-v1-a0d344b6a9014eca92e7,brodie-grundy,Brodie Grundy,RUC,RUC,3561.9175434483022,5195.952578439399,1634.0350349910968,177,83,94
afl-player-v1-6d1a84a432c2cd83dd4a,timothy-english,Timothy English,RUC,RUC,3429.362758589731,4411.673400811825,982.3106422220936,188,116,72
afl-player-v1-ed822a4e2051b799eded,max-gawn,Max Gawn,RUC,RUC,1714.7668829357194,2650.51041308087,935.7435301451504,338,237,101
afl-player-v1-925ceac71aac412ace23,tristan-xerri,Tristan Xerri,RUC,RUC,3174.7740040587064,4028.96831242868,854.194308369973,203,138,65
afl-player-v1-0dbc2d44e3412f13c2b1,rowan-marshall,Rowan Marshall,RUC,RUC,2212.2496958757006,2955.5153349470984,743.2656390713978,291,207,84
afl-player-v1-12cdb476c70ab6740733,will-ashcroft,Will Ashcroft,MID,MID,10111.1268576197,10729.106857186503,617.9799995668036,3,2,1
afl-player-v1-ea006b568d7e6484b32a,jordon-sweet,Jordon Sweet,RUC,RUC,1835.273369512641,2443.4878386504392,608.2144691377982,322,252,70
afl-player-v1-e4ebf44ca266366dbc1c,darcy-cameron,Darcy Cameron,RUC,RUC,1974.5721721349007,2555.9985154267706,581.4263432918699,312,243,69
afl-player-v1-f264b9550d46c3b1d3f6,tom-de-koning,Tom De Koning,RUC,RUC,3158.743949089814,3726.204843676881,567.4608945870668,207,160,47
afl-player-v1-25c90ee89147d316c6b8,nick-daicos,Nick Daicos,MID,MID,10212.871167457472,10741.204533264,528.3333658065276,2,1,1
afl-player-v1-d8c86c5bdaf14f79a1b2,bailey-williams-wc,Bailey J. Williams,RUC,RUC,2483.6580316327845,2985.505626835243,501.8475952024587,262,201,61
