model,lead,broad_position,n,mae,bias,actual_avg,pred_avg
task012,1,DEF,1033,11.258317748994115,-4.795460666459906,68.79111326234269,63.99565259588279
task012,1,FWD,1165,10.691202226609215,-0.7265180541099697,63.357201716738196,62.63068366262822
task012,1,MID,1095,11.796726849761598,-3.1119340956014456,79.48435616438356,76.37242206878211
task012,1,RUC,196,21.561708241323423,-20.44808942553498,86.10045918367346,65.65236975813849
task012,2,DEF,816,13.075618489866148,-6.5300379246874085,69.98519607843137,63.455158153743966
task012,2,FWD,931,11.92909863406173,-0.7904798780496229,63.852986036519866,63.06250615847025
task012,2,MID,856,13.495671960712464,-4.212558594729864,80.62559579439252,76.41303719966265
task012,2,RUC,171,28.092118785041055,-27.35451381068531,85.73602339181286,58.38150958112755
task012,3,DEF,621,14.751122359771678,-8.33841142005018,70.619307568438,62.28089614838782
task012,3,FWD,704,13.234757708680474,-2.571791564424886,64.85809659090908,62.28630502648421
task012,3,MID,643,15.336188409786333,-5.951384229014943,81.570466562986,75.61908233397106
task012,3,RUC,139,33.74318256296613,-33.26709145033906,86.43827338129496,53.1711819309559
task012,4,DEF,437,17.105819145763434,-11.09436269291988,71.41361556064074,60.31925286772085
task012,4,FWD,503,14.756168892287768,-5.112826172733946,65.90387673956263,60.79105056682868
task012,4,MID,448,16.406731698233557,-7.816997345660369,82.59060267857141,74.77360533291106
task012,4,RUC,101,40.101774958091646,-39.42666947083617,88.95485148514852,49.52818201431235
task012,5,DEF,303,19.383491881035116,-14.756645940015988,71.48052805280527,56.7238821127893
task012,5,FWD,324,16.762498583652608,-8.16704433761137,66.61938271604939,58.452338378438014
task012,5,MID,294,17.83569695782201,-9.236448185052334,82.84061224489795,73.60416405984562
task012,5,RUC,68,47.62549967433409,-46.900196320282376,91.46411764705883,44.563921326776445
task046,1,DEF,1033,12.81966586955711,-7.593372036662098,68.79111326234269,61.197741225680595
task046,1,FWD,1165,11.883040609888587,-4.318045493729545,63.357201716738196,59.039156223008646
task046,1,MID,1095,12.822146054298765,-4.858444434999311,79.48435616438356,74.62591172938426
task046,1,RUC,196,24.070351616773248,-11.17528924485178,86.10045918367346,74.92516993882168
task046,2,DEF,816,14.444505475849313,-9.804185428574229,69.98519607843137,60.18101064985715
task046,2,FWD,931,13.06117147941711,-5.495814235690656,63.852986036519866,58.357171800829214
task046,2,MID,856,14.33160292024962,-5.685875290776578,80.62559579439252,74.93972050361594
task046,2,RUC,171,31.660839737999197,-21.615079940738354,85.73602339181286,64.12094345107452
task046,3,DEF,621,16.372008360515167,-11.930176909958771,70.619307568438,58.68913065847923
task046,3,FWD,704,14.663361735769435,-8.383951430119547,64.85809659090908,56.47414516078955
task046,3,MID,643,16.274895370100296,-7.061691031316886,81.570466562986,74.50877553166912
task046,3,RUC,139,39.83102350735345,-35.71891930543288,86.43827338129496,50.719354075862086
task046,4,DEF,437,18.701353251935657,-13.474739236339468,71.41361556064074,57.93887632430127
task046,4,FWD,503,18.203850449039322,-11.492858181733247,65.90387673956263,54.41101855782938
task046,4,MID,448,18.76718376643281,-7.82297404382996,82.59060267857141,74.76762863474146
task046,4,RUC,101,48.24052764176007,-47.09625962429279,88.95485148514852,41.858591860855725
task046,5,DEF,303,21.13793359606597,-16.282591744147364,71.48052805280527,55.197936308657916
task046,5,FWD,324,22.50042520416399,-11.852016368630604,66.61938271604939,54.767366347418786
task046,5,MID,294,21.714400645863066,-8.06732738476825,82.84061224489795,74.7732848601297
task046,5,RUC,68,53.05486379977884,-52.54370339956847,91.46411764705883,38.92041424749035
