model,lead,n,mae,bias,actual_avg,pred_avg
task012,1,196,21.561708241323423,-20.44808942553498,86.10045918367346,65.65236975813849
task012,2,171,28.092118785041055,-27.35451381068531,85.73602339181286,58.38150958112755
task012,3,139,33.74318256296613,-33.26709145033906,86.43827338129496,53.1711819309559
task012,4,101,40.101774958091646,-39.42666947083617,88.95485148514852,49.52818201431235
task012,5,68,47.62549967433409,-46.900196320282376,91.46411764705883,44.563921326776445
task046,1,196,11.73355692499471,-1.9778935482082562,86.10045918367346,84.12256563546521
task046,2,171,13.374068788202331,-2.1265969288431092,85.73602339181286,83.60942646296976
task046,3,139,13.926778318650095,-2.104702289212114,86.43827338129496,84.33357109208285
task046,4,101,14.083036476426194,-4.986639840607737,88.95485148514852,83.96821164454079
task046,5,68,16.093326340393062,-9.616330310763688,91.46411764705883,81.84778733629513
