model,lead,predicted_avg_band,n,mae,bias,actual_avg,pred_avg,residual_sd
task012,1,105-120,19,11.764705897970249,-9.504017653756359,117.2036842105263,107.69966655676996,10.616233658534613
task012,1,60-75,1302,10.44257434848429,0.2705934763955312,67.29336405529955,67.56395753169508,13.419753210324842
task012,1,75-90,941,11.258477936535808,-2.652046680373209,84.16806588735388,81.51601920698067,13.849516610184082
task012,1,90-105,231,10.812453017033388,-6.818261202939203,102.68991341991341,95.87165221697421,11.651170301138748
task012,1,<60,996,14.374435688249104,-9.354056094693878,56.24203815261044,46.88798205791657,16.195466950153996
task012,2,105-120,6,13.17318274658632,-5.738898024951965,112.95,107.21110197504804,15.117226764361526
task012,2,60-75,1033,12.526569655339333,-1.85506722644302,69.7087802516941,67.85371302525107,15.826884546457016
task012,2,75-90,748,12.998598357593847,-1.7236891954990847,82.74879679144385,81.02510759594476,16.15626338963633
task012,2,90-105,155,13.145329677107679,-6.671909681969888,101.68174193548387,95.00983225351399,14.432543337786731
task012,2,<60,832,16.048413226895672,-12.107976417933987,59.96127403846154,47.85329762052755,17.000569450567315
task012,3,105-120,4,13.236679914717556,-5.773393514845587,113.3,107.52660648515442,16.560191012107268
task012,3,60-75,757,14.057682073057395,-3.403155613734691,71.43742404227213,68.03426842853744,17.489359730447337
task012,3,75-90,523,13.69329114187798,-1.5215097483181594,82.77491395793498,81.25340420961683,16.819106538635925
task012,3,90-105,111,14.984302552289332,-3.796471726142007,98.27027027027027,94.47379854412826,17.94569350752012
task012,3,<60,712,18.974335725568192,-16.324607009032746,63.55169943820224,47.2270924291695,17.713851625194316
task012,4,105-120,4,10.142483369396043,-5.194275067180865,114.75,109.55572493281913,11.962656511843566
task012,4,60-75,489,14.56708156235566,-5.7701788303252295,73.39862985685072,67.6284510265255,17.646317352258638
task012,4,75-90,352,14.676822946511924,-0.26020315495200824,81.96798295454545,81.70777979959345,18.12376656299896
task012,4,90-105,84,12.934849793533203,-1.6968614250748315,96.64095238095238,94.94409095587756,16.308310694383565
task012,4,<60,560,23.002587703208512,-21.12066798313269,66.10880357142857,44.98813558829588,19.185321857916627
task012,5,105-120,5,11.91841481568735,6.295919095895163,102.3,108.59591909589517,13.773758500274083
task012,5,60-75,284,13.966301809182655,-5.459968123299007,72.99080985915492,67.53084173585592,17.105660193640595
task012,5,75-90,224,14.252760800874219,-1.4227401839102023,83.32053571428571,81.89779553037552,17.605128737955177
task012,5,90-105,53,14.776059664836952,0.20987640196422452,95.0490566037736,95.25893300573782,19.090660621646865
task012,5,<60,423,27.859822919605154,-26.46665129542859,68.26404255319149,41.797391257762904,21.344396684254736
task047,1,105-120,44,9.155527282774191,-4.374404840617502,112.66954545454546,108.29514061392796,10.969016878318188
task047,1,60-75,1543,10.316297340538181,2.624879579542961,64.7648541801685,67.38973375971146,12.771674632234056
task047,1,75-90,922,10.650305357823227,0.20163924925076887,81.12437093275489,81.32601018200566,13.76022481939582
task047,1,90-105,367,10.678060149094344,-2.412811767875508,98.31261580381472,95.8998040359392,13.200909846062826
task047,1,<60,613,9.560966054327753,1.7772512334469923,53.86034257748776,55.63759381093476,11.950853712477018
task047,2,105-120,20,11.995437885573265,-5.476031204449029,112.67,107.19396879555097,13.310553921141121
task047,2,60-75,1343,11.316884761250636,3.1612733307415244,64.4792851824274,67.64055851316893,13.843584457569744
task047,2,75-90,862,12.476518807149354,0.8665155265201677,80.56308584686775,81.42960137338791,15.883081353542595
task047,2,90-105,272,11.93326672102201,-2.674389513009104,98.55422794117646,95.87983842816736,14.796530767319993
task047,2,<60,277,10.585720031623396,2.058193978227144,54.62169675090252,56.679890729129674,13.04475266840666
task047,3,105-120,10,13.73766343070751,0.7009087213630693,106.52000000000001,107.22090872136307,16.873954924113214
task047,3,60-75,1038,11.690897059390728,3.396175446122006,64.60079961464355,67.99697506076555,14.183424557353113
task047,3,75-90,733,13.418564311610323,1.6880309968248224,79.50792633015007,81.19595732697489,16.851687557983304
task047,3,90-105,221,12.82157216564826,-2.087410092461396,97.43361990950226,95.34620981704087,16.025536444054488
task047,3,<60,105,11.161363950263492,-1.0306019905840509,57.5852380952381,56.554636104654044,14.35602008180692
task047,4,105-120,6,13.849611327204753,2.7534176140205937,104.11666666666667,106.87008428068725,16.86141327986429
task047,4,60-75,702,11.982150275428555,3.075424084474621,65.69524216524216,68.77066624971678,14.574287195515694
task047,4,75-90,577,13.80999874502437,2.913310332843131,78.54424610051993,81.45755643336307,17.197228088474436
task047,4,90-105,163,12.868954557206873,-2.0580930917180713,97.46969325153374,95.41160015981568,15.732248633975544
task047,4,<60,41,10.914854222341335,-2.021217002394306,58.34341463414634,56.32219763175204,13.368693363743114
task047,5,105-120,4,17.354170698185925,10.07906578449704,96.4,106.47906578449704,16.73398268776012
task047,5,60-75,440,11.780540912514661,1.637737516966693,67.1380909090909,68.7758284260576,14.39719894752707
task047,5,75-90,390,14.669119843538232,3.6103942767495623,77.89556410256411,81.50595837931367,18.07113380779092
task047,5,90-105,116,13.278307285485221,-1.1365547836567889,96.6553448275862,95.51879004392941,16.141348038385345
task047,5,<60,39,11.631941720087315,-3.5623537417529154,58.98282051282051,55.4204667710676,14.603312564028155
