model,lead,n,mae,bias,actual_avg,pred_avg,residual_sd
task012,1,3489,11.816739336342504,-3.787760895265015,71.30507881914589,67.51731792388087,14.810444142114399
task012,2,2774,13.746122215808988,-5.172321460607453,72.18147801009373,67.00915654948626,16.852202922066585
task012,3,2107,15.675931626043747,-7.327745858595168,73.07993355481729,65.75218769622211,18.574186882304325
task012,4,1489,17.66157890604114,-10.00946708468869,74.10505708529213,64.09559000060345,20.293392050407075
task012,5,989,20.006548497989357,-13.166951669762907,74.6390091001011,61.472057430338204,22.447723806845698
task047,1,3489,10.295268501813137,1.2174204222841853,71.30507881914589,72.52249924143007,13.035374137958796
task047,2,2774,11.669551982952948,1.7035658353957153,72.18147801009373,73.88504384548945,14.633329722587613
task047,3,2107,12.393851962862339,1.993372131711236,73.07993355481729,75.07330568652851,15.46601551949463
task047,4,1489,12.765671627356515,2.3090055097297393,74.10505708529213,76.41406259502189,15.820225016975776
task047,5,989,13.111972492900703,1.9193148510648241,74.6390091001011,76.55832395116593,16.241089393158315
