model,lead,n,mae,bias,actual_avg,pred_avg,residual_sd
task012,1,103,13.151013436060605,-10.552551198571868,108.35194174757281,97.79939054900095,12.715121698069042
task012,2,87,17.406693178877354,-14.28039028979718,105.21310344827585,90.93271315847868,15.882988295942585
task012,3,70,18.80454430341875,-14.7812890940815,101.18414285714286,86.40285376306136,17.5639488455054
task012,4,54,20.76827896170269,-14.596150645503402,97.94166666666668,83.34551602116326,21.084565124724794
task012,5,39,21.106533872949246,-11.412144190736168,94.13692307692308,82.7247788861869,23.630160367170156
task047,1,103,10.88945314453351,-6.15456966439054,108.35194174757281,102.19737208318227,12.548017577957859
task047,2,87,12.344954814995834,-5.3690647003604655,105.21310344827585,99.8440387479154,14.949464280816992
task047,3,70,13.309046432214089,-3.4163409208023854,101.18414285714286,97.76780193634046,16.624893170016783
task047,4,54,15.154638108326496,-2.1300841048936316,97.94166666666668,95.81158256177304,19.4206859943419
task047,5,39,16.243697416904766,-0.6761224119022712,94.13692307692308,93.46080066502081,20.96309366941825
