model,lead,n,mae,bias,actual_points,pred_points
task012,1,5622,405.2201838301392,-111.63927996584371,783.5633351120598,671.924055146216
task012,2,4818,460.28870757331526,-153.4581001065203,741.8931589871316,588.4350588806112
task012,3,4016,493.52608458382207,-213.96734768247734,715.4075498007969,501.44020211831946
task012,4,3217,488.0645134517658,-234.5908648417473,651.5180944979795,416.92722965623216
task012,5,2421,456.5078875964238,-248.2434464411295,588.6695993391161,340.4261528979866
task047,1,5622,403.3566342895455,-83.86728609877566,783.5633351120598,699.6960490132841
task047,2,4818,457.6027492761926,-116.33628753146976,741.8931589871316,625.5568714556617
task047,3,4016,491.72089616306215,-168.7235657571281,715.4075498007969,546.6839840436687
task047,4,3217,491.4890287072012,-183.2780072436425,651.5180944979795,468.240087254337
task047,5,2421,458.8102074451793,-202.66957934414745,588.6695993391161,386.0000199949686
