model,lead,broad_position,n,mae,bias,actual_points,pred_points
task012,1,DEF,1754,383.52814700174986,-139.38761313514516,728.0671379703534,588.6795248352083
task012,1,FWD,1815,380.8196702444921,-133.7371431790745,722.32191184573,588.5847686666556
task012,1,MID,1638,428.62449146854345,-68.40293741465602,987.3299511599512,918.9270137452952
task012,1,RUC,413,405.8285780260681,-309.4338852174955,724.7420581113802,415.30817289388466
task012,1,UNK,2,3.5365900795351184,3.5365900795351184,0.0,3.5365900795351184
task012,2,DEF,1504,432.57849209011994,-169.45652090450028,686.4601529255319,517.0036320210316
task012,2,FWD,1537,438.37240789060706,-175.35093087254197,691.720500975927,516.3695701033852
task012,2,MID,1424,479.2101220800008,-96.29889999392672,905.4803300561798,809.1814300622531
task012,2,RUC,351,504.9427030283285,-412.5613033165082,730.3149572649573,317.7536539484491
task012,2,UNK,2,20.366478565467254,20.366478565467254,0.0,20.366478565467254
task012,3,DEF,1255,464.44615562879557,-213.74715953945562,658.0360159362549,444.28885639679936
task012,3,FWD,1269,463.68169099857386,-233.4362495321543,667.6291016548463,434.192852122692
task012,3,MID,1202,514.5686827771731,-161.47863783579922,853.8106489184693,692.33201108267
task012,3,RUC,289,579.6059379336245,-491.86839168921364,744.4289965397925,252.56060485057876
task012,3,UNK,1,37.51545682707739,37.51545682707739,0.0,37.51545682707739
task012,4,DEF,1011,451.998674031366,-222.04016235635342,586.7347181008903,364.6945557445368
task012,4,FWD,1008,466.9613470653445,-268.50741617727556,626.3841765873016,357.87676041002607
task012,4,MID,966,508.29815505269914,-173.4747836036405,758.9028364389234,585.4280528352829
task012,4,RUC,232,591.8506342238819,-513.5154809430063,713.0216379310345,199.50615698802815
task012,5,DEF,768,429.1096553572017,-252.74579599864282,541.2566406249999,288.5108446263572
task012,5,FWD,748,438.28156394814664,-263.8364287309184,562.5352139037434,298.69878517282496
task012,5,MID,733,462.89695569394655,-177.00654738767915,662.0603001364257,485.0537527487465
task012,5,RUC,172,599.5229502464217,-556.8893295660296,694.2398837209303,137.35055415490066
task047,1,DEF,1754,381.2709354276696,-121.90077155362412,728.0671379703534,606.1663664167294
task047,1,FWD,1815,377.6986186538725,-123.49166536289337,722.32191184573,598.8302464828366
task047,1,MID,1638,427.29412909071425,-21.645298578731133,987.3299511599512,965.68465258122
task047,1,RUC,413,379.05637512909686,-236.16283878192522,724.7420581113802,488.57921932945493
task047,1,UNK,2,11.902852139938755,11.902852139938755,0.0,11.902852139938755
task047,2,DEF,1504,429.8312281957485,-148.90532866993993,686.4601529255319,537.554824255592
task047,2,FWD,1537,434.36353931797606,-160.66164899383986,691.720500975927,531.0588519820873
task047,2,MID,1424,478.5144421037449,-30.223872707854383,905.4803300561798,875.2564573483254
task047,2,RUC,351,477.0885427934828,-323.61070497730327,730.3149572649573,406.704252287654
task047,2,UNK,2,47.353849079464496,47.353849079464496,0.0,47.353849079464496
task047,3,DEF,1255,462.6585862785065,-188.22604723630323,658.0360159362549,469.80996869995175
task047,3,FWD,1269,462.0690654367144,-211.24670331816623,667.6291016548463,456.3823983366801
task047,3,MID,1202,515.3127564271394,-82.65057976708066,853.8106489184693,771.1600691513886
task047,3,RUC,289,548.1377481439187,-399.4307129601842,744.4289965397925,344.9982835796082
task047,3,UNK,1,83.19863211351564,83.19863211351564,0.0,83.19863211351564
task047,4,DEF,1011,455.97142333180136,-189.02279501902893,586.7347181008903,397.7119230818613
task047,4,FWD,1008,467.9611932887059,-240.05140559434273,626.3841765873016,386.33277099295884
task047,4,MID,966,516.6206295003009,-86.91855463243591,758.9028364389234,671.9842818064875
task047,4,RUC,232,566.9096397693384,-429.91234016289195,713.0216379310345,283.10929776814254
task047,5,DEF,768,430.0397560374059,-224.20997765012825,541.2566406249999,317.0466629748717
task047,5,FWD,748,440.1451667655766,-232.30136223938052,562.5352139037434,330.2338516643628
task047,5,MID,733,471.23944871168635,-102.33240632378926,662.0603001364257,559.7278938126364
task047,5,RUC,172,570.9201732482486,-498.2006749403386,694.2398837209303,196.03920878059165
