stable_player_id,key,player_name,position,position_utility,current_exp_points_5y,candidate_exp_points_5y,delta_exp_points_5y,current_rank_exp_points_5y,candidate_rank_exp_points_5y,rank_change_exp_points_5y
afl-player-v1-fc90df145520acd22b04,ben-murphy,Ben Murphy,DEF,DEF,6251.980260710569,5472.748971307295,-779.2312894032748,58,92,-34
afl-player-v1-6cade3f7f33048badf28,connor-o-sullivan,Connor O'Sullivan,DEF,DEF,8253.951900534274,7597.530235735434,-656.4216647988396,18,30,-12
afl-player-v1-a7b458195fd4ad591d40,murphy-reid,Murphy Reid,FWD,FWD,9520.875241565083,8903.614581304193,-617.2606602608903,4,15,-11
afl-player-v1-527601186c70f68adedc,josh-lindsay,Josh Lindsay,DEF,DEF,7444.456365915563,6876.83997264511,-567.616393270453,30,45,-15
afl-player-v1-75c7189cf23a00883ccc,jacob-farrow,Jacob Farrow,DEF,DEF,7251.378295980609,6730.76956852246,-520.6087274581496,31,49,-18
afl-player-v1-ed3e4aafc7efc030fed6,daniel-curtin,Daniel Curtin,DEF,MID,6746.489827602101,6316.0474396777945,-430.4423879243068,41,62,-21
afl-player-v1-9844fdd0a1778ebb896b,joe-berry,Joe Berry,FWD,FWD,5838.317751628154,5452.452067332279,-385.8656842958753,67,94,-27
afl-player-v1-8e328cd4f9bc35e7e371,luke-trainor,Luke Trainor,DEF,DEF,5930.051787591132,5545.824265102822,-384.22752248830966,65,90,-25
afl-player-v1-7710e2249b25933935af,isaac-kako,Isaac Kako,FWD,FWD,5654.507917797976,5278.823831747423,-375.6840860505527,71,102,-31
afl-player-v1-4d27655cd6fbc59ff72e,nate-caddy,Nate Caddy,FWD,FWD,5433.988635450432,5076.21307602894,-357.7755594214923,84,107,-23
afl-player-v1-185c557fce56e14bdfd8,jonty-faull,Jonty Faull,FWD,FWD,4233.503854860513,3900.945747917776,-332.5581069427367,135,177,-42
afl-player-v1-c6a461bc214b4d48ca46,jobe-shanahan,Jobe Shanahan,FWD,FWD,5170.004960548592,4843.190609037102,-326.8143515114898,93,117,-24
afl-player-v1-5d34ee663f616a7fcf27,darcy-jones,Darcy Jones,FWD,FWD,4697.407801824355,4371.558712699113,-325.84908912524224,112,147,-35
afl-player-v1-da27734b8bd79dd7b863,harry-dean,Harry Dean,DEF,DEF,6048.886923985464,5724.912330274182,-323.97459371128207,62,79,-17
afl-player-v1-a2337d2b6345bdb9ed5e,riley-thilthorpe,Riley Thilthorpe,FWD,FWD,6013.0257442601305,5705.456071496322,-307.56967276380874,64,82,-18
afl-player-v1-0f0c9d6196abee42b21e,archie-roberts,Archie Roberts,DEF,DEF,9442.541045981898,9135.36478084644,-307.1762651354584,5,12,-7
afl-player-v1-2c24e6846a509ffa12da,josh-sinn,Josh Sinn,DEF,DEF,2243.6534240042483,1937.2303066553595,-306.42311734888904,287,354,-67
afl-player-v1-838375338eeaff603372,jesse-motlop,Jesse Motlop,FWD,FWD,2438.8619970732107,2157.3875930844374,-281.47440398877325,268,326,-58
afl-player-v1-adec4d952bcbc52767f5,alix-tauru,Alix Tauru,DEF,DEF,4470.658763285035,4196.512934377112,-274.1458289079228,124,155,-31
afl-player-v1-a96ccbd720e3cb6dd786,leo-lombard,Leo Lombard,FWD,FWD,5275.636833962994,5003.236992794376,-272.3998411686189,91,109,-18
afl-player-v1-a41bad0097cfdf996c85,ethan-read,Ethan Read,FWD,FWD,4510.057338654924,4244.1928188978645,-265.8645197570595,122,152,-30
afl-player-v1-65668cce074d71131911,logan-morris,Logan Morris,FWD,FWD,7493.582008061271,7231.6077319560945,-261.9742761051766,29,35,-6
afl-player-v1-d4326256dc1cb8e54f15,nick-watson,Nick Watson,FWD,FWD,8839.858759597262,8579.778791464481,-260.0799681327808,12,18,-6
afl-player-v1-b2c51a63fc373bb833ac,koltyn-tholstrup,Koltyn Tholstrup,FWD,DEF,5494.919526885961,5235.676175071356,-259.2433518146054,81,103,-22
afl-player-v1-c399795725e17c13dffb,angus-clarke,Angus Clarke,DEF,DEF,4245.548109315317,3988.119110143233,-257.4289991720834,134,169,-35
afl-player-v1-2dd3ccd0e1b4dff6e11a,bo-allan,Bo Allan,DEF,DEF,4859.074510449138,4613.56318593226,-245.5113245168777,107,129,-22
afl-player-v1-c64255f0f57e31279cb2,heath-chapman,Heath Chapman,DEF,DEF,4926.268191571977,4687.190568530591,-239.07762304138575,106,125,-19
afl-player-v1-819de384d7f62bc800da,brady-hough,Brady Hough,DEF,DEF,5306.525206556779,5079.885253099834,-226.63995345694548,89,106,-17
afl-player-v1-f0d7b341f83d6023fd8b,braeden-campbell,Braeden Campbell,DEF,DEF,3557.0973499242778,3338.4149743510347,-218.682375573243,178,210,-32
afl-player-v1-966ce678436f2d41e439,cooper-duff-tytler,Cooper Duff-Tytler,FWD,FWD,4979.722663736621,4772.823590259116,-206.89907347750523,102,122,-20
afl-player-v1-6864d3b68960de314967,zeke-uwland,Zeke Uwland,DEF,DEF,5119.358199583247,4924.464336938033,-194.89386264521363,95,113,-18
afl-player-v1-f3c64c36039d81bd8c9b,levi-ashcroft,Levi Ashcroft,MID,MID,9430.78447002354,9244.365809969377,-186.4186600541634,6,11,-5
afl-player-v1-a2dce67dd6716ef00ac7,zane-duursma,Zane Duursma,FWD,FWD,3598.179063034808,3414.5214667246105,-183.65759631019728,176,206,-30
afl-player-v1-d81b5ca8e2ca0494ccfa,ty-gallop,Ty Gallop,FWD,FWD,3832.9759687180663,3654.4368586866976,-178.5391100313691,167,197,-30
afl-player-v1-f6c1419e3347c583c2bb,wil-powell,Wil Powell,DEF,DEF,4045.0724594968897,3870.360370470149,-174.7120890267406,148,184,-36
afl-player-v1-0eb1e4c909a009f45d6e,willem-duursma,Willem Duursma,MID,MID,8567.444887174412,8399.050746636587,-168.39414053782457,14,21,-7
afl-player-v1-9434d7c5b43141a33554,joel-jeffrey,Joel Jeffrey,FWD,DEF,4804.928534064143,4636.6186167467495,-168.30991731739323,110,128,-18
afl-player-v1-d6ed32b0c0d14bdc9e91,harvey-langford,Harvey Langford,MID,MID,8565.053195160957,8412.045837339958,-153.00735782099946,16,20,-4
afl-player-v1-71421bf17a2b7d51e376,caleb-windsor,Caleb Windsor,DEF,MID,6453.673782987769,6307.108401710226,-146.56538127754357,50,63,-13
