stable_player_id,key,player_name,position,position_utility,current_exp_points_5y,candidate_exp_points_5y,delta_exp_points_5y,current_rank_exp_points_5y,candidate_rank_exp_points_5y,rank_change_exp_points_5y
afl-player-v1-a0647984be62bcc3cab3,luke-jackson,Luke Jackson,RUC,RUC,7874.403179851856,9559.270297791236,1684.8671179393796,22,8,14
afl-player-v1-77265b1aa054f910d1c1,jai-newcombe,Jai Newcombe,MID,MID,6437.389035331769,7739.251510326957,1301.8624749951878,51,28,23
afl-player-v1-308ccebe1548de60b409,errol-gulden,Errol Gulden,MID,MID,4623.597182496961,5888.675689152256,1265.0785066552944,116,74,42
afl-player-v1-a9a8e85ed38f1ce4e94f,john-noble,John Noble,DEF,DEF,4399.761683491292,5601.757938377656,1201.9962548863632,129,87,42
afl-player-v1-729b0a603a18a0d56369,bailey-smith,Bailey Smith,MID,MID,7711.040818207076,8904.137455291913,1193.0966370848373,24,14,10
afl-player-v1-cc78415bed17cab3d6d7,lachlan-blakiston,Lachlan Blakiston,RUC,DEF,1822.264960581203,2977.868653058788,1155.603692477585,323,247,76
afl-player-v1-52b76fe3c9cc2b8183b7,marcus-bontempelli,Marcus Bontempelli,MID,MID,5090.531080029887,6183.195339590205,1092.664259560318,97,67,30
afl-player-v1-289911b71c417a06fb30,nicholas-martin,Nicholas Martin,MID,MID,2860.5698985559397,3930.6502987740487,1070.0804002181094,235,174,61
afl-player-v1-dbd3e05880424b29dd77,sam-durham,Sam Durham,MID,MID,4641.586134468955,5678.192696370334,1036.6065619013789,114,85,29
afl-player-v1-c653d76482fdb79e1ef0,zak-butters,Zak Butters,MID,MID,7652.816240522873,8681.469968303962,1028.6537277810885,25,16,9
afl-player-v1-126dfd2722f326d411fd,callum-wilkie,Callum Wilkie,DEF,DEF,4119.932608949465,5069.1711504321565,949.2385414826912,141,108,33
afl-player-v1-925ceac71aac412ace23,tristan-xerri,Tristan Xerri,RUC,RUC,3174.7740040587064,4107.931530187071,933.1575261283648,203,165,38
afl-player-v1-a0d344b6a9014eca92e7,brodie-grundy,Brodie Grundy,RUC,RUC,3561.9175434483022,4488.619117815795,926.7015743674928,177,138,39
afl-player-v1-f6b273b240ecc1e56ea8,tom-mccarthy,Tom McCarthy,DEF,DEF,4971.478529088058,5897.93684120368,926.458312115622,103,73,30
afl-player-v1-53cf9ea07c8d23470b27,bodhi-uwland,Bodhi Uwland,DEF,DEF,4409.454006516049,5334.021192465284,924.567185949235,127,100,27
afl-player-v1-451494af145a38fdb298,roan-steele,Roan Steele,MID,MID,2610.3848247017413,3533.1391286821536,922.7543039804124,250,201,49
afl-player-v1-3e63685925a5759a6950,isaac-heeney,Isaac Heeney,MID,MID,5069.328078903324,5981.618522457637,912.2904435543124,99,71,28
afl-player-v1-25c90ee89147d316c6b8,nick-daicos,Nick Daicos,MID,MID,10212.871167457472,11121.608956878332,908.7377894208583,2,1,1
afl-player-v1-33f13e3f7a2a5dfdd21c,james-peatling,James Peatling,MID,MID,3892.226821911661,4785.719200486543,893.4923785748815,164,121,43
afl-player-v1-6d1a84a432c2cd83dd4a,timothy-english,Timothy English,RUC,RUC,3429.362758589731,4318.140843705479,888.7780851157477,188,150,38
afl-player-v1-fb186725cde9cc707a20,christian-petracca,Christian Petracca,MID,MID,4036.780479361136,4913.110783607721,876.330304246585,150,114,36
afl-player-v1-9900e16ea0f47957de5c,tom-atkins,Tom Atkins,MID,MID,3029.2131362831137,3896.086683651261,866.8735473681472,218,180,38
afl-player-v1-1c150e0d509e17a4deac,jason-horne-francis,Jason Horne-Francis,MID,MID,7638.166944472665,8499.471849765696,861.304905293031,26,19,7
afl-player-v1-c090106f7ba6dd9b3e4f,joel-fitzgerald,Joel Fitzgerald,MID,MID,1311.127801027692,2170.505805004083,859.378003976391,409,324,85
afl-player-v1-33880cd39dfb13366e39,cooper-lord,Cooper Lord,MID,MID,3998.505170711968,4854.538625544816,856.0334548328478,153,116,37
afl-player-v1-ea006b568d7e6484b32a,jordon-sweet,Jordon Sweet,RUC,RUC,1835.273369512641,2688.9651752265872,853.6918057139462,322,273,49
