model,lead,broad_position,n,mae,bias,actual_avg,pred_avg,residual_sd
task012,1,DEF,1033,11.258317748994115,-4.795460666459906,68.79111326234269,63.99565259588279,13.747402247559332
task012,1,FWD,1165,10.691202226609215,-0.7265180541099697,63.357201716738196,62.63068366262822,13.681682919226297
task012,1,MID,1095,11.796726849761598,-3.1119340956014456,79.48435616438356,76.37242206878211,14.651164232907972
task012,1,RUC,196,21.561708241323423,-20.44808942553498,86.10045918367346,65.65236975813849,16.086326679245666
task012,2,DEF,816,13.075618489866148,-6.5300379246874085,69.98519607843137,63.455158153743966,15.423060253237207
task012,2,FWD,931,11.92909863406173,-0.7904798780496229,63.852986036519866,63.06250615847025,14.913336501373784
task012,2,MID,856,13.495671960712464,-4.212558594729864,80.62559579439252,76.41303719966265,16.481097916520813
task012,2,RUC,171,28.092118785041055,-27.35451381068531,85.73602339181286,58.38150958112755,17.196027487388967
task012,3,DEF,621,14.751122359771678,-8.33841142005018,70.619307568438,62.28089614838782,16.93503104030698
task012,3,FWD,704,13.234757708680474,-2.571791564424886,64.85809659090908,62.28630502648421,16.281799966077802
task012,3,MID,643,15.336188409786333,-5.951384229014943,81.570466562986,75.61908233397106,18.068271242183705
task012,3,RUC,139,33.74318256296613,-33.26709145033906,86.43827338129496,53.1711819309559,17.342121723890617
task012,4,DEF,437,17.105819145763434,-11.09436269291988,71.41361556064074,60.31925286772085,18.47892768354501
task012,4,FWD,503,14.756168892287768,-5.112826172733946,65.90387673956263,60.79105056682868,17.94004521672732
task012,4,MID,448,16.406731698233557,-7.816997345660369,82.59060267857141,74.77360533291106,19.099660482855658
task012,4,RUC,101,40.101774958091646,-39.42666947083617,88.95485148514852,49.52818201431235,19.273835127739304
task012,5,DEF,303,19.383491881035116,-14.756645940015988,71.48052805280527,56.7238821127893,19.507539975051678
task012,5,FWD,324,16.762498583652608,-8.16704433761137,66.61938271604939,58.452338378438014,19.610885786741772
task012,5,MID,294,17.83569695782201,-9.236448185052334,82.84061224489795,73.60416405984562,20.89550496382567
task012,5,RUC,68,47.62549967433409,-46.900196320282376,91.46411764705883,44.563921326776445,24.431017295689962
task047,1,DEF,1033,9.437300187603338,-0.5069123429097304,68.79111326234269,68.28420091943296,11.916229958597395
task047,1,FWD,1165,9.85726603695994,2.8118244916172266,63.357201716738196,66.16902620835542,12.162428587544776
task047,1,MID,1095,11.285046802797975,2.2286800016266293,79.48435616438356,81.71303616601018,14.169688022729188
task047,1,RUC,196,11.890915953620768,-4.821223627244662,86.10045918367346,81.27923555642882,14.323416543793563
task047,2,DEF,816,10.49161787917109,-1.2536454376159691,69.98519607843137,68.7315506408154,13.193462367559519
task047,2,FWD,931,11.082932429759722,4.123827482880683,63.852986036519866,67.97681351940055,13.233847208875297
task047,2,MID,856,13.085073569903898,3.1347995115206366,80.62559579439252,83.76039530591316,16.18991086467989
task047,2,RUC,171,13.39850259277095,-4.52634774234641,85.73602339181286,81.20967564946645,16.082088101633797
task047,3,DEF,621,11.35528677814102,-1.3509280407670734,70.619307568438,69.26837952767093,14.121749799564368
task047,3,FWD,704,11.7205798064512,4.62781451874264,64.85809659090908,69.48591110965172,13.83531679235229
task047,3,MID,643,13.978793034427843,3.8144887342834726,81.570466562986,85.38495529726947,17.178799941787414
task047,3,RUC,139,13.11194886076711,-4.832635125950825,86.43827338129496,81.60563825534413,16.07051917381759
task047,4,DEF,437,11.677797381141406,-1.275934103050334,71.41361556064074,70.1376814575904,14.637339850716078
task047,4,FWD,503,12.248862430425913,5.179714644295292,65.90387673956263,71.08359138385791,14.173272410944627
task047,4,MID,448,14.163359882290015,4.602356331018015,82.59060267857141,87.19295900958944,17.142971609389036
task047,4,RUC,101,13.846777899058358,-6.649105894614114,88.95485148514852,82.30574559053441,16.300878932908784
task047,5,DEF,303,12.066186021273586,-2.312129584748802,71.48052805280527,69.16839846805648,14.813666445085516
task047,5,FWD,324,12.438056947283902,5.233685806791825,66.61938271604939,71.85306852284121,14.60692627989094
task047,5,MID,294,14.497805675532815,4.863227128678319,82.84061224489795,87.70383937357627,17.3036141253247
task047,5,RUC,68,14.991192816268647,-7.745960666911451,91.46411764705883,83.71815698014737,17.19336106715153
