model,lead,n,mae,bias,actual_avg,pred_avg,residual_sd
task012,1,196,21.561708241323423,-20.44808942553498,86.10045918367346,65.65236975813849,16.086326679245666
task012,2,171,28.092118785041055,-27.35451381068531,85.73602339181286,58.38150958112755,17.196027487388967
task012,3,139,33.74318256296613,-33.26709145033906,86.43827338129496,53.1711819309559,17.342121723890617
task012,4,101,40.101774958091646,-39.42666947083617,88.95485148514852,49.52818201431235,19.273835127739304
task012,5,68,47.62549967433409,-46.900196320282376,91.46411764705883,44.563921326776445,24.431017295689962
task047,1,196,11.890915953620768,-4.821223627244662,86.10045918367346,81.27923555642882,14.323416543793563
task047,2,171,13.39850259277095,-4.52634774234641,85.73602339181286,81.20967564946645,16.082088101633797
task047,3,139,13.11194886076711,-4.832635125950825,86.43827338129496,81.60563825534413,16.07051917381759
task047,4,101,13.846777899058358,-6.649105894614114,88.95485148514852,82.30574559053441,16.300878932908784
task047,5,68,14.991192816268647,-7.745960666911451,91.46411764705883,83.71815698014737,17.19336106715153
