lead,origin_year,selected_alpha,alpha_scores_json
1,2018,10.0,"{""0.1"": 9.011758572607457, ""1.0"": 9.00310865063277, ""10.0"": 8.97640104472015, ""100.0"": 9.120852137266217, ""3.0"": 8.991487470483868, ""30.0"": 8.990981399415377, ""300.0"": 9.429064391311073}"
2,2018,30.0,"{""0.1"": 10.0431182361755, ""1.0"": 10.026231815433038, ""10.0"": 9.977954895530294, ""100.0"": 10.054724356200511, ""3.0"": 10.006232751695517, ""30.0"": 9.96275363070223, ""300.0"": 10.318645058754791}"
3,2018,30.0,"{""0.1"": 10.817607628247044, ""1.0"": 10.782597295557691, ""10.0"": 10.68607136268527, ""100.0"": 10.69692625705381, ""3.0"": 10.740386978975412, ""30.0"": 10.64490302519884, ""300.0"": 10.973750745405697}"
4,2018,30.0,"{""0.1"": 11.346053814931954, ""1.0"": 11.297138890204492, ""10.0"": 11.16973490955278, ""100.0"": 11.242085022000074, ""3.0"": 11.244468048222483, ""30.0"": 11.117063711543405, ""300.0"": 11.648702000230342}"
5,2018,10.0,"{""0.1"": 11.179444968995444, ""1.0"": 11.127617114133972, ""10.0"": 11.029196306675672, ""100.0"": 11.279296774756059, ""3.0"": 11.075404082377013, ""30.0"": 11.061795168859465, ""300.0"": 11.692872241165126}"
1,2019,10.0,"{""0.1"": 8.761139037583416, ""1.0"": 8.755709309057128, ""10.0"": 8.735153963267296, ""100.0"": 8.82007248621439, ""3.0"": 8.747058880708895, ""30.0"": 8.73688438721519, ""300.0"": 9.080188508059644}"
2,2019,30.0,"{""0.1"": 9.716843344798336, ""1.0"": 9.706868503695373, ""10.0"": 9.653960641314903, ""100.0"": 9.679730977593204, ""3.0"": 9.69001977264371, ""30.0"": 9.621975803204291, ""300.0"": 9.909879583064958}"
3,2019,30.0,"{""0.1"": 10.486903234849509, ""1.0"": 10.453094666422938, ""10.0"": 10.367679764787336, ""100.0"": 10.406954345680328, ""3.0"": 10.415997974482845, ""30.0"": 10.335749402364977, ""300.0"": 10.679938871511215}"
4,2019,30.0,"{""0.1"": 11.082015251632242, ""1.0"": 11.022458795440043, ""10.0"": 10.899797743623564, ""100.0"": 10.948727906677048, ""3.0"": 10.969398046600741, ""30.0"": 10.849773618186166, ""300.0"": 11.298625555620143}"
5,2019,10.0,"{""0.1"": 11.429647425546493, ""1.0"": 11.363030904569197, ""10.0"": 11.238272028606797, ""100.0"": 11.507927809401208, ""3.0"": 11.29735942831042, ""30.0"": 11.273753071188368, ""300.0"": 11.942419804834506}"
1,2020,10.0,"{""0.1"": 8.747081968837149, ""1.0"": 8.742851693003434, ""10.0"": 8.728099607713617, ""100.0"": 8.851330611102327, ""3.0"": 8.735929470855895, ""30.0"": 8.739877713943525, ""300.0"": 9.143210262420276}"
