lead,quantile,n,mean_delta,mean_abs_delta,max_abs_delta
1,points_q10,5622,7.1534382152682285,11.728681573109318,341.8282212338496
1,points_q25,5622,18.090883790088423,28.678353593239592,365.23267556925646
1,points_q50,5622,29.104701010660705,49.16929757814465,526.0977967938143
1,points_q75,5622,40.040727078235136,76.51739821642447,634.8559255840128
1,points_q90,5622,60.091755395787835,120.72758619857363,750.1051930564943
1,points_q97,5622,61.07349768137998,155.2171670442738,794.9494484356336
2,points_q10,4818,4.363366014768857,6.944333883419483,273.40777550092275
2,points_q25,4818,13.938518211094259,21.60282690381359,386.06301024410317
2,points_q50,4818,32.816607143781745,48.34288977995807,497.62550718970556
2,points_q75,4818,58.24179174912453,86.14511494302093,586.1022898061173
2,points_q90,4818,90.28012051731996,135.35705021184395,637.3150797593562
2,points_q97,4818,99.59461636228616,167.60887255235,667.5557069347658
3,points_q10,4016,2.1993753824475233,3.2142645247780317,343.23689954917006
3,points_q25,4016,12.777404288024663,17.50497661480876,436.98393235061906
3,points_q50,4016,39.31802820059982,50.07625212260318,529.4665942618046
3,points_q75,4016,76.56435500439993,97.48290812464924,614.2112781941764
3,points_q90,4016,114.7873055239456,150.6758828002404,683.3879372255417
3,points_q97,4016,134.58878708797397,191.7435671704768,745.2808746302053
4,points_q10,3217,2.906522741292312,4.223652506683179,441.848850293845
4,points_q25,3217,9.879241534652763,13.071844150351803,552.1259844942346
4,points_q50,3217,43.347400928278354,51.298710971216686,665.5827584487714
4,points_q75,3217,90.85134419992693,108.58298390908523,798.7033414259679
4,points_q90,3217,142.0060205451296,176.30274071877312,918.0266782777858
4,points_q97,3217,171.92601899811012,231.73182305234596,1043.0812889890303
5,points_q10,2421,-0.1833946557624021,0.7326010198799688,578.6790651307247
5,points_q25,2421,12.216762394969695,13.919515455719562,760.2420792250207
5,points_q50,2421,35.483767142384934,40.30369809850455,921.0641459119381
5,points_q75,2421,77.93376186051943,94.1399038947332,1098.5502176313935
5,points_q90,2421,124.2597157276281,163.84586779730486,1233.1326200897977
5,points_q97,2421,162.6584638469106,242.38687070778744,1345.8124236451044
