check,passed,detail
row_count_per_model,True,"{""task012"": 20094, ""task047"": 20094}"
player_origin_snapshots,True,5622
legal_folds,True,25
target_points_used_directly,True,joined targets.csv points column without reconstruction
task012_quantiles_non_negative,True,0
task047_quantiles_non_negative,True,0
task012_quantiles_non_crossing,True,0
task047_quantiles_non_crossing,True,0
no_model_artifacts_or_fitting,True,"analysis-only script reads predictions, targets and features"
point_forecast_inputs_unchanged_by_audit,True,audit does not write prediction inputs or model artifacts
