lead,model,interval,nominal_coverage,n,coverage,coverage_error,absolute_coverage_error,mean_width
1,task012,q25_q75,0.5,5622,0.516720028459623,0.01672002845962295,0.01672002845962295,506.12294125944663
1,task047,q25_q75,0.5,5622,0.5313055852009961,0.03130558520099613,0.03130558520099613,528.0727845475933
1,task012,q10_q90,0.8,5622,0.7497331910352187,-0.05026680896478131,0.05026680896478131,983.380181330737
1,task047,q10_q90,0.8,5622,0.7767698327997155,-0.02323016720028459,0.02323016720028459,1036.3184985112566
1,task012,q10_q97_asymmetric,0.87,5622,0.86036997509783,-0.00963002490217002,0.00963002490217002,1243.5223668985573
1,task047,q10_q97_asymmetric,0.87,5622,0.8786908573461402,0.008690857346140168,0.008690857346140168,1297.442426364669
2,task012,q25_q75,0.5,4818,0.5568700705687007,0.05687007056870075,0.05687007056870075,551.9736908008284
2,task047,q25_q75,0.5,4818,0.5740971357409713,0.07409713574097132,0.07409713574097132,596.2769643388588
2,task012,q10_q90,0.8,4818,0.7482357824823578,-0.051764217517642264,0.051764217517642264,1028.4782343948664
2,task047,q10_q90,0.8,4818,0.7816521378165214,-0.018347862183478614,0.018347862183478614,1114.3949888974173
2,task012,q10_q97_asymmetric,0.87,4818,0.8472395184723952,-0.022760481527604792,0.022760481527604792,1314.0983237055334
2,task047,q10_q97_asymmetric,0.87,4818,0.8731838937318389,0.003183893731838916,0.003183893731838916,1409.3295740530505
3,task012,q25_q75,0.5,4016,0.5749501992031872,0.07495019920318724,0.07495019920318724,529.632353497059
3,task047,q25_q75,0.5,4016,0.5958665338645418,0.0958665338645418,0.0958665338645418,593.4193042134342
3,task012,q10_q90,0.8,4016,0.7360557768924303,-0.06394422310756975,0.06394422310756975,986.4691881657436
3,task047,q10_q90,0.8,4016,0.7709163346613546,-0.02908366533864548,0.02908366533864548,1099.0571183072416
3,task012,q10_q97_asymmetric,0.87,4016,0.8341633466135459,-0.03583665338645414,0.03583665338645414,1291.5794555545565
3,task047,q10_q97_asymmetric,0.87,4016,0.8640438247011952,-0.005956175298804767,0.005956175298804767,1423.9688672600828
4,task012,q25_q75,0.5,3217,0.6188995958967982,0.11889959589679822,0.11889959589679822,494.59362345485573
4,task047,q25_q75,0.5,3217,0.6375505129002176,0.13755051290021758,0.13755051290021758,575.5657261201299
4,task012,q10_q90,0.8,3217,0.7435498912029841,-0.05645010879701595,0.05645010879701595,874.4035552278237
4,task047,q10_q90,0.8,3217,0.7733913584084551,-0.026608641591544968,0.026608641591544968,1013.5030530316609
4,task012,q10_q97_asymmetric,0.87,3217,0.8296549580354368,-0.04034504196456323,0.04034504196456323,1190.313639974668
4,task047,q10_q97_asymmetric,0.87,3217,0.8672676406589991,-0.0027323593410009117,0.0027323593410009117,1359.3331362314857
5,task012,q25_q75,0.5,2421,0.6484923585295332,0.14849235852953324,0.14849235852953324,395.8913592278137
5,task047,q25_q75,0.5,2421,0.6662536142090045,0.16625361420900453,0.16625361420900453,461.60835869336347
5,task012,q10_q90,0.8,2421,0.758364312267658,-0.04163568773234205,0.04163568773234205,750.8639092146623
5,task047,q10_q90,0.8,2421,0.7732342007434945,-0.026765799256505574,0.026765799256505574,875.3070195980529
5,task012,q10_q97_asymmetric,0.87,2421,0.8302354399008675,-0.03976456009913254,0.03976456009913254,1077.138066351688
5,task047,q10_q97_asymmetric,0.87,2421,0.8546055349029327,-0.015394465097067322,0.015394465097067322,1239.9799248543611
