broad_position,model,interval,nominal_coverage,n,coverage,coverage_error,absolute_coverage_error,mean_width
DEF,task012,q25_q75,0.5,6292,0.5791481246026701,0.07914812460267007,0.07914812460267007,473.42151785125435
DEF,task047,q25_q75,0.5,6292,0.5923394787031151,0.0923394787031151,0.0923394787031151,510.51428986939555
DEF,task012,q10_q90,0.8,6292,0.7458677685950413,-0.05413223140495871,0.05413223140495871,885.7875706970226
DEF,task047,q10_q90,0.8,6292,0.7678003814367451,-0.03219961856325493,0.03219961856325493,956.3953192385875
DEF,task012,q10_q97_asymmetric,0.87,6292,0.8458359821996185,-0.024164017800381465,0.024164017800381465,1173.4083274666039
DEF,task047,q10_q97_asymmetric,0.87,6292,0.8661792752701843,-0.00382072472981565,0.00382072472981565,1253.23748498703
FWD,task012,q25_q75,0.5,6377,0.5671946056139251,0.0671946056139251,0.0671946056139251,488.3818362773355
FWD,task047,q25_q75,0.5,6377,0.5802101301552454,0.08021013015524536,0.08021013015524536,520.3922938463078
FWD,task012,q10_q90,0.8,6377,0.7478438137055041,-0.05215618629449592,0.05215618629449592,910.8891888825691
FWD,task047,q10_q90,0.8,6377,0.7707385918143328,-0.029261408185667248,0.029261408185667248,973.9941081790269
FWD,task012,q10_q97_asymmetric,0.87,6377,0.8533793319742826,-0.016620668025717378,0.016620668025717378,1208.4828098732598
FWD,task047,q10_q97_asymmetric,0.87,6377,0.8715697036223929,0.0015697036223929484,0.0015697036223929484,1284.2671393581816
MID,task012,q25_q75,0.5,5963,0.5810833473084018,0.08108334730840183,0.08108334730840183,611.7453434561955
MID,task047,q25_q75,0.5,5963,0.601375146738219,0.10137514673821901,0.10137514673821901,680.7760888516366
MID,task012,q10_q90,0.8,5963,0.7819889317457656,-0.018011068254234486,0.018011068254234486,1147.0093178240265
MID,task047,q10_q90,0.8,5963,0.8128458829448264,0.012845882944826359,0.012845882944826359,1271.2055170735941
MID,task012,q10_q97_asymmetric,0.87,5963,0.867348650008385,-0.002651349991614982,0.002651349991614982,1452.9355297911536
MID,task047,q10_q97_asymmetric,0.87,5963,0.8906590642294148,0.02065906422941477,0.02065906422941477,1588.2416492071654
RUC,task012,q25_q75,0.5,1457,0.49897048730267674,-0.0010295126973232649,0.0010295126973232649,302.25118307346827
RUC,task047,q25_q75,0.5,1457,0.543582704186685,0.04358270418668497,0.04358270418668497,414.4426385854387
RUC,task012,q10_q90,0.8,1457,0.5998627316403569,-0.20013726835964318,0.20013726835964318,586.1076213304564
RUC,task047,q10_q90,0.8,1457,0.6801647220315717,-0.1198352779684283,0.1198352779684283,808.8268547336664
RUC,task012,q10_q97_asymmetric,0.87,1457,0.6911461908030199,-0.17885380919698013,0.17885380919698013,817.9633767898624
RUC,task047,q10_q97_asymmetric,0.87,1457,0.790665751544269,-0.079334248455731,0.079334248455731,1118.5520033187076
UNK,task012,q25_q75,0.5,5,1.0,0.5,0.5,0.0
UNK,task047,q25_q75,0.5,5,1.0,0.5,0.5,0.0
UNK,task012,q10_q90,0.8,5,1.0,0.19999999999999996,0.19999999999999996,107.68300262925952
UNK,task047,q10_q90,0.8,5,1.0,0.19999999999999996,0.19999999999999996,249.93122920432023
UNK,task012,q10_q97_asymmetric,0.87,5,1.0,0.13,0.13,234.9046301726878
UNK,task047,q10_q97_asymmetric,0.87,5,1.0,0.13,0.13,487.85015443140264
