lead,quantile,tau,task012,task047,abs_diff_task047_minus_task012,pct_diff_task047_minus_task012
1,points_q10,0.1,71.82711156276933,71.75172935616888,-0.0753822066004517,-0.0010494951691684773
1,points_q25,0.25,143.62565835504785,142.87205055739636,-0.7536077976514832,-0.005247027629203533
1,points_q50,0.5,203.346908235594,199.66132290847898,-3.6855853271150067,-0.01812461944513538
1,points_q75,0.75,181.098066779163,174.16804037159827,-6.930026407564725,-0.03826670560771601
1,points_q90,0.9,112.84207665036702,103.8173771467454,-9.024699503621619,-0.07997636849226017
1,points_q97,0.97,53.875106257486394,45.15053576198885,-8.724570495497545,-0.16194066428008563
2,points_q10,0.1,72.01661172986847,71.81086759837909,-0.2057441314893822,-0.002856898242604366
2,points_q25,0.25,155.94793722273658,155.15654238263335,-0.7913948401032371,-0.005074737468139174
2,points_q50,0.5,227.53520156040696,223.15264557255213,-4.382555987854829,-0.019261002068250658
2,points_q75,0.75,214.92316197001037,204.18701504925684,-10.736146920753527,-0.049953419735429036
2,points_q90,0.9,141.22539561030806,125.65523877904181,-15.570156831266246,-0.11025040336392429
2,points_q97,0.97,72.03752329797568,57.28667169631361,-14.75085160166207,-0.2047662235783248
3,points_q10,0.1,71.03487724488235,70.86566039408847,-0.16921685079388737,-0.002382165738254703
3,points_q25,0.25,159.6885381706223,158.69984203848972,-0.9886961321325884,-0.006191403236944889
3,points_q50,0.5,241.85776669884768,236.59833262779895,-5.25943407104873,-0.02174597964264502
3,points_q75,0.75,241.30682014447964,227.63774889852778,-13.66907124595187,-0.05664602118484539
3,points_q90,0.9,169.0657110832359,147.5356252920355,-21.530085791200406,-0.1273474417328806
3,points_q97,0.97,92.91232755551205,69.89133374275944,-23.020993812752607,-0.2477711453197459
4,points_q10,0.1,64.91932067316486,64.71869744508517,-0.20062322807969224,-0.0030903470030089536
4,points_q25,0.25,150.85447130023317,150.61401156689655,-0.24045973333662118,-0.0015939847938484639
4,points_q50,0.5,240.78441280531672,237.69588624704681,-3.088526558269905,-0.01282693726843147
4,points_q75,0.75,248.36426572839636,233.57656084503535,-14.787704883361016,-0.059540388549826254
4,points_q90,0.9,184.5565380179176,158.5691627951508,-25.987375222766815,-0.14080983259581864
4,points_q97,0.97,107.20321923418363,79.10134430824115,-28.101874925942482,-0.26213648364938
5,points_q10,0.1,59.891818212249866,59.5399407354324,-0.35187747681746373,-0.005875217806386334
5,points_q25,0.25,136.74858795199006,135.68226987837528,-1.0663180736147808,-0.0077976532670973224
5,points_q50,0.5,225.68551505656774,221.2176320107125,-4.467883045855245,-0.019796941973592667
5,points_q75,0.75,246.71913327926546,232.5366970254968,-14.182436253768657,-0.05748413617242779
5,points_q90,0.9,196.72216474798745,171.3689467339542,-25.353218014033246,-0.12887829923238286
5,points_q97,0.97,120.58066975198349,88.34501806072828,-32.235651691255214,-0.26733681076377463
