lead,model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
1,task012,points_q10,0.1,5622,0.2705442902881537,0.17054429028815368,0.17054429028815368,actual_points <= predicted_quantile
1,task047,points_q10,0.1,5622,0.2719672714336535,0.1719672714336535,0.1719672714336535,actual_points <= predicted_quantile
1,task012,points_q25,0.25,5622,0.3349341871220206,0.08493418712202061,0.08493418712202061,actual_points <= predicted_quantile
1,task047,points_q25,0.25,5622,0.3411597296335824,0.09115972963358238,0.09115972963358238,actual_points <= predicted_quantile
1,task012,points_q50,0.5,5622,0.4521522589825685,-0.0478477410174315,0.0478477410174315,actual_points <= predicted_quantile
1,task047,points_q50,0.5,5622,0.46335823550337957,-0.03664176449662043,0.03664176449662043,actual_points <= predicted_quantile
1,task012,points_q75,0.75,5622,0.6170401992173604,-0.13295980078263958,0.13295980078263958,actual_points <= predicted_quantile
1,task047,points_q75,0.75,5622,0.6378512984702953,-0.11214870152970469,0.11214870152970469,actual_points <= predicted_quantile
1,task012,points_q90,0.9,5622,0.7741017431519033,-0.12589825684809675,0.12589825684809675,actual_points <= predicted_quantile
1,task047,points_q90,0.9,5622,0.8025613660618997,-0.09743863393810037,0.09743863393810037,actual_points <= predicted_quantile
1,task012,points_q97,0.97,5622,0.8847385272145144,-0.08526147278548557,0.08526147278548557,actual_points <= predicted_quantile
1,task047,points_q97,0.97,5622,0.9044823906083245,-0.0655176093916755,0.0655176093916755,actual_points <= predicted_quantile
2,task012,points_q10,0.1,4818,0.3368617683686177,0.2368617683686177,0.2368617683686177,actual_points <= predicted_quantile
2,task047,points_q10,0.1,4818,0.33727687837276876,0.23727687837276876,0.23727687837276876,actual_points <= predicted_quantile
2,task012,points_q25,0.25,4818,0.3787878787878788,0.12878787878787878,0.12878787878787878,actual_points <= predicted_quantile
2,task047,points_q25,0.25,4818,0.3833540888335409,0.13335408883354088,0.13335408883354088,actual_points <= predicted_quantile
