broad_position,model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
DEF,task012,points_q10,0.1,6292,0.3984424666242848,0.29844246662428475,0.29844246662428475,actual_points <= predicted_quantile
DEF,task047,points_q10,0.1,6292,0.39828353464717103,0.29828353464717106,0.29828353464717106,actual_points <= predicted_quantile
DEF,task012,points_q25,0.25,6292,0.43006993006993005,0.18006993006993005,0.18006993006993005,actual_points <= predicted_quantile
DEF,task047,points_q25,0.25,6292,0.43086458995549903,0.18086458995549903,0.18086458995549903,actual_points <= predicted_quantile
DEF,task012,points_q50,0.5,6292,0.5127145581691036,0.012714558169103607,0.012714558169103607,actual_points <= predicted_quantile
DEF,task047,points_q50,0.5,6292,0.5182771773680864,0.018277177368086428,0.018277177368086428,actual_points <= predicted_quantile
DEF,task012,points_q75,0.75,6292,0.6346153846153846,-0.11538461538461542,0.11538461538461542,actual_points <= predicted_quantile
DEF,task047,points_q75,0.75,6292,0.6486013986013986,-0.10139860139860135,0.10139860139860135,actual_points <= predicted_quantile
DEF,task012,points_q90,0.9,6292,0.7558804831532104,-0.14411951684678959,0.14411951684678959,actual_points <= predicted_quantile
DEF,task047,points_q90,0.9,6292,0.7776541640178004,-0.12234583598219961,0.12234583598219961,actual_points <= predicted_quantile
DEF,task012,points_q97,0.97,6292,0.8558486967577876,-0.11415130324221234,0.11415130324221234,actual_points <= predicted_quantile
DEF,task047,points_q97,0.97,6292,0.8760330578512396,-0.09396694214876034,0.09396694214876034,actual_points <= predicted_quantile
FWD,task012,points_q10,0.1,6377,0.3603575348910146,0.26035753489101454,0.26035753489101454,actual_points <= predicted_quantile
FWD,task047,points_q10,0.1,6377,0.360200721342324,0.26020072134232397,0.26020072134232397,actual_points <= predicted_quantile
FWD,task012,points_q25,0.25,6377,0.393288380116042,0.143288380116042,0.143288380116042,actual_points <= predicted_quantile
FWD,task047,points_q25,0.25,6377,0.39344519366473263,0.14344519366473263,0.14344519366473263,actual_points <= predicted_quantile
FWD,task012,points_q50,0.5,6377,0.4759291202759918,-0.024070879724008176,0.024070879724008176,actual_points <= predicted_quantile
FWD,task047,points_q50,0.5,6377,0.4800062725419476,-0.01999372745805239,0.01999372745805239,actual_points <= predicted_quantile
FWD,task012,points_q75,0.75,6377,0.622236161204328,-0.127763838795672,0.127763838795672,actual_points <= predicted_quantile
FWD,task047,points_q75,0.75,6377,0.6354084992943391,-0.11459150070566093,0.11459150070566093,actual_points <= predicted_quantile
FWD,task012,points_q90,0.9,6377,0.7581935079190842,-0.14180649208091578,0.14180649208091578,actual_points <= predicted_quantile
FWD,task047,points_q90,0.9,6377,0.7809314724792222,-0.11906852752077779,0.11906852752077779,actual_points <= predicted_quantile
FWD,task012,points_q97,0.97,6377,0.8637290261878626,-0.10627097381213735,0.10627097381213735,actual_points <= predicted_quantile
FWD,task047,points_q97,0.97,6377,0.8817625842872824,-0.08823741571271759,0.08823741571271759,actual_points <= predicted_quantile
