prior_history_cohort,model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
50_plus_prior_games,task012,points_q10,0.1,9976,0.32387730553327987,0.22387730553327986,0.22387730553327986,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q10,0.1,9976,0.32508019246190856,0.22508019246190855,0.22508019246190855,actual_points <= predicted_quantile
50_plus_prior_games,task012,points_q25,0.25,9976,0.3713913392141139,0.12139133921411388,0.12139133921411388,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q25,0.25,9976,0.37830793905372895,0.12830793905372895,0.12830793905372895,actual_points <= predicted_quantile
50_plus_prior_games,task012,points_q50,0.5,9976,0.4719326383319968,-0.02806736166800322,0.02806736166800322,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q50,0.5,9976,0.48466319165998395,-0.01533680834001605,0.01533680834001605,actual_points <= predicted_quantile
50_plus_prior_games,task012,points_q75,0.75,9976,0.6098636728147554,-0.1401363271852446,0.1401363271852446,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q75,0.75,9976,0.6296110665597434,-0.12038893344025658,0.12038893344025658,actual_points <= predicted_quantile
50_plus_prior_games,task012,points_q90,0.9,9976,0.7487971130713713,-0.1512028869286287,0.1512028869286287,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q90,0.9,9976,0.7691459502806736,-0.13085404971932646,0.13085404971932646,actual_points <= predicted_quantile
50_plus_prior_games,task012,points_q97,0.97,9976,0.8609663191659984,-0.10903368083400156,0.10903368083400156,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q97,0.97,9976,0.8733961507618284,-0.09660384923817156,0.09660384923817156,actual_points <= predicted_quantile
under_50_prior_games,task012,points_q10,0.1,7524,0.35074428495481125,0.25074428495481127,0.25074428495481127,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q10,0.1,7524,0.35074428495481125,0.25074428495481127,0.25074428495481127,actual_points <= predicted_quantile
under_50_prior_games,task012,points_q25,0.25,7524,0.38955342902711326,0.13955342902711326,0.13955342902711326,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q25,0.25,7524,0.3922115895800106,0.14221158958001062,0.14221158958001062,actual_points <= predicted_quantile
under_50_prior_games,task012,points_q50,0.5,7524,0.48444976076555024,-0.015550239234449759,0.015550239234449759,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q50,0.5,7524,0.4956140350877193,-0.004385964912280715,0.004385964912280715,actual_points <= predicted_quantile
under_50_prior_games,task012,points_q75,0.75,7524,0.6305156831472621,-0.11948431685273786,0.11948431685273786,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q75,0.75,7524,0.6555023923444976,-0.09449760765550241,0.09449760765550241,actual_points <= predicted_quantile
under_50_prior_games,task012,points_q90,0.9,7524,0.7573099415204678,-0.1426900584795322,0.1426900584795322,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q90,0.9,7524,0.7909356725146199,-0.10906432748538009,0.10906432748538009,actual_points <= predicted_quantile
under_50_prior_games,task012,points_q97,0.97,7524,0.847953216374269,-0.12204678362573096,0.12204678362573096,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q97,0.97,7524,0.883705475810739,-0.08629452418926098,0.08629452418926098,actual_points <= predicted_quantile
zero_prior_games,task012,points_q10,0.1,2594,0.687355435620663,0.5873554356206631,0.5873554356206631,actual_points <= predicted_quantile
zero_prior_games,task047,points_q10,0.1,2594,0.687355435620663,0.5873554356206631,0.5873554356206631,actual_points <= predicted_quantile
zero_prior_games,task012,points_q25,0.25,2594,0.687355435620663,0.43735543562066304,0.43735543562066304,actual_points <= predicted_quantile
zero_prior_games,task047,points_q25,0.25,2594,0.687355435620663,0.43735543562066304,0.43735543562066304,actual_points <= predicted_quantile
zero_prior_games,task012,points_q50,0.5,2594,0.6927525057825752,0.1927525057825752,0.1927525057825752,actual_points <= predicted_quantile
zero_prior_games,task047,points_q50,0.5,2594,0.6958365458750964,0.19583654587509636,0.19583654587509636,actual_points <= predicted_quantile
zero_prior_games,task012,points_q75,0.75,2594,0.7324595219737856,-0.01754047802621439,0.01754047802621439,actual_points <= predicted_quantile
zero_prior_games,task047,points_q75,0.75,2594,0.7540478026214341,0.004047802621434116,0.004047802621434116,actual_points <= predicted_quantile
zero_prior_games,task012,points_q90,0.9,2594,0.8049344641480339,-0.09506553585196609,0.09506553585196609,actual_points <= predicted_quantile
zero_prior_games,task047,points_q90,0.9,2594,0.8592906707787201,-0.0407093292212799,0.0407093292212799,actual_points <= predicted_quantile
zero_prior_games,task012,points_q97,0.97,2594,0.8600616808018504,-0.10993831919814956,0.10993831919814956,actual_points <= predicted_quantile
zero_prior_games,task047,points_q97,0.97,2594,0.9167309175019275,-0.053269082498072495,0.053269082498072495,actual_points <= predicted_quantile
