model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
task012,points_q10,0.1,20094,0.38085995819647656,0.2808599581964766,0.2808599581964766,actual_points <= predicted_quantile
task047,points_q10,0.1,20094,0.3814571513884742,0.28145715138847416,0.28145715138847416,actual_points <= predicted_quantile
task012,points_q25,0.25,20094,0.41898079028565743,0.16898079028565743,0.16898079028565743,actual_points <= predicted_quantile
task047,points_q25,0.25,20094,0.42340997312630635,0.17340997312630635,0.17340997312630635,actual_points <= predicted_quantile
task012,points_q50,0.5,20094,0.5051259082313129,0.00512590823131287,0.00512590823131287,actual_points <= predicted_quantile
task047,points_q50,0.5,20094,0.5160246839852692,0.01602468398526924,0.01602468398526924,actual_points <= predicted_quantile
task012,points_q75,0.75,20094,0.633422912312133,-0.11657708768786701,0.11657708768786701,actual_points <= predicted_quantile
task047,points_q75,0.75,20094,0.6553697621180452,-0.09463023788195479,0.09463023788195479,actual_points <= predicted_quantile
task012,points_q90,0.9,20094,0.7592316114262964,-0.14076838857370366,0.14076838857370366,actual_points <= predicted_quantile
task047,points_q90,0.9,20094,0.7889419727281776,-0.11105802727182246,0.11105802727182246,actual_points <= predicted_quantile
task012,points_q97,0.97,20094,0.8559769085299094,-0.1140230914700906,0.1140230914700906,actual_points <= predicted_quantile
task047,points_q97,0.97,20094,0.8828506021698019,-0.08714939783019804,0.08714939783019804,actual_points <= predicted_quantile
