model,lead,n,actual_zero_game_zero_point_rows,actual_one_to_five_positive_points_rows,meaningful_six_plus_rows,points_q10_zero_proportion,points_q25_zero_proportion,points_q50_zero_proportion,points_q75_zero_proportion,points_q90_zero_proportion,points_q97_zero_proportion
task012,1,5622,1413,720,3489,0.7824617573817146,0.5629669156883671,0.3975453575240128,0.2580932052650302,0.07755247242974031,0.03415154749199573
task012,2,4818,1574,470,2774,0.8638439186384392,0.6948941469489415,0.4804898298048983,0.26546284765462846,0.07824823578248236,0.036322125363221255
task012,3,4016,1620,289,2107,0.9561752988047809,0.7816235059760956,0.5316235059760956,0.30328685258964144,0.12300796812749004,0.05104581673306773
task012,4,3217,1539,189,1489,0.9493316754740442,0.8703761268262357,0.6018029219769973,0.35405657444824373,0.16288467516319552,0.06279142057817842
task012,5,2421,1324,108,989,0.9958694754233788,0.8913672036348617,0.7228418009087154,0.49648905410987193,0.29285419248244526,0.10450227178851715
task047,1,5622,1413,720,3489,0.7824617573817146,0.5629669156883671,0.3975453575240128,0.2580932052650302,0.07755247242974031,0.03415154749199573
task047,2,4818,1574,470,2774,0.8638439186384392,0.6948941469489415,0.4804898298048983,0.26546284765462846,0.07824823578248236,0.036322125363221255
task047,3,4016,1620,289,2107,0.9561752988047809,0.7816235059760956,0.5316235059760956,0.30328685258964144,0.12300796812749004,0.05104581673306773
task047,4,3217,1539,189,1489,0.9493316754740442,0.8703761268262357,0.6018029219769973,0.35405657444824373,0.16288467516319552,0.06279142057817842
task047,5,2421,1324,108,989,0.9958694754233788,0.8913672036348617,0.7228418009087154,0.49648905410987193,0.29285419248244526,0.10450227178851715
