realised_cohort,model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
meaningful_six_plus,task012,points_q10,0.1,10848,0.01133849557522124,-0.08866150442477877,0.08866150442477877,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q10,0.1,10848,0.012352507374631269,-0.08764749262536874,0.08764749262536874,actual_points <= predicted_quantile
meaningful_six_plus,task012,points_q25,0.25,10848,0.06157817109144543,-0.18842182890855458,0.18842182890855458,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q25,0.25,10848,0.0694137168141593,-0.1805862831858407,0.1805862831858407,actual_points <= predicted_quantile
meaningful_six_plus,task012,points_q50,0.5,10848,0.1836283185840708,-0.3163716814159292,0.3163716814159292,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q50,0.5,10848,0.20123525073746312,-0.2987647492625369,0.2987647492625369,actual_points <= predicted_quantile
meaningful_six_plus,task012,points_q75,0.75,10848,0.37767330383480824,-0.37232669616519176,0.37232669616519176,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q75,0.75,10848,0.4144542772861357,-0.3355457227138643,0.3355457227138643,actual_points <= predicted_quantile
meaningful_six_plus,task012,points_q90,0.9,10848,0.5778945427728613,-0.3221054572271387,0.3221054572271387,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q90,0.9,10848,0.6249078171091446,-0.27509218289085546,0.27509218289085546,actual_points <= predicted_quantile
meaningful_six_plus,task012,points_q97,0.97,10848,0.7437315634218289,-0.22626843657817108,0.22626843657817108,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q97,0.97,10848,0.7892699115044248,-0.18073008849557515,0.18073008849557515,actual_points <= predicted_quantile
one_to_five_positive_points,task012,points_q10,0.1,1776,0.033783783783783786,-0.06621621621621622,0.06621621621621622,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q10,0.1,1776,0.03434684684684685,-0.06565315315315315,0.06565315315315315,actual_points <= predicted_quantile
one_to_five_positive_points,task012,points_q25,0.25,1776,0.15822072072072071,-0.09177927927927929,0.09177927927927929,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q25,0.25,1776,0.16047297297297297,-0.08952702702702703,0.08952702702702703,actual_points <= predicted_quantile
one_to_five_positive_points,task012,points_q50,0.5,1776,0.38738738738738737,-0.11261261261261263,0.11261261261261263,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q50,0.5,1776,0.40315315315315314,-0.09684684684684686,0.09684684684684686,actual_points <= predicted_quantile
one_to_five_positive_points,task012,points_q75,0.75,1776,0.6537162162162162,-0.09628378378378377,0.09628378378378377,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q75,0.75,1776,0.6773648648648649,-0.07263513513513509,0.07263513513513509,actual_points <= predicted_quantile
one_to_five_positive_points,task012,points_q90,0.9,1776,0.8541666666666666,-0.04583333333333339,0.04583333333333339,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q90,0.9,1776,0.9031531531531531,0.003153153153153121,0.003153153153153121,actual_points <= predicted_quantile
one_to_five_positive_points,task012,points_q97,0.97,1776,0.9358108108108109,-0.03418918918918912,0.03418918918918912,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q97,0.97,1776,0.9617117117117117,-0.008288288288288315,0.008288288288288315,actual_points <= predicted_quantile
zero_game_zero_point,task012,points_q10,0.1,7470,1.0,0.9,0.9,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q10,0.1,7470,1.0,0.9,0.9,actual_points <= predicted_quantile
zero_game_zero_point,task012,points_q25,0.25,7470,1.0,0.75,0.75,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q25,0.25,7470,1.0,0.75,0.75,actual_points <= predicted_quantile
zero_game_zero_point,task012,points_q50,0.5,7470,1.0,0.5,0.5,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q50,0.5,7470,1.0,0.5,0.5,actual_points <= predicted_quantile
zero_game_zero_point,task012,points_q75,0.75,7470,1.0,0.25,0.25,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q75,0.75,7470,1.0,0.25,0.25,actual_points <= predicted_quantile
zero_game_zero_point,task012,points_q90,0.9,7470,1.0,0.09999999999999998,0.09999999999999998,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q90,0.9,7470,1.0,0.09999999999999998,0.09999999999999998,actual_points <= predicted_quantile
zero_game_zero_point,task012,points_q97,0.97,7470,1.0,0.030000000000000027,0.030000000000000027,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q97,0.97,7470,1.0,0.030000000000000027,0.030000000000000027,actual_points <= predicted_quantile
