check,passed,detail
row_count_per_model,True,"{""task047"": 20094, ""task049"": 20094}"
player_origin_snapshots,True,5622
legal_folds,True,25
non_uncertainty_outputs_unchanged,True,compared every common baseline/candidate field except the six point quantiles
moment_reconciliation_max_abs_delta_le_1e-8,True,9.094947017729282e-13
bootstrap_observed_equals_pooled_tables,True,2.4424906541753444e-14
task047_artifact_target_failures,True,"{""artifact_dir"": ""build/task047-pooled-ridge-conditional-average"", ""fold_failure_rows"": 0, ""included_snapshot_rows"": 5622, ""manifest_path"": ""build/task047-pooled-ridge-conditional-average/prediction_manifest.json"", ""prediction_rows"": 20094, ""target_failure_rows"": 0}"
task047_artifact_fold_failures,True,"{""artifact_dir"": ""build/task047-pooled-ridge-conditional-average"", ""fold_failure_rows"": 0, ""included_snapshot_rows"": 5622, ""manifest_path"": ""build/task047-pooled-ridge-conditional-average/prediction_manifest.json"", ""prediction_rows"": 20094, ""target_failure_rows"": 0}"
task047_artifact_prediction_rows,True,"{""artifact_dir"": ""build/task047-pooled-ridge-conditional-average"", ""fold_failure_rows"": 0, ""included_snapshot_rows"": 5622, ""manifest_path"": ""build/task047-pooled-ridge-conditional-average/prediction_manifest.json"", ""prediction_rows"": 20094, ""target_failure_rows"": 0}"
task049_artifact_target_failures,True,"{""artifact_dir"": ""build/task049-three-state-point-distribution"", ""fold_failure_rows"": 0, ""included_snapshot_rows"": 5622, ""manifest_path"": ""build/task049-three-state-point-distribution/prediction_manifest.json"", ""prediction_rows"": 20094, ""target_failure_rows"": 0}"
task049_artifact_fold_failures,True,"{""artifact_dir"": ""build/task049-three-state-point-distribution"", ""fold_failure_rows"": 0, ""included_snapshot_rows"": 5622, ""manifest_path"": ""build/task049-three-state-point-distribution/prediction_manifest.json"", ""prediction_rows"": 20094, ""target_failure_rows"": 0}"
task049_artifact_prediction_rows,True,"{""artifact_dir"": ""build/task049-three-state-point-distribution"", ""fold_failure_rows"": 0, ""included_snapshot_rows"": 5622, ""manifest_path"": ""build/task049-three-state-point-distribution/prediction_manifest.json"", ""prediction_rows"": 20094, ""target_failure_rows"": 0}"
task047_quantiles_non_negative,True,0
task049_quantiles_non_negative,True,0
task047_quantiles_non_crossing,True,0
task049_quantiles_non_crossing,True,0
