lead,model,interval,nominal_coverage,n,coverage,coverage_error,absolute_coverage_error,mean_width
1,task047,q25_q75,0.5,5622,0.5313055852009961,0.03130558520099613,0.03130558520099613,528.0727845475933
1,task049,q25_q75,0.5,5622,0.5412664532194948,0.04126645321949485,0.04126645321949485,532.3454412807363
1,task047,q10_q90,0.8,5622,0.7767698327997155,-0.02323016720028459,0.02323016720028459,1036.3184985112566
1,task049,q10_q90,0.8,5622,0.7794379224475275,-0.020562077552472524,0.020562077552472524,1015.5464257984771
1,task047,q10_q97_asymmetric,0.87,5622,0.8786908573461402,0.008690857346140168,0.008690857346140168,1297.442426364669
1,task049,q10_q97_asymmetric,0.87,5622,0.8696193525435788,-0.00038064745642119036,0.00038064745642119036,1250.1521186783423
2,task047,q25_q75,0.5,4818,0.5740971357409713,0.07409713574097132,0.07409713574097132,596.2769643388588
2,task049,q25_q75,0.5,4818,0.5801162308011623,0.08011623080116226,0.08011623080116226,601.0018899059701
2,task047,q10_q90,0.8,4818,0.7816521378165214,-0.018347862183478614,0.018347862183478614,1114.3949888974173
2,task049,q10_q90,0.8,4818,0.7793690327936903,-0.020630967206309747,0.020630967206309747,1095.0711290921731
2,task047,q10_q97_asymmetric,0.87,4818,0.8731838937318389,0.003183893731838916,0.003183893731838916,1409.3295740530505
2,task049,q10_q97_asymmetric,0.87,4818,0.8659194686591947,-0.004080531340805327,0.004080531340805327,1363.4324283046437
3,task047,q25_q75,0.5,4016,0.5958665338645418,0.0958665338645418,0.0958665338645418,593.4193042134342
3,task049,q25_q75,0.5,4016,0.5976095617529881,0.09760956175298807,0.09760956175298807,596.4748081862215
3,task047,q10_q90,0.8,4016,0.7709163346613546,-0.02908366533864548,0.02908366533864548,1099.0571183072416
3,task049,q10_q90,0.8,4016,0.772410358565737,-0.027589641434263013,0.027589641434263013,1077.732198260535
3,task047,q10_q97_asymmetric,0.87,4016,0.8640438247011952,-0.005956175298804767,0.005956175298804767,1423.9688672600828
3,task049,q10_q97_asymmetric,0.87,4016,0.8550796812749004,-0.01492031872509958,0.01492031872509958,1361.0331547303942
4,task047,q25_q75,0.5,3217,0.6375505129002176,0.13755051290021758,0.13755051290021758,575.5657261201299
4,task049,q25_q75,0.5,3217,0.6338203294995337,0.1338203294995337,0.1338203294995337,569.6030557220951
4,task047,q10_q90,0.8,3217,0.7733913584084551,-0.026608641591544968,0.026608641591544968,1013.5030530316609
4,task049,q10_q90,0.8,3217,0.7724588125582841,-0.027541187441715964,0.027541187441715964,985.2576132582561
4,task047,q10_q97_asymmetric,0.87,3217,0.8672676406589991,-0.0027323593410009117,0.0027323593410009117,1359.3331362314857
4,task049,q10_q97_asymmetric,0.87,3217,0.8498601181224743,-0.02013988187752569,0.02013988187752569,1273.795057610014
5,task047,q25_q75,0.5,2421,0.6662536142090045,0.16625361420900453,0.16625361420900453,461.60835869336347
5,task049,q25_q75,0.5,2421,0.6629491945477075,0.1629491945477075,0.1629491945477075,466.8364090390695
5,task047,q10_q90,0.8,2421,0.7732342007434945,-0.026765799256505574,0.026765799256505574,875.3070195980529
5,task049,q10_q90,0.8,2421,0.7781908302354399,-0.021809169764560155,0.021809169764560155,869.5631424148395
5,task047,q10_q97_asymmetric,0.87,2421,0.8546055349029327,-0.015394465097067322,0.015394465097067322,1239.9799248543611
5,task049,q10_q97_asymmetric,0.87,2421,0.8430400660883932,-0.02695993391160678,0.02695993391160678,1147.219722096269
