broad_position,model,interval,nominal_coverage,n,coverage,coverage_error,absolute_coverage_error,mean_width
DEF,task012,q25_q75,0.5,6292,0.5923394787031151,0.0923394787031151,0.0923394787031151,510.51428986939555
DEF,task047,q25_q75,0.5,6292,0.594723458359822,0.09472345835982199,0.09472345835982199,508.2665049055998
DEF,task012,q10_q90,0.8,6292,0.7678003814367451,-0.03219961856325493,0.03219961856325493,956.3953192385875
DEF,task047,q10_q90,0.8,6292,0.7616020343293071,-0.03839796567069298,0.03839796567069298,925.8222923256703
DEF,task012,q10_q97_asymmetric,0.87,6292,0.8661792752701843,-0.00382072472981565,0.00382072472981565,1253.23748498703
DEF,task047,q10_q97_asymmetric,0.87,6292,0.8504450095359186,-0.01955499046408138,0.01955499046408138,1178.4994590050483
FWD,task012,q25_q75,0.5,6377,0.5802101301552454,0.08021013015524536,0.08021013015524536,520.3922938463078
FWD,task047,q25_q75,0.5,6377,0.5822487062882233,0.08224870628822334,0.08224870628822334,523.4653417959306
FWD,task012,q10_q90,0.8,6377,0.7707385918143328,-0.029261408185667248,0.029261408185667248,973.9941081790269
FWD,task047,q10_q90,0.8,6377,0.7657205582562333,-0.034279441743766736,0.034279441743766736,953.1600383139286
FWD,task012,q10_q97_asymmetric,0.87,6377,0.8715697036223929,0.0015697036223929484,0.0015697036223929484,1284.2671393581816
FWD,task047,q10_q97_asymmetric,0.87,6377,0.8551042810098792,-0.014895718990120765,0.014895718990120765,1217.2972768295206
MID,task012,q25_q75,0.5,5963,0.601375146738219,0.10137514673821901,0.10137514673821901,680.7760888516366
MID,task047,q25_q75,0.5,5963,0.6087539828945162,0.10875398289451621,0.10875398289451621,689.0733396774988
MID,task012,q10_q90,0.8,5963,0.8128458829448264,0.012845882944826359,0.012845882944826359,1271.2055170735941
MID,task047,q10_q90,0.8,5963,0.8279389569008888,0.027938956900888767,0.027938956900888767,1269.5686873096433
MID,task012,q10_q97_asymmetric,0.87,5963,0.8906590642294148,0.02065906422941477,0.02065906422941477,1588.2416492071654
MID,task047,q10_q97_asymmetric,0.87,5963,0.8936776790206272,0.02367767902062723,0.02367767902062723,1554.0527685818263
RUC,task012,q25_q75,0.5,1457,0.543582704186685,0.04358270418668497,0.04358270418668497,414.4426385854387
RUC,task047,q25_q75,0.5,1457,0.5394646533973919,0.03946465339739191,0.03946465339739191,395.15365707937804
RUC,task012,q10_q90,0.8,1457,0.6801647220315717,-0.1198352779684283,0.1198352779684283,808.8268547336664
RUC,task047,q10_q90,0.8,1457,0.6650652024708305,-0.1349347975291696,0.1349347975291696,729.7128083005109
RUC,task012,q10_q97_asymmetric,0.87,1457,0.790665751544269,-0.079334248455731,0.079334248455731,1118.5520033187076
RUC,task047,q10_q97_asymmetric,0.87,1457,0.7474262182566919,-0.12257378174330813,0.12257378174330813,954.6954448985958
UNK,task012,q25_q75,0.5,5,1.0,0.5,0.5,0.0
UNK,task047,q25_q75,0.5,5,1.0,0.5,0.5,15.898967731569659
UNK,task012,q10_q90,0.8,5,1.0,0.19999999999999996,0.19999999999999996,249.93122920432023
UNK,task047,q10_q90,0.8,5,1.0,0.19999999999999996,0.19999999999999996,171.36916303810037
UNK,task012,q10_q97_asymmetric,0.87,5,1.0,0.13,0.13,487.85015443140264
UNK,task047,q10_q97_asymmetric,0.87,5,1.0,0.13,0.13,286.26338603919737
