realised_cohort,model,interval,nominal_coverage,n,coverage,coverage_error,absolute_coverage_error,mean_width
meaningful_six_plus,task047,q25_q75,0.5,10848,0.3450405604719764,-0.1549594395280236,0.1549594395280236,745.2168343071284
meaningful_six_plus,task049,q25_q75,0.5,10848,0.3560103244837758,-0.1439896755162242,0.1439896755162242,751.1771915042679
meaningful_six_plus,task047,q10_q90,0.8,10848,0.6125553097345132,-0.18744469026548682,0.18744469026548682,1345.4365537512026
meaningful_six_plus,task049,q10_q90,0.8,10848,0.616334808259587,-0.18366519174041307,0.18366519174041307,1348.3360106850619
meaningful_six_plus,task047,q10_q97_asymmetric,0.87,10848,0.7769174041297935,-0.09308259587020651,0.09308259587020651,1635.5050351999428
meaningful_six_plus,task049,q10_q97_asymmetric,0.87,10848,0.7626290560471977,-0.10737094395280233,0.10737094395280233,1624.4634086249773
one_to_five_positive_points,task047,q25_q75,0.5,1776,0.5168918918918919,0.016891891891891886,0.016891891891891886,532.337801175683
one_to_five_positive_points,task049,q25_q75,0.5,1776,0.5574324324324325,0.057432432432432456,0.057432432432432456,526.5106810242178
one_to_five_positive_points,task047,q10_q90,0.8,1776,0.8688063063063063,0.06880630630630624,0.06880630630630624,972.58151141442
one_to_five_positive_points,task049,q10_q90,0.8,1776,0.857545045045045,0.057545045045044985,0.057545045045044985,923.5426721867236
one_to_five_positive_points,task047,q10_q97_asymmetric,0.87,1776,0.9273648648648649,0.05736486486486492,0.05736486486486492,1284.4545857321405
one_to_five_positive_points,task049,q10_q97_asymmetric,0.87,1776,0.8963963963963963,0.02639639639639635,0.02639639639639635,1189.3386085050079
zero_game_zero_point,task047,q25_q75,0.5,7470,0.9570281124497992,0.45702811244979924,0.45702811244979924,289.7542380864383
zero_game_zero_point,task049,q25_q75,0.5,7470,0.9424364123159303,0.44243641231593034,0.44243641231593034,288.8506321132093
zero_game_zero_point,task047,q10_q90,0.8,7470,0.9907630522088353,0.19076305220883527,0.19076305220883527,624.6463398854896
zero_game_zero_point,task049,q10_q90,0.8,7470,0.9874163319946453,0.18741633199464525,0.18741633199464525,572.7244212014684
zero_game_zero_point,task047,q10_q97_asymmetric,0.87,7470,0.9907630522088353,0.12076305220883532,0.12076305220883532,957.8107511306695
zero_game_zero_point,task049,q10_q97_asymmetric,0.87,7470,0.9874163319946453,0.1174163319946453,0.1174163319946453,824.548823141559
