realised_cohort,model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error
one_to_five_positive_points,task047,points_q10,0.1,1776,0.03434684684684685,-0.06565315315315315,0.06565315315315315
one_to_five_positive_points,task049,points_q10,0.1,1776,0.04222972972972973,-0.05777027027027028,0.05777027027027028
one_to_five_positive_points,task047,points_q25,0.25,1776,0.16047297297297297,-0.08952702702702703,0.08952702702702703
one_to_five_positive_points,task049,points_q25,0.25,1776,0.1751126126126126,-0.0748873873873874,0.0748873873873874
one_to_five_positive_points,task047,points_q50,0.5,1776,0.40315315315315314,-0.09684684684684686,0.09684684684684686
one_to_five_positive_points,task049,points_q50,0.5,1776,0.43074324324324326,-0.06925675675675674,0.06925675675675674
one_to_five_positive_points,task047,points_q75,0.75,1776,0.6773648648648649,-0.07263513513513509,0.07263513513513509
one_to_five_positive_points,task049,points_q75,0.75,1776,0.722972972972973,-0.027027027027026973,0.027027027027026973
one_to_five_positive_points,task047,points_q90,0.9,1776,0.9031531531531531,0.003153153153153121,0.003153153153153121
one_to_five_positive_points,task049,points_q90,0.9,1776,0.902027027027027,0.002027027027026951,0.002027027027026951
one_to_five_positive_points,task047,points_q97,0.97,1776,0.9617117117117117,-0.008288288288288315,0.008288288288288315
one_to_five_positive_points,task049,points_q97,0.97,1776,0.9425675675675675,-0.02743243243243243,0.02743243243243243
