realised_cohort,quantile,tau,task012,task047,abs_diff_task047_minus_task012,pct_diff_task047_minus_task012
meaningful_six_plus,points_q10,0.1,119.78437133629616,119.05226781915444,-0.7321035171417236,-0.006111845051023673
meaningful_six_plus,points_q25,0.25,244.87071414787354,242.23351293001278,-2.6372012178607633,-0.010769769782548188
meaningful_six_plus,points_q50,0.5,339.7472662852326,334.6492898935549,-5.097976391677719,-0.015005202094540903
meaningful_six_plus,points_q75,0.75,303.5092783765573,299.26713366736857,-4.242144709188722,-0.0139769852568579
meaningful_six_plus,points_q90,0.9,189.88533964715975,197.5741477893953,7.688808142235558,0.04049184711427808
meaningful_six_plus,points_q97,0.97,91.40685782943822,109.49603314799258,18.089175318554354,0.19789735418220017
one_to_five_positive_points,points_q10,0.1,27.820213423990424,30.923451737336904,3.1032383133464805,0.11154617206029198
one_to_five_positive_points,points_q25,0.25,100.37214334841832,104.19792581370615,3.82578246528783,0.03811597857393086
one_to_five_positive_points,points_q50,0.5,176.96184068813506,177.4380462454221,0.47620555728704517,0.0026910070297374218
one_to_five_positive_points,points_q75,0.75,170.29300976376734,163.00005278977014,-7.292956973997207,-0.04282593269162422
one_to_five_positive_points,points_q90,0.9,99.05428673044578,92.32220288371477,-6.732083846731015,-0.06796357905287718
one_to_five_positive_points,points_q97,0.97,40.204326678469215,38.79952290972266,-1.4048037687465538,-0.034941606657943956
zero_game_zero_point,points_q10,0.1,5.0182277879791615,5.806621834917584,0.7883940469384223,0.15710607016026037
zero_game_zero_point,points_q25,0.25,22.289567869225483,24.54659039219797,2.2570225229724876,0.10125914222359998
zero_game_zero_point,points_q50,0.5,59.99963681708407,61.485808968309044,1.4861721512249773,0.024769685785861462
zero_game_zero_point,points_q75,0.75,79.86841547801808,80.2524352914797,0.3840198134616202,0.004808156154885941
zero_game_zero_point,points_q90,0.9,63.02221485387997,57.97645169411691,-5.045763159763062,-0.08006324708615693
zero_game_zero_point,points_q97,0.97,28.901596793519413,24.87452842101618,-4.0270683725032335,-0.13933722767200948
