lead,model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
1,task012,points_q10,0.1,5622,0.2719672714336535,0.1719672714336535,0.1719672714336535,actual_points <= predicted_quantile
1,task047,points_q10,0.1,5622,0.275880469583778,0.17588046958377798,0.17588046958377798,actual_points <= predicted_quantile
1,task012,points_q25,0.25,5622,0.3411597296335824,0.09115972963358238,0.09115972963358238,actual_points <= predicted_quantile
1,task047,points_q25,0.25,5622,0.34863038064745644,0.09863038064745644,0.09863038064745644,actual_points <= predicted_quantile
1,task012,points_q50,0.5,5622,0.46335823550337957,-0.03664176449662043,0.03664176449662043,actual_points <= predicted_quantile
1,task047,points_q50,0.5,5622,0.4823906083244397,-0.017609391675560304,0.017609391675560304,actual_points <= predicted_quantile
1,task012,points_q75,0.75,5622,0.6378512984702953,-0.11214870152970469,0.11214870152970469,actual_points <= predicted_quantile
1,task047,points_q75,0.75,5622,0.6593738882959801,-0.09062611170401991,0.09062611170401991,actual_points <= predicted_quantile
1,task012,points_q90,0.9,5622,0.8025613660618997,-0.09743863393810037,0.09743863393810037,actual_points <= predicted_quantile
1,task047,points_q90,0.9,5622,0.8077196727143365,-0.09228032728566349,0.09228032728566349,actual_points <= predicted_quantile
1,task012,points_q97,0.97,5622,0.9044823906083245,-0.0655176093916755,0.0655176093916755,actual_points <= predicted_quantile
1,task047,points_q97,0.97,5622,0.8982568480967628,-0.07174315190323721,0.07174315190323721,actual_points <= predicted_quantile
2,task012,points_q10,0.1,4818,0.33727687837276876,0.23727687837276876,0.23727687837276876,actual_points <= predicted_quantile
2,task047,points_q10,0.1,4818,0.33955998339559984,0.23955998339559983,0.23955998339559983,actual_points <= predicted_quantile
2,task012,points_q25,0.25,4818,0.3833540888335409,0.13335408883354088,0.13335408883354088,actual_points <= predicted_quantile
2,task047,points_q25,0.25,4818,0.39020340390203406,0.14020340390203406,0.14020340390203406,actual_points <= predicted_quantile
2,task012,points_q50,0.5,4818,0.49107513491075133,-0.008924865089248668,0.008924865089248668,actual_points <= predicted_quantile
2,task047,points_q50,0.5,4818,0.5020755500207555,0.0020755500207555455,0.0020755500207555455,actual_points <= predicted_quantile
2,task012,points_q75,0.75,4818,0.6506849315068494,-0.09931506849315064,0.09931506849315064,actual_points <= predicted_quantile
2,task047,points_q75,0.75,4818,0.6662515566625156,-0.08374844333748444,0.08374844333748444,actual_points <= predicted_quantile
2,task012,points_q90,0.9,4818,0.797011207970112,-0.10298879202988798,0.10298879202988798,actual_points <= predicted_quantile
2,task047,points_q90,0.9,4818,0.7990867579908676,-0.10091324200913243,0.10091324200913243,actual_points <= predicted_quantile
2,task012,points_q97,0.97,4818,0.8885429638854296,-0.08145703611457034,0.08145703611457034,actual_points <= predicted_quantile
2,task047,points_q97,0.97,4818,0.8823163138231631,-0.08768368617683686,0.08768368617683686,actual_points <= predicted_quantile
3,task012,points_q10,0.1,4016,0.4076195219123506,0.30761952191235065,0.30761952191235065,actual_points <= predicted_quantile
3,task047,points_q10,0.1,4016,0.40936254980079684,0.3093625498007968,0.3093625498007968,actual_points <= predicted_quantile
3,task012,points_q25,0.25,4016,0.4392430278884462,0.1892430278884462,0.1892430278884462,actual_points <= predicted_quantile
3,task047,points_q25,0.25,4016,0.4442231075697211,0.1942231075697211,0.1942231075697211,actual_points <= predicted_quantile
3,task012,points_q50,0.5,4016,0.524402390438247,0.02440239043824699,0.02440239043824699,actual_points <= predicted_quantile
3,task047,points_q50,0.5,4016,0.5313745019920318,0.031374501992031845,0.031374501992031845,actual_points <= predicted_quantile
3,task012,points_q75,0.75,4016,0.6496513944223108,-0.10034860557768921,0.10034860557768921,actual_points <= predicted_quantile
3,task047,points_q75,0.75,4016,0.6613545816733067,-0.08864541832669326,0.08864541832669326,actual_points <= predicted_quantile
3,task012,points_q90,0.9,4016,0.7766434262948207,-0.12335657370517927,0.12335657370517927,actual_points <= predicted_quantile
3,task047,points_q90,0.9,4016,0.7778884462151394,-0.1221115537848606,0.1221115537848606,actual_points <= predicted_quantile
3,task012,points_q97,0.97,4016,0.8697709163346613,-0.10022908366533867,0.10022908366533867,actual_points <= predicted_quantile
3,task047,points_q97,0.97,4016,0.8595617529880478,-0.11043824701195215,0.11043824701195215,actual_points <= predicted_quantile
4,task012,points_q10,0.1,3217,0.4815045073049425,0.38150450730494245,0.38150450730494245,actual_points <= predicted_quantile
4,task047,points_q10,0.1,3217,0.4821262045383898,0.38212620453838975,0.38212620453838975,actual_points <= predicted_quantile
4,task012,points_q25,0.25,3217,0.5020205160087038,0.2520205160087038,0.2520205160087038,actual_points <= predicted_quantile
4,task047,points_q25,0.25,3217,0.5057506994093877,0.25575069940938766,0.25575069940938766,actual_points <= predicted_quantile
4,task012,points_q50,0.5,3217,0.5610817531861984,0.06108175318619835,0.06108175318619835,actual_points <= predicted_quantile
4,task047,points_q50,0.5,3217,0.5682312713708424,0.0682312713708424,0.0682312713708424,actual_points <= predicted_quantile
4,task012,points_q75,0.75,3217,0.6729872552067143,-0.07701274479328568,0.07701274479328568,actual_points <= predicted_quantile
4,task047,points_q75,0.75,3217,0.6807584706248058,-0.06924152937519423,0.06924152937519423,actual_points <= predicted_quantile
4,task012,points_q90,0.9,3217,0.7789866335094808,-0.12101336649051919,0.12101336649051919,actual_points <= predicted_quantile
4,task047,points_q90,0.9,3217,0.7792974821262045,-0.12070251787379549,0.12070251787379549,actual_points <= predicted_quantile
4,task012,points_q97,0.97,3217,0.8728629157600248,-0.09713708423997514,0.09713708423997514,actual_points <= predicted_quantile
4,task047,points_q97,0.97,3217,0.8570096363071185,-0.11299036369288151,0.11299036369288151,actual_points <= predicted_quantile
5,task012,points_q10,0.1,2421,0.5472945064023131,0.44729450640231316,0.44729450640231316,actual_points <= predicted_quantile
5,task047,points_q10,0.1,2421,0.5477075588599752,0.44770755885997526,0.44770755885997526,actual_points <= predicted_quantile
5,task012,points_q25,0.25,2421,0.5634035522511359,0.3134035522511359,0.3134035522511359,actual_points <= predicted_quantile
