broad_position,model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
DEF,task047,points_q10,0.1,6292,0.39828353464717103,0.29828353464717106,0.29828353464717106,actual_points <= predicted_quantile
DEF,task049,points_q10,0.1,6292,0.39907819453273996,0.29907819453274,0.29907819453274,actual_points <= predicted_quantile
DEF,task047,points_q25,0.25,6292,0.43086458995549903,0.18086458995549903,0.18086458995549903,actual_points <= predicted_quantile
DEF,task049,points_q25,0.25,6292,0.43404322949777496,0.18404322949777496,0.18404322949777496,actual_points <= predicted_quantile
DEF,task047,points_q50,0.5,6292,0.5182771773680864,0.018277177368086428,0.018277177368086428,actual_points <= predicted_quantile
DEF,task049,points_q50,0.5,6292,0.5263827082008901,0.02638270820089006,0.02638270820089006,actual_points <= predicted_quantile
DEF,task047,points_q75,0.75,6292,0.6486013986013986,-0.10139860139860135,0.10139860139860135,actual_points <= predicted_quantile
DEF,task049,points_q75,0.75,6292,0.6597266369993643,-0.09027336300063571,0.09027336300063571,actual_points <= predicted_quantile
DEF,task047,points_q90,0.9,6292,0.7776541640178004,-0.12234583598219961,0.12234583598219961,actual_points <= predicted_quantile
DEF,task049,points_q90,0.9,6292,0.7739987285441831,-0.12600127145581697,0.12600127145581697,actual_points <= predicted_quantile
DEF,task047,points_q97,0.97,6292,0.8760330578512396,-0.09396694214876034,0.09396694214876034,actual_points <= predicted_quantile
DEF,task049,points_q97,0.97,6292,0.8618881118881119,-0.1081118881118881,0.1081118881118881,actual_points <= predicted_quantile
FWD,task047,points_q10,0.1,6377,0.360200721342324,0.26020072134232397,0.26020072134232397,actual_points <= predicted_quantile
FWD,task049,points_q10,0.1,6377,0.3616120432805394,0.26161204328053944,0.26161204328053944,actual_points <= predicted_quantile
FWD,task047,points_q25,0.25,6377,0.39344519366473263,0.14344519366473263,0.14344519366473263,actual_points <= predicted_quantile
FWD,task049,points_q25,0.25,6377,0.39658146463854477,0.14658146463854477,0.14658146463854477,actual_points <= predicted_quantile
FWD,task047,points_q50,0.5,6377,0.4800062725419476,-0.01999372745805239,0.01999372745805239,actual_points <= predicted_quantile
FWD,task049,points_q50,0.5,6377,0.4909832209502901,-0.009016779049709878,0.009016779049709878,actual_points <= predicted_quantile
FWD,task047,points_q75,0.75,6377,0.6354084992943391,-0.11459150070566093,0.11459150070566093,actual_points <= predicted_quantile
FWD,task049,points_q75,0.75,6377,0.6468558883487533,-0.1031441116512467,0.1031441116512467,actual_points <= predicted_quantile
FWD,task047,points_q90,0.9,6377,0.7809314724792222,-0.11906852752077779,0.11906852752077779,actual_points <= predicted_quantile
FWD,task049,points_q90,0.9,6377,0.7798337776383879,-0.12016622236161212,0.12016622236161212,actual_points <= predicted_quantile
FWD,task047,points_q97,0.97,6377,0.8817625842872824,-0.08823741571271759,0.08823741571271759,actual_points <= predicted_quantile
FWD,task049,points_q97,0.97,6377,0.8682766190998902,-0.1017233809001098,0.1017233809001098,actual_points <= predicted_quantile
MID,task047,points_q10,0.1,5963,0.3805131645145061,0.28051316451450614,0.28051316451450614,actual_points <= predicted_quantile
MID,task049,points_q10,0.1,5963,0.3848733858795908,0.28487338587959077,0.28487338587959077,actual_points <= predicted_quantile
MID,task047,points_q25,0.25,5963,0.44826429649505284,0.19826429649505284,0.19826429649505284,actual_points <= predicted_quantile
MID,task049,points_q25,0.25,5963,0.4589971490860305,0.2089971490860305,0.2089971490860305,actual_points <= predicted_quantile
MID,task047,points_q50,0.5,5963,0.5654871708871373,0.06548717088713729,0.06548717088713729,actual_points <= predicted_quantile
MID,task049,points_q50,0.5,5963,0.5851081670300184,0.08510816703001844,0.08510816703001844,actual_points <= predicted_quantile
MID,task047,points_q75,0.75,5963,0.7056850578567835,-0.04431494214321652,0.04431494214321652,actual_points <= predicted_quantile
MID,task049,points_q75,0.75,5963,0.7316786852255576,-0.018321314774442432,0.018321314774442432,actual_points <= predicted_quantile
MID,task047,points_q90,0.9,5963,0.8349823914137179,-0.06501760858628214,0.06501760858628214,actual_points <= predicted_quantile
MID,task049,points_q90,0.9,5963,0.8532617809827269,-0.04673821901727315,0.04673821901727315,actual_points <= predicted_quantile
MID,task047,points_q97,0.97,5963,0.9127955726983062,-0.05720442730169373,0.05720442730169373,actual_points <= predicted_quantile
MID,task049,points_q97,0.97,5963,0.9238638269327519,-0.04613617306724804,0.04613617306724804,actual_points <= predicted_quantile
RUC,task047,points_q10,0.1,1457,0.40356897735072067,0.30356897735072064,0.30356897735072064,actual_points <= predicted_quantile
RUC,task049,points_q10,0.1,1457,0.40425531914893614,0.3042553191489361,0.3042553191489361,actual_points <= predicted_quantile
RUC,task047,points_q25,0.25,1457,0.4186684969114619,0.1686684969114619,0.1686684969114619,actual_points <= predicted_quantile
RUC,task049,points_q25,0.25,1457,0.42210020590253944,0.17210020590253944,0.17210020590253944,actual_points <= predicted_quantile
RUC,task047,points_q50,0.5,1457,0.4598490048043926,-0.040150995195607386,0.040150995195607386,actual_points <= predicted_quantile
RUC,task049,points_q50,0.5,1457,0.46808510638297873,-0.03191489361702127,0.03191489361702127,actual_points <= predicted_quantile
RUC,task047,points_q75,0.75,1457,0.5648592999313659,-0.18514070006863415,0.18514070006863415,actual_points <= predicted_quantile
RUC,task049,points_q75,0.75,1457,0.5662319835277968,-0.1837680164722032,0.1837680164722032,actual_points <= predicted_quantile
RUC,task047,points_q90,0.9,1457,0.6835964310226493,-0.2164035689773507,0.2164035689773507,actual_points <= predicted_quantile
RUC,task049,points_q90,0.9,1457,0.6719286204529856,-0.2280713795470144,0.2280713795470144,actual_points <= predicted_quantile
RUC,task047,points_q97,0.97,1457,0.7940974605353466,-0.1759025394646534,0.1759025394646534,actual_points <= predicted_quantile
RUC,task049,points_q97,0.97,1457,0.7529169526424159,-0.2170830473575841,0.2170830473575841,actual_points <= predicted_quantile
UNK,task047,points_q10,0.1,5,1.0,0.9,0.9,actual_points <= predicted_quantile
UNK,task049,points_q10,0.1,5,1.0,0.9,0.9,actual_points <= predicted_quantile
UNK,task047,points_q25,0.25,5,1.0,0.75,0.75,actual_points <= predicted_quantile
UNK,task049,points_q25,0.25,5,1.0,0.75,0.75,actual_points <= predicted_quantile
UNK,task047,points_q50,0.5,5,1.0,0.5,0.5,actual_points <= predicted_quantile
UNK,task049,points_q50,0.5,5,1.0,0.5,0.5,actual_points <= predicted_quantile
UNK,task047,points_q75,0.75,5,1.0,0.25,0.25,actual_points <= predicted_quantile
UNK,task049,points_q75,0.75,5,1.0,0.25,0.25,actual_points <= predicted_quantile
UNK,task047,points_q90,0.9,5,1.0,0.09999999999999998,0.09999999999999998,actual_points <= predicted_quantile
UNK,task049,points_q90,0.9,5,1.0,0.09999999999999998,0.09999999999999998,actual_points <= predicted_quantile
UNK,task047,points_q97,0.97,5,1.0,0.030000000000000027,0.030000000000000027,actual_points <= predicted_quantile
UNK,task049,points_q97,0.97,5,1.0,0.030000000000000027,0.030000000000000027,actual_points <= predicted_quantile
