realised_cohort,model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
meaningful_six_plus,task047,points_q10,0.1,10848,0.012352507374631269,-0.08764749262536874,0.08764749262536874,actual_points <= predicted_quantile
meaningful_six_plus,task049,points_q10,0.1,10848,0.014749262536873156,-0.08525073746312685,0.08525073746312685,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q25,0.25,10848,0.0694137168141593,-0.1805862831858407,0.1805862831858407,actual_points <= predicted_quantile
meaningful_six_plus,task049,points_q25,0.25,10848,0.07688053097345132,-0.17311946902654868,0.17311946902654868,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q50,0.5,10848,0.20123525073746312,-0.2987647492625369,0.2987647492625369,actual_points <= predicted_quantile
meaningful_six_plus,task049,points_q50,0.5,10848,0.2182890855457227,-0.2817109144542773,0.2817109144542773,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q75,0.75,10848,0.4144542772861357,-0.3355457227138643,0.3355457227138643,actual_points <= predicted_quantile
meaningful_six_plus,task049,points_q75,0.75,10848,0.43289085545722716,-0.31710914454277284,0.31710914454277284,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q90,0.9,10848,0.6249078171091446,-0.27509218289085546,0.27509218289085546,actual_points <= predicted_quantile
meaningful_six_plus,task049,points_q90,0.9,10848,0.6310840707964602,-0.2689159292035398,0.2689159292035398,actual_points <= predicted_quantile
meaningful_six_plus,task047,points_q97,0.97,10848,0.7892699115044248,-0.18073008849557515,0.18073008849557515,actual_points <= predicted_quantile
meaningful_six_plus,task049,points_q97,0.97,10848,0.7773783185840708,-0.19262168141592917,0.19262168141592917,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q10,0.1,1776,0.03434684684684685,-0.06565315315315315,0.06565315315315315,actual_points <= predicted_quantile
one_to_five_positive_points,task049,points_q10,0.1,1776,0.04279279279279279,-0.05720720720720721,0.05720720720720721,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q25,0.25,1776,0.16047297297297297,-0.08952702702702703,0.08952702702702703,actual_points <= predicted_quantile
one_to_five_positive_points,task049,points_q25,0.25,1776,0.17623873873873874,-0.07376126126126126,0.07376126126126126,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q50,0.5,1776,0.40315315315315314,-0.09684684684684686,0.09684684684684686,actual_points <= predicted_quantile
one_to_five_positive_points,task049,points_q50,0.5,1776,0.43975225225225223,-0.06024774774774777,0.06024774774774777,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q75,0.75,1776,0.6773648648648649,-0.07263513513513509,0.07263513513513509,actual_points <= predicted_quantile
one_to_five_positive_points,task049,points_q75,0.75,1776,0.7336711711711712,-0.0163288288288288,0.0163288288288288,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q90,0.9,1776,0.9031531531531531,0.003153153153153121,0.003153153153153121,actual_points <= predicted_quantile
one_to_five_positive_points,task049,points_q90,0.9,1776,0.9003378378378378,0.00033783783783780663,0.00033783783783780663,actual_points <= predicted_quantile
one_to_five_positive_points,task047,points_q97,0.97,1776,0.9617117117117117,-0.008288288288288315,0.008288288288288315,actual_points <= predicted_quantile
one_to_five_positive_points,task049,points_q97,0.97,1776,0.9391891891891891,-0.03081081081081083,0.03081081081081083,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q10,0.1,7470,1.0,0.9,0.9,actual_points <= predicted_quantile
zero_game_zero_point,task049,points_q10,0.1,7470,1.0,0.9,0.9,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q25,0.25,7470,1.0,0.75,0.75,actual_points <= predicted_quantile
zero_game_zero_point,task049,points_q25,0.25,7470,1.0,0.75,0.75,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q50,0.5,7470,1.0,0.5,0.5,actual_points <= predicted_quantile
zero_game_zero_point,task049,points_q50,0.5,7470,1.0,0.5,0.5,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q75,0.75,7470,1.0,0.25,0.25,actual_points <= predicted_quantile
zero_game_zero_point,task049,points_q75,0.75,7470,1.0,0.25,0.25,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q90,0.9,7470,1.0,0.09999999999999998,0.09999999999999998,actual_points <= predicted_quantile
zero_game_zero_point,task049,points_q90,0.9,7470,1.0,0.09999999999999998,0.09999999999999998,actual_points <= predicted_quantile
zero_game_zero_point,task047,points_q97,0.97,7470,1.0,0.030000000000000027,0.030000000000000027,actual_points <= predicted_quantile
zero_game_zero_point,task049,points_q97,0.97,7470,1.0,0.030000000000000027,0.030000000000000027,actual_points <= predicted_quantile
