model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
task012,points_q10,0.1,20094,0.3814571513884742,0.28145715138847416,0.28145715138847416,actual_points <= predicted_quantile
task047,points_q10,0.1,20094,0.38359709365979894,0.2835970936597989,0.2835970936597989,actual_points <= predicted_quantile
task012,points_q25,0.25,20094,0.42340997312630635,0.17340997312630635,0.17340997312630635,actual_points <= predicted_quantile
task047,points_q25,0.25,20094,0.42923260674828306,0.17923260674828306,0.17923260674828306,actual_points <= predicted_quantile
task012,points_q50,0.5,20094,0.5160246839852692,0.01602468398526924,0.01602468398526924,actual_points <= predicted_quantile
task047,points_q50,0.5,20094,0.5275704190305563,0.027570419030556348,0.027570419030556348,actual_points <= predicted_quantile
task012,points_q75,0.75,20094,0.6553697621180452,-0.09463023788195479,0.09463023788195479,actual_points <= predicted_quantile
task047,points_q75,0.75,20094,0.6696028665273216,-0.0803971334726784,0.0803971334726784,actual_points <= predicted_quantile
task012,points_q90,0.9,20094,0.7889419727281776,-0.11105802727182246,0.11105802727182246,actual_points <= predicted_quantile
task047,points_q90,0.9,20094,0.7921767691848313,-0.10782323081516876,0.10782323081516876,actual_points <= predicted_quantile
task012,points_q97,0.97,20094,0.8828506021698019,-0.08714939783019804,0.08714939783019804,actual_points <= predicted_quantile
task047,points_q97,0.97,20094,0.8738429381905046,-0.09615706180949535,0.09615706180949535,actual_points <= predicted_quantile
