model,lead,n,actual_zero_game_zero_point_rows,actual_one_to_five_positive_points_rows,meaningful_six_plus_rows,points_q10_zero_proportion,points_q25_zero_proportion,points_q50_zero_proportion,points_q75_zero_proportion,points_q90_zero_proportion,points_q97_zero_proportion
task047,1,5622,1413,720,3489,0.7824617573817146,0.5629669156883671,0.3975453575240128,0.2580932052650302,0.07755247242974031,0.03415154749199573
task047,2,4818,1574,470,2774,0.8638439186384392,0.6948941469489415,0.4804898298048983,0.26546284765462846,0.07824823578248236,0.036322125363221255
task047,3,4016,1620,289,2107,0.9561752988047809,0.7816235059760956,0.5316235059760956,0.30328685258964144,0.12300796812749004,0.05104581673306773
task047,4,3217,1539,189,1489,0.9493316754740442,0.8703761268262357,0.6018029219769973,0.35405657444824373,0.16288467516319552,0.06279142057817842
task047,5,2421,1324,108,989,0.9958694754233788,0.8913672036348617,0.7228418009087154,0.49648905410987193,0.29285419248244526,0.10450227178851715
task049,1,5622,1413,720,3489,0.7258982568480967,0.532372821060121,0.31341159729633583,0.12113127001067236,0.002845962290999644,0.0026680896478121665
task049,2,4818,1574,470,2774,0.8408053134080531,0.6442507264425072,0.4165628891656289,0.11996679119966791,0.004773765047737651,0.00394354503943545
task049,3,4016,1620,289,2107,0.9397410358565738,0.7619521912350598,0.5176792828685259,0.20667330677290838,0.01942231075697211,0.00846613545816733
task049,4,3217,1539,189,1489,0.9421821572894,0.843021448554554,0.5853279452906435,0.2953061858874728,0.05439850792663973,0.020516008703761267
task049,5,2421,1324,108,989,0.9938042131350682,0.8781495249896737,0.6959933911606774,0.4378356051218505,0.11854605534902933,0.03139198678232136
