slice,n,realised_short_frequency,predicted_short_frequency,frequency_error,realised_short_rows,realised_short_mean_games,realised_short_mean_rate,lead,broad_position,prior_history_cohort
overall,20094,0.08838459241564646,0.04980124664735883,-0.03858334576828763,1776,2.9774774774774775,45.43461148648648,,,
lead,5622,0.128068303094984,0.05188561893300384,-0.07618268416198015,720,2.904166666666667,45.56622222222223,1.0,,
lead,4818,0.09755085097550852,0.05254254771435181,-0.04500830326115671,470,2.9872340425531916,45.92406382978723,2.0,,
lead,4016,0.07196215139442232,0.049855237179365575,-0.02210691421505674,289,3.083044982698962,44.355640138408305,3.0,,
lead,3217,0.0587503885607709,0.04565812258868246,-0.013092265972088443,189,3.0317460317460316,44.835978835978835,4.0,,
lead,2421,0.04460966542750929,0.044921310500954145,0.00031164507344485365,108,3.0462962962962963,46.362037037037034,5.0,,
broad_position,6292,0.09774316592498411,0.05109377831075542,-0.04664938761422869,615,2.8959349593495936,45.183593495934964,,DEF,
broad_position,6377,0.07809314724792223,0.05294905537410394,-0.02514409187381829,498,2.9718875502008033,40.49176706827308,,FWD,
broad_position,5963,0.07781318128458829,0.04154328004948395,-0.036269901235104346,464,3.0991379310344827,46.087413793103444,,MID,
broad_position,1457,0.13658201784488674,0.06409645376101522,-0.07248556408387152,199,2.959798994974874,57.05778894472362,,RUC,
broad_position,5,0.0,0.091391763044459,0.091391763044459,0,,,,UNK,
prior_history_cohort,9976,0.06415396952686447,0.039718604932358924,-0.02443536459450555,640,3.0671875,49.349171875,,,50_plus_prior_games
prior_history_cohort,7524,0.10911749069643807,0.052118992935749946,-0.056998497760688126,821,2.9939098660170522,43.542143727162006,,,under_50_prior_games
prior_history_cohort,2594,0.12143407864302236,0.08185433480271126,-0.0395797438403111,315,2.7523809523809524,42.41365079365079,,,zero_prior_games
