key,player,origin_year,draft_year,tenure,age,pick,position,draft_type,total_games,qualifying_seasons,last_avg,last_games,prev_avg,prev_games,weighted_avg,career_best,recent_best,avg_trend,games_last_2,seasons_observed,l1_games,l1_avg,l1_points,l1_meaningful,l1_80,l1_90,l1_100,l1_110,l1_120,l2_games,l2_avg,l2_points,l2_meaningful,l2_80,l2_90,l2_100,l2_110,l2_120,l3_games,l3_avg,l3_points,l3_meaningful,l3_80,l3_90,l3_100,l3_110,l3_120,l4_games,l4_avg,l4_points,l4_meaningful,l4_80,l4_90,l4_100,l4_110,l4_120,l5_games,l5_avg,l5_points,l5_meaningful,l5_80,l5_90,l5_100,l5_110,l5_120
willem-duursma,Willem Duursma,2025,2025,0,18.0,1.0,MID,ND,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,12,86.4,1036.8000000000002,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
willem-duursma,Willem Duursma,2026,2025,1,19.0,1.0,MID,ND,12,1,86.4,12,0.0,0,86.40000000000002,86.4,86.4,0.0,12,1,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
zeke-uwland,Zeke Uwland,2025,2025,0,18.0,2.0,DEF,ND,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,10,44.7,447.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
zeke-uwland,Zeke Uwland,2026,2025,1,19.0,2.0,DEF,ND,10,1,44.7,10,0.0,0,44.7,44.7,44.7,0.0,10,1,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
harry-dean,Harry Dean,2025,2025,0,18.0,3.0,DEF,ND,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,10,56.6,566.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
harry-dean,Harry Dean,2026,2025,1,19.0,3.0,DEF,ND,10,1,56.6,10,0.0,0,56.6,56.6,56.6,0.0,10,1,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
cooper-duff-tytler,Cooper Duff-Tytler,2025,2025,0,18.0,4.0,FWD,ND,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,10,49.5,495.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
cooper-duff-tytler,Cooper Duff-Tytler,2026,2025,1,19.0,4.0,FWD,ND,10,1,49.5,10,0.0,0,49.5,49.5,49.5,0.0,10,1,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
dylan-patterson,Dylan Patterson,2025,2025,0,18.0,5.0,DEF,ND,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
dylan-patterson,Dylan Patterson,2026,2025,1,19.0,5.0,DEF,ND,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
