vnext_rank,key,player,position_forecast,position_utility,pick,tenure,age,five_year_utility_mean,five_year_utility_median,five_year_utility_p10,five_year_utility_p90,expected_games_5y_mc,expected_points_5y_mc,p_zero_meaningful_5y,p_90_any_5y_mc,p_100_any_5y_mc,p_110_any_5y_mc,exp_90_seasons_5y_mc,exp_100_seasons_5y_mc,exp_110_seasons_5y_mc,future_value_y1_mean,future_value_y2_mean,future_value_y1_p10,future_value_y1_p90,future_value_y2_p10,future_value_y2_p90
1,harry-sheezel,Harry Sheezel,FWD,MID,3.0,4,22.0,1888.005038433241,1761.4849201978182,651.4244332236026,3256.515992087546,98.69166666666666,9773.97673448978,0.0,0.9616666666666667,0.845,0.5833333333333334,3.3516666666666666,2.225,1.17,567.0702438392793,424.8796761549173,113.36837019813231,1073.790562246042,22.403669753328735,934.3744194757223
2,murphy-reid,Murphy Reid,FWD,FWD,17.0,2,20.0,1814.4563639850937,1771.9439382524818,590.5559645619153,3007.7782438998825,95.94833333333334,8769.27107479591,0.006666666666666667,0.86,0.665,0.38333333333333336,2.4266666666666667,1.3633333333333333,0.61,400.1963144928064,407.99112332817776,6.235268502036513,858.9170116907105,24.4247023259917,829.0912215682148
3,nick-daicos,Nick Daicos,MID,MID,4.0,5,23.0,1781.3188877720083,1682.5401776765402,574.6930499728797,3042.815401427925,95.64,9406.181917913978,0.0,0.95,0.825,0.575,3.23,2.15,1.11,541.4847624459019,400.15384492407384,87.77799716061553,1062.531098948265,9.317945361319074,881.534756137127
4,nick-watson,Nick Watson,FWD,FWD,5.0,3,21.0,1520.8048950554269,1410.1461904877528,453.6517294051572,2684.9094430613786,93.07,8174.836666900796,0.0,0.7833333333333333,0.5533333333333333,0.31666666666666665,2.006666666666667,1.0533333333333332,0.46166666666666667,334.819041933201,331.59065478186716,10.32627773143951,701.8501137671144,3.5576927537798526,763.402942555037
5,will-ashcroft,Will Ashcroft,MID,MID,2.0,4,22.0,1472.8594414514762,1374.561331308775,425.8791774229466,2650.852373680797,95.94333333333333,9071.846090638053,0.0,0.9266666666666666,0.735,0.4583333333333333,2.7866666666666666,1.7083333333333333,0.7966666666666666,379.44531365046583,342.7522579287561,11.424839459961264,814.9726565721321,3.55971253790795,784.269764106182
6,max-holmes,Max Holmes,MID,MID,21.0,6,24.0,1436.4379586857224,1374.0739238202477,435.7522575886317,2548.6608004630234,92.02333333333333,8657.534974574328,0.0,0.9216666666666666,0.75,0.44666666666666666,2.7066666666666666,1.6633333333333333,0.7733333333333333,449.08368413607127,347.19577884169183,35.30421058233977,885.3143260719024,3.4915067707701164,792.7168063371937
7,archie-roberts,Archie Roberts,DEF,DEF,54.0,3,21.0,1359.9867249348429,1253.3866150315075,313.6785412078689,2473.730619728413,94.25833333333334,8610.747726822934,0.0,0.865,0.6516666666666666,0.3883333333333333,2.4683333333333333,1.3683333333333334,0.6166666666666667,365.68551351437725,324.4571940342974,7.644787924897535,766.4497405597791,3.4884010397042657,743.4368979508341
8,ryley-sanders,Ryley Sanders,MID,MID,6.0,3,21.0,1353.7983141109455,1272.417318412893,346.342544497043,2501.1939026024133,93.65666666666667,8773.854731814514,0.0,0.895,0.71,0.43,2.6783333333333332,1.625,0.7366666666666667,317.39021755988426,305.25145138255954,6.91140588576942,695.4771754773367,2.902751776821135,720.193483108372
9,nasiah-wanganeen-milera,Nasiah Wanganeen-Milera,DEF,MID,11.0,5,23.0,1303.6762675847165,1166.3197521216584,295.27908674565225,2418.055995443394,90.86833333333334,8394.199333020566,0.0016666666666666668,0.87,0.6866666666666666,0.39666666666666667,2.493333333333333,1.475,0.66,392.14112204879336,313.5858070417446,5.4942355114345975,842.6322460983259,1.4720323084889255,716.737401572727
10,darcy-wilson,Darcy Wilson,MID,FWD,18.0,3,21.0,1301.699714173919,1287.3121552924797,393.9961330686313,2258.537747990806,84.01333333333334,7260.708501082041,0.0033333333333333335,0.7866666666666666,0.545,0.24666666666666667,1.8066666666666666,0.8766666666666667,0.30666666666666664,298.8963696957601,298.6118880236922,2.082356809102793,696.1956762495142,1.2314769040126607,668.5710819121092
